session,duration_s,messages,topics,live_topics,dead_topics,size_mb,files,status,dead_list
20260902_075535_session,0,0,0,0,0,0.0,0,EMPTY DIRECTORY,
20260902_082255_session,0,0,0,0,0,0.0,0,EMPTY DIRECTORY,
20260902_153646_20260902_153645,262.8,690601,111,74,37,74.45,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/estop;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/parameter_events;/participant/abort;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/camera_info;/right_camera/color/image_raw;/right_camera/color/image_raw/compressed;/right_camera/color/image_raw/compressedDepth;/right_camera/color/image_raw/theora;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_camera/image_raw/zstd;/right_gripper_controller/transition_event
20260902_155631_20260902_155631,250.0,652323,111,71,40,77.57,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/estop;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/parameter_events;/participant/abort;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/camera_info;/right_camera/color/image_raw;/right_camera/color/image_raw/compressed;/right_camera/color/image_raw/compressedDepth;/right_camera/color/image_raw/theora;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_camera/image_raw/zstd;/right_gripper_controller/transition_event;/vr/boundary_warning;/vr/gripper_right;/vr/haptics
20260902_161756_20260902_161756,360.1,1028131,111,75,36,115.87,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/estop;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/parameter_events;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/camera_info;/right_camera/color/image_raw;/right_camera/color/image_raw/compressed;/right_camera/color/image_raw/compressedDepth;/right_camera/color/image_raw/theora;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_camera/image_raw/zstd;/right_gripper_controller/transition_event
20260902_162436_20260902_162436,265.7,707261,111,75,36,83.78,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/parameter_events;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/camera_info;/right_camera/color/image_raw;/right_camera/color/image_raw/compressed;/right_camera/color/image_raw/compressedDepth;/right_camera/color/image_raw/theora;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_camera/image_raw/zstd;/right_gripper_controller/transition_event;/vr/gripper_right
20260902_164021_20260902_164021,207.5,521249,111,79,32,59.36,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/participant/abort;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/image_raw/compressedDepth;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_gripper_controller/transition_event;/vr/boundary_warning;/vr/haptics
20260902_164902_20260902_164902,94.8,201416,111,72,39,25.74,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/estop;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/parameter_events;/participant/abort;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/camera_info;/right_camera/color/image_raw;/right_camera/color/image_raw/compressed;/right_camera/color/image_raw/compressedDepth;/right_camera/color/image_raw/theora;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_camera/image_raw/zstd;/right_gripper_controller/transition_event;/vr/boundary_warning;/vr/haptics
20260902_165659_20260902_165659,99.3,258564,111,73,38,31.61,13,PARTIAL: cameras not recorded,/display_contacts;/display_planned_path;/events/write_split;/homing_complete_left;/homing_complete_right;/joint_state_broadcaster/transition_event;/left_arm_controller/transition_event;/left_camera/color/camera_info;/left_camera/color/image_raw;/left_camera/color/image_raw/compressed;/left_camera/color/image_raw/compressedDepth;/left_camera/color/image_raw/theora;/left_camera/depth/camera_info;/left_camera/depth/image_raw;/left_camera/depth/image_raw/compressed;/left_camera/depth/image_raw/compressedDepth;/left_camera/depth/image_raw/theora;/left_camera/image_raw/zstd;/left_gripper_controller/transition_event;/mount_guard;/parameter_events;/participant/abort;/pipeline_state;/right_arm_controller/transition_event;/right_camera/color/camera_info;/right_camera/color/image_raw;/right_camera/color/image_raw/compressed;/right_camera/color/image_raw/compressedDepth;/right_camera/color/image_raw/theora;/right_camera/depth/camera_info;/right_camera/depth/image_raw;/right_camera/depth/image_raw/compressed;/right_camera/depth/image_raw/compressedDepth;/right_camera/depth/image_raw/theora;/right_camera/image_raw/zstd;/right_gripper_controller/transition_event;/vr/boundary_warning;/vr/haptics
christian_mastershared_20260902_111231,209.8,176740,32,30,2,134.01,2,OK,/estop;/mount_guard
