participant,age,handedness,vr_experience,vr_exp_level,robot_experience,robot_exp_level,condition,condition_code,condition_label,task,task_code,task_label,task_outcome,outcome_score,outcome_success,subscale,rating,subscale_label,subscale_order
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,mental,95,Mental demand,1
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,physical,95,Physical demand,2
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,temporal,70,Temporal demand,3
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,performance,35,Performance,4
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,effort,80,Effort,5
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,frustration,55,Frustration,6
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,TargetReaching,TR,Target reaching,Success_reached,2,1,mental,75,Mental demand,1
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,TargetReaching,TR,Target reaching,Success_reached,2,1,physical,75,Physical demand,2
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,TargetReaching,TR,Target reaching,Success_reached,2,1,temporal,75,Temporal demand,3
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,TargetReaching,TR,Target reaching,Success_reached,2,1,performance,5,Performance,4
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,TargetReaching,TR,Target reaching,Success_reached,2,1,effort,70,Effort,5
P1,26,Right,Experienced,3,Experienced,3,Mannequin,MM,Master mannequin,TargetReaching,TR,Target reaching,Success_reached,2,1,frustration,25,Frustration,6
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,mental,65,Mental demand,1
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,physical,65,Physical demand,2
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,temporal,60,Temporal demand,3
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,performance,5,Performance,4
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,effort,10,Effort,5
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,frustration,5,Frustration,6
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,TargetReaching,TR,Target reaching,Success_reached,2,1,mental,55,Mental demand,1
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,TargetReaching,TR,Target reaching,Success_reached,2,1,physical,75,Physical demand,2
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,TargetReaching,TR,Target reaching,Success_reached,2,1,temporal,55,Temporal demand,3
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,TargetReaching,TR,Target reaching,Success_reached,2,1,performance,0,Performance,4
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,TargetReaching,TR,Target reaching,Success_reached,2,1,effort,0,Effort,5
P1,26,Right,Experienced,3,Experienced,3,SharedAutonomy,SA,Shared autonomy,TargetReaching,TR,Target reaching,Success_reached,2,1,frustration,5,Frustration,6
P1,26,Right,Experienced,3,Experienced,3,VR,VR,VR teleoperation,PickAndPlace,PP,Pick-and-place,Success_picked_and_placed,2,1,mental,80,Mental demand,1
