t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0005,reach,,,,,,,,,,,,0.40999999661990094,0.26999999811649295,1.249999999175025,-0.08960372584037765,0.48602019749932723,0.869336125503037,0.0032001302481907685,0.41,0.27,1.25,0.0,DIRECT,,,,,,,,,8.0,0.0,0.0,0.2563779796985975,,0,"[-1.90884, -1.87515, -1.43634, -1.63176, -2.66822, -0.07263, 1.15667]","[-0.74204, 1.45357, 1.07143, 1.7632, -0.37608, -0.53701, 2.4304]",-0.40999999278727806,0.2699999921379887,1.349999990210306,0.13349925620338274,0.5422969723399133,0.8287953337343564,0.034499813974335256,-0.41,0.27,1.35,0.0,0.2563779796985975,0.26749781054740596,sim,8.0,0.0,0.0,,,,,,,,
0.0579,reach,,,,,,,,,,,,0.40999999655779995,0.2699999982121823,1.2499999990401904,-0.0896037260314591,0.48602019795016066,0.8693361252314538,0.003200130204838833,0.41,0.27,1.25,0.0,DIRECT,,,,,,,,,9.0,0.0,0.0,0.25637800911652947,,0,"[-1.90884, -1.87516, -1.43636, -1.63176, -2.66846, -0.07263, 1.15692]","[-0.74209, 1.45367, 1.07156, 1.7632, -0.37593, -0.53696, 2.43013]",-0.40999999149263616,0.2699999923782232,1.3499999904955462,0.13349925704367696,0.5422969735925653,0.8287953327801799,0.0344998139548845,-0.41,0.27,1.35,0.0,0.25637800911652947,0.26749781054915295,sim,9.0,0.0,0.0,,,,,,,,
0.118,reach,,,,,,,,,,,,0.40999999658332964,0.26999999817532877,1.2499999990932156,-0.08960372595678946,0.4860201977748292,0.8693361253371029,0.0032001302238143106,0.41,0.2635555555555556,1.262888888888889,0.0,DIRECT,,,,,,,,,10.0,0.0,0.0,0.2563780206199242,,0,"[-1.90883, -1.87518, -1.43638, -1.63176, -2.66871, -0.07262, 1.15719]","[-0.74216, 1.45383, 1.07178, 1.76318, -0.3757, -0.53686, 2.42971]",-0.409999965592145,0.2700065522372826,1.350000905922102,0.13349849483067572,0.5422957251417398,0.828796178247166,0.03450207665968234,-0.41,0.2635555555555556,1.3371111111111111,0.0,0.2563780206199242,0.26749780949762325,sim,10.0,0.0,0.0,,,,,,,,
0.1778,reach,,,,,,,,,,,,0.40999999658332964,0.26999999817532877,1.2499999990932156,-0.08960372595678946,0.4860201977748292,0.8693361253371029,0.0032001302238143106,0.41,0.2635555555555556,1.262888888888889,0.0,DIRECT,,,,,,,,,11.0,0.0,0.0,0.2563780514484471,,0,"[-1.9136, -1.86412, -1.42486, -1.65553, -2.67607, -0.10267, 1.15401]","[-0.7662, 1.46091, 1.07374, 1.77542, -0.39212, -0.53083, 2.42856]",-0.409999965592145,0.2700065522372826,1.350000905922102,0.13349849483067572,0.5422957251417398,0.828796178247166,0.03450207665968234,-0.41,0.2635555555555556,1.3371111111111111,0.0,0.2563780514484471,0.2675004835839536,sim,11.0,0.0,0.0,,,,,,,,
0.2382,reach,,,,,,,,,,,,0.4100509927909545,0.2662222776642435,1.2577804684569698,-0.08957305797204254,0.48599144407757805,0.8693551362548919,0.0032604656363477134,0.41,0.2575555555555556,1.274888888888889,0.0,DIRECT,,,,,,,,,12.0,0.0,0.0,0.25616771723756243,,0,"[-1.91654, -1.8573, -1.41774, -1.67026, -2.6807, -0.12126, 1.15214]","[-0.77732, 1.46426, 1.07475, 1.78106, -0.39958, -0.528, 2.42782]",-0.40998819136907216,0.2656305180652118,1.3411327370328454,0.13353147483009817,0.5423003380083123,0.8287872567018479,0.03451625348142883,-0.41,0.2575555555555556,1.3251111111111111,0.0,0.25616771723756243,0.26580201423410205,sim,12.0,0.0,0.0,,,,,,,,
0.2978,reach,,,,,,,,,,,,0.4099999966914063,0.263556159869683,1.262887744718272,-0.08960371468979782,0.4860201940337358,0.8693361285810938,0.0032001326277436956,0.41,0.2575555555555556,1.274888888888889,0.0,DIRECT,,,,,,,,,13.0,0.0,0.0,0.25616771723756243,,0,"[-1.92246, -1.84608, -1.40695, -1.69377, -2.68892, -0.15184, 1.14988]","[-0.80134, 1.47163, 1.07675, 1.79217, -0.41608, -0.52073, 2.42666]",-0.4099999794716789,0.26355554419930566,1.3371111044533392,0.1334992726639479,0.542296962710981,0.8287953376288877,0.03449980807569653,-0.41,0.2575555555555556,1.3251111111111111,0.0,0.25616771723756243,0.2650281101762648,sim,13.0,0.0,0.0,,,,,,,,
0.3582,reach,,,,,,,,,,,,0.41002735320964945,0.25881666597761105,1.2724972896126867,-0.08958069446470453,0.48600232518019615,0.8693483743964775,0.003231568174471161,0.41,0.252,1.286,0.0,DIRECT,,,,,,,,,14.0,0.0,0.0,0.2559964385588459,,0,"[-1.92588, -1.83965, -1.40079, -1.70728, -2.69375, -0.16942, 1.14871]","[-0.8103, 1.47443, 1.07759, 1.7963, -0.42209, -0.518, 2.42604]",-0.4099999146949083,0.2575554015187483,1.325110971327104,0.13349944618790902,0.5422969617826566,0.8287953069696382,0.034499887737856616,-0.41,0.252,1.314,0.0,0.2559964385588459,0.2650281101762648,sim,14.0,0.0,0.0,,,,,,,,
0.4179,reach,,,,,,,,,,,,0.4100279367883302,0.2560498081442942,1.2780314512950075,-0.08957568452153578,0.4860009900050245,0.869349639362568,0.0032309436403897504,0.41,0.252,1.286,0.0,DIRECT,,,,,,,,,15.0,0.0,0.0,0.2558351050900719,,0,"[-1.93273, -1.8288, -1.39121, -1.72964, -2.70247, -0.19936, 1.14742]","[-0.83433, 1.48206, 1.07967, 1.80638, -0.43866, -0.50959, 2.4249]",-0.40999524821921984,0.2564915242038512,1.3229184900676543,0.13351372170736905,0.5422974307578571,0.8287922603641542,0.034510460294678746,-0.41,0.252,1.314,0.0,0.2558351050900719,0.26284985821613666,sim,15.0,0.0,0.0,,,,,,,,
0.4777,reach,,,,,,,,,,,,0.4100081552084285,0.25237001895394967,1.2853017856443374,-0.08959504198662327,0.48601435069741344,0.869340256707737,0.0032089616564843207,0.41,0.2468888888888889,1.2962222222222222,0.0,DIRECT,,,,,,,,,16.0,0.0,0.0,0.25577143345891734,,0,"[-1.93567, -1.82416, -1.38711, -1.73927, -2.70633, -0.21223, 1.147]","[-0.84108, 1.48426, 1.08034, 1.80921, -0.4432, -0.5072, 2.4244]",-0.40999994887679914,0.25199991875990196,1.313999929259978,0.13349935379468006,0.5422969640245989,0.8287953218750609,0.03449985194344857,-0.41,0.2468888888888889,1.303777777777778,0.0,0.25577143345891734,0.26247381576466733,sim,16.0,0.0,0.0,,,,,,,,
0.5385,reach,,,,,,,,,,,,0.41002604558112327,0.24891369903519373,1.2923034504708102,-0.08957208812554476,0.48600087940514114,0.8693500858728086,0.0032271410256473343,0.41,0.2468888888888889,1.2962222222222222,0.0,DIRECT,,,,,,,,,17.0,0.0,0.0,0.25572324594350226,,0,"[-1.94343, -1.81348, -1.37841, -1.76108, -2.71558, -0.24219, 1.14645]","[-0.86388, 1.49174, 1.08242, 1.8179, -0.45899, -0.49821, 2.42335]",-0.40999474631764854,0.24895882024063548,1.3078360489385783,0.13351592989795538,0.5422964129746102,0.8287923715965482,0.03451523897823294,-0.41,0.2468888888888889,1.303777777777778,0.0,0.25572324594350226,0.26093990971595415,sim,17.0,0.0,0.0,,,,,,,,
