t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.5074,reach,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.0,0.0,0.0,1.0,-0.33864273073930146,-0.4740998230350182,0.8127425537743138,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5132,reach,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.0,0.0,0.0,1.0,-0.33864273073930146,-0.4740998230350182,0.8127425537743138,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5148,reach,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.0,0.0,0.0,1.0,-0.33864273073930146,-0.4740998230350182,0.8127425537743138,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5164,reach,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.0,0.0,0.0,1.0,-0.33864273073930146,-0.4740998230350182,0.8127425537743138,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7762814361556429,0.3596540106178992,0.9550645532264593,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5185,reach,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.0,0.0,0.0,1.0,-0.33864273073930146,-0.4740998230350182,0.8127425537743138,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.519,reach,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.0,0.0,0.0,1.0,0.638812181360255,0.30577945080449187,-0.7059871984756211,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5195,reach,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.0,0.0,0.0,1.0,0.638812181360255,0.30577945080449187,-0.7059871984756211,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5204,reach,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.0,0.0,0.0,1.0,0.638812181360255,0.30577945080449187,-0.7059871984756211,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5261,reach,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.0,0.0,0.0,1.0,0.638812181360255,0.30577945080449187,-0.7059871984756211,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
0.5269,reach,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.0,0.0,0.0,1.0,0.638812181360255,0.30577945080449187,-0.7059871984756211,1,0.6966417630273192,0.24805277152555355,1.146345874387925,-0.08961460920896534,0.4860428431323059,0.8693224320181651,0.0031757906435978082,0.7778145853909075,0.36038788129982996,0.9533701839501179,0.7929,DIRECT,tag_0,0.6379465803471611,0.27589316069432224,0,"[0.6379465803471611, 0.3620534196528389]","[""tag_0"", ""tag_1""]",0,"{""j1"": true, ""j2"": true, ""j3"": true, ""j4"": true, ""j5"": true, ""j6"": true, ""j7"": true, ""accel"": true, ""gyro"": true, ""imu2"": true}",0.0,6277.0,0.0,-1.0,0.0,1
