condition,coupling,duration_s,height_diff_max_mm,height_diff_rms_mm,invalid_reason,min_sag_mm,participant,path_efficiency,scenario,sep_err_max_mm,sep_err_rms_mm,task,tilt_max_deg,tilt_rms_deg,time_above_threshold_s,valid,wear_time_s
direct,compliant,4.78,14.505828289447908,6.234438414647393,,63.98550058545517,P00,1.0,S1_short_straight,15.765901928539549,7.106862307082932,T6_compliant,2.6790868727957777,1.1519933332672267,0.0,True,300
direct,compliant,9.58,13.632457112029872,5.847129947931292,,64.02742279586056,P00,1.0,S2_long_height,16.286152275866883,7.442464858776028,T6_compliant,2.5179978685240045,1.0804582842387973,0.0,True,360
direct,compliant,7.18,12.783332970137007,5.911651774601803,,63.36707945754277,P00,0.7838508992371378,S3_curved_obstacle,16.249065844004875,7.959307536089926,T6_compliant,2.361342888182744,1.092385057515811,0.0,True,420
direct,compliant,7.18,10.957040095332271,5.980339776426549,,24.244690357815152,P00,1.0,S4_tight,16.64818869647988,7.791368706173795,T6_compliant,1.9017018269593002,1.038130847057544,0.7000000000000006,True,480
assisted,compliant,4.78,6.905432907539755,3.3640642498580138,,71.49838783493172,P00,1.0,S1_short_straight,9.45566538726894,4.1518388210097275,T6_compliant,1.276086256998647,0.6217183549378349,0.0,True,540
assisted,compliant,9.58,6.651610571466016,3.3202457028079646,,71.90521039611797,P00,1.0,S2_long_height,9.878817188889943,4.073980661343418,T6_compliant,1.2291959418812388,0.6136231432354815,0.0,True,600
assisted,compliant,7.18,6.826638201650415,3.2437969129051645,,72.07856874540215,P00,0.7838508992371378,S3_curved_obstacle,8.933723068692334,4.210970065393534,T6_compliant,1.2615301586426315,0.5994951251342358,0.0,True,660
assisted,compliant,7.18,6.340908061475581,3.288084487461445,,41.30855811685831,P00,1.0,S4_tight,10.109411962128057,4.244013477261908,T6_compliant,1.1007956597492718,0.5708568071602463,0.0,True,720
shared,compliant,4.78,2.945587507131364,1.5094933929600995,,77.14452415609878,P00,1.0,S1_short_straight,4.157428005317653,1.795062629177005,T6_compliant,0.5444021078651172,0.2789883486407854,0.0,True,780
shared,compliant,9.58,3.5083771974973033,1.4996599618855528,,77.31058854474634,P00,1.0,S2_long_height,3.9940948417019895,1.889261687409193,T6_compliant,0.6484084672632789,0.2771708922820437,0.0,True,840
shared,compliant,7.18,2.9860077926717743,1.4698332362224475,,76.88135971471561,P00,0.7838508992371378,S3_curved_obstacle,4.415371942381341,1.9115360678870987,T6_compliant,0.5518721072546611,0.27165841380156647,0.0,True,900
shared,compliant,7.18,2.939029230946577,1.4719842184392389,,51.90032258602621,P00,1.0,S4_tight,4.300114004599065,2.0085913032195566,T6_compliant,0.5102712687956172,0.25556809288464855,0.0,True,960
assisted,compliant,4.78,7.897999042340675,3.403774823195641,,71.40986067958909,P01,1.0,S1_short_straight,9.534860681720769,4.099298345634787,T6_compliant,1.4594327075800477,0.6290553719321543,0.0,True,1020
assisted,compliant,9.58,6.451534351196386,3.2664419704868064,,72.25310026877378,P01,1.0,S2_long_height,8.906415296702496,4.323494599495411,T6_compliant,1.1922333460602692,0.6036810525968406,0.0,True,1080
assisted,compliant,7.18,6.9851807559278,3.331380213174018,,72.05453495761155,P01,0.7838508992371378,S3_curved_obstacle,9.578512136777906,4.3733305079506914,T6_compliant,1.2908182658728633,0.6156821608774363,0.0,True,1140
assisted,compliant,7.18,6.600248036618073,3.309203781566783,,42.282536674812974,P01,1.0,S4_tight,9.630311323021278,4.494462839619363,T6_compliant,1.1458058859595253,0.5745210806492363,0.0,True,1200
shared,compliant,4.78,3.1769119437372595,1.5918533995751014,,76.94182432570435,P01,1.0,S1_short_straight,4.356203498085575,1.7762189840738176,T6_compliant,0.5871524980704862,0.29421003364327497,0.0,True,1260
shared,compliant,9.58,2.994893745732252,1.4507917519150353,,76.66037881905444,P01,1.0,S2_long_height,4.631125728647934,1.92147184757317,T6_compliant,0.5535143015569407,0.26813921058518175,0.0,True,1320
shared,compliant,7.18,3.0188832786373077,1.555932870613552,,77.1187022844979,P01,0.7838508992371378,S3_curved_obstacle,4.246871554437148,1.8748484897095874,T6_compliant,0.5579477521453589,0.2875711540723091,0.0,True,1380
shared,compliant,7.18,3.2264851532342043,1.523017530937608,,52.253485961012366,P01,1.0,S4_tight,4.203449867002885,2.0094655896533453,T6_compliant,0.560176035270885,0.26442845722319175,0.0,True,1440
direct,compliant,4.78,13.604330845985224,6.4125361753630745,,63.485309425035304,P01,1.0,S1_short_straight,16.157112368916593,7.6646155844226405,T6_compliant,2.5128094417253086,1.184892161767938,0.0,True,1500
direct,compliant,9.58,13.847901879143532,5.9370968567613325,,60.562919621171226,P01,1.0,S2_long_height,18.37254919959158,7.3965843156703395,T6_compliant,2.557739392617423,1.097072177257644,0.0,True,1560
direct,compliant,7.18,12.305099152434718,5.922038188199005,,63.3738372409209,P01,0.7838508992371378,S3_curved_obstacle,16.24381528765423,7.734492596125987,T6_compliant,2.273097790160274,1.094307992378148,0.0,True,1620
direct,compliant,7.18,12.326982660852526,6.163532944141715,,27.898765297422155,P01,1.0,S4_tight,15.540750742118693,7.55742801126094,T6_compliant,2.139260148304847,1.0699054933743812,0.5800000000000005,True,1680
shared,compliant,4.78,3.293119606914363,1.6069928064358714,,77.3079458499752,P02,1.0,S1_short_straight,3.996697488730272,1.837594956554714,T6_compliant,0.6086282515113602,0.29700808542937746,0.0,True,1740
shared,compliant,9.58,3.6118264872833095,1.459284054658417,,77.06186233714193,P02,1.0,S2_long_height,4.390311116963142,1.8698066542764442,T6_compliant,0.6675259705723321,0.2697085688243281,0.0,True,1800
shared,compliant,7.18,3.1557362569398784,1.477745086795075,,77.30916952509591,P02,0.7838508992371378,S3_curved_obstacle,4.2562099623758565,1.953219474687926,T6_compliant,0.5832391080071151,0.27312066730041745,0.0,True,1860
shared,compliant,7.18,2.909193935077159,1.508901908003843,,51.67880633846122,P02,1.0,S4_tight,4.390795180918894,2.0748147338590788,T6_compliant,0.5050915647818928,0.2619777676498562,0.0,True,1920
direct,compliant,4.78,13.081260738429634,6.120937186532939,,58.92953935892371,P02,1.0,S1_short_straight,19.55915639499417,7.842514391929119,T6_compliant,2.4163117489693176,1.131032957991935,0.0,True,1980
direct,compliant,9.58,11.98611698370966,5.826460496330439,,64.67406287664015,P02,1.0,S2_long_height,15.221558885805674,7.575062090356154,T6_compliant,2.214232245636301,1.0766490371725685,0.0,True,2040
direct,compliant,7.18,12.015693642680514,5.887026503820367,,60.90020257079036,P02,0.7838508992371378,S3_curved_obstacle,18.122936271371902,7.625410805614135,T6_compliant,2.219690574235005,1.0878335785332898,0.0,True,2100
direct,compliant,7.18,13.282427625141313,6.033880889433826,,25.430996167405,P02,1.0,S4_tight,16.28464842631083,7.76207649241668,T6_compliant,2.3048984170809677,1.0474071818124864,0.7400000000000007,True,2160
assisted,compliant,4.78,7.737493934481865,3.542517244334527,,71.7663617598769,P02,1.0,S1_short_straight,9.215220938792179,4.218463336353619,T6_compliant,1.4297861908319691,0.6546955807464311,0.0,True,2220
assisted,compliant,9.58,7.345548864385876,3.207031587900354,,71.37114058558454,P02,1.0,S2_long_height,10.331594005096424,4.074022455373305,T6_compliant,1.3573877628805713,0.592699925680043,0.0,True,2280
assisted,compliant,7.18,6.451209627625243,3.2743744633341385,,71.81761170165856,P02,0.7838508992371378,S3_curved_obstacle,10.635069258491614,4.452327189959533,T6_compliant,1.1921733549770133,0.6051464661790461,0.0,True,2340
