t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.001,reach,,,,,,,,,,,,0.6670840548636575,-0.044592238561296516,1.1628003143678962,,,,,0.0,0.0,0.0,0.0,DIRECT,,,,,,,,,,,,,,0
0.056,reach,,,,,,,,,,,,0.6670970196876423,-0.044597939697060385,1.1627987705580145,,,,,0.0,0.0,-0.025000000000000133,0.0,DIRECT,,,,,,,,,,,,,,0
0.1085,reach,,,,,,,,,,,,0.6671031157773512,-0.04459676841879867,1.1620992123926412,,,,,0.0,0.0,-0.050000000000000044,0.0,DIRECT,,,,,,,,,,,,,,0
0.1655,reach,,,,,,,,,,,,0.6672860851434571,-0.044502341568532666,1.1502084632500855,,,,,0.0,0.0,-0.07499999999999996,0.0,DIRECT,,,,,,,,,,,,,,0
0.2179,reach,,,,,,,,,,,,0.6672860851434571,-0.044502341568532666,1.1502084632500855,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.2695,reach,,,,,,,,,,,,0.6675913128691351,-0.044340241630370925,1.1363846705600196,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.3312,reach,,,,,,,,,,,,0.668044878021887,-0.04409605129204908,1.1204654637600164,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.386,reach,,,,,,,,,,,,0.6685370852918764,-0.043833791489431506,1.1059236467207219,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
0.4451,grasp,,,,,,,,,,,,0.668746809919895,-0.04371939871777536,1.0919887182468815,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.4972,grasp,,,,,,,,,,,,0.6684994022631915,-0.043845618894346516,1.0820995092962726,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.5502,grasp,,,,,,,,,,,,0.6684994022631915,-0.043845618894346516,1.0820995092962726,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.6091,grasp,,,,,,,,,,,,0.6676275263328793,-0.044300674975359944,1.068456910624582,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.6656,grasp,,,,,,,,,,,,0.6672080360541653,-0.04453443160985393,1.0639030047289788,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.7171,grasp,,,,,,,,,,,,0.6671172858838899,-0.044588018639219684,1.062987446488811,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.775,grasp,,,,,,,,,,,,0.6671019361002476,-0.04459687595482681,1.0628377245754856,,,,,0.0,0.0,-0.07333333333333347,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.8289,grasp,,,,,,,,,,,,0.6671019361002476,-0.04459687595482681,1.0628377245754856,,,,,0.0,0.0,-0.046666666666666634,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.8882,grasp,,,,,,,,,,,,0.6671327663842086,-0.04458220869347013,1.0664131054603214,,,,,0.0,0.0,-0.020000000000000018,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.9461,grasp,,,,,,,,,,,,0.6673627793861621,-0.04447385014743571,1.0794378617942395,,,,,0.0,0.0,-0.020000000000000018,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
0.9975,grasp,,,,,,,,,,,,0.6677819811800185,-0.04427070543152889,1.0942909524514464,,,,,0.0,0.0,-0.020000000000000018,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
1.0545,grasp,,,,,,,,,,,,0.6682796049102866,-0.04402779559088871,1.1101886625629271,,,,,0.0,0.0,-0.046666666666666634,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
1.1083,grasp,,,,,,,,,,,,0.6682796049102866,-0.04402779559088871,1.1101886625629271,,,,,0.0,0.0,-0.07333333333333347,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
1.1663,grasp,,,,,,,,,,,,0.668021520411622,-0.044151346253918256,1.1252482239501023,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
1.2269,grasp,,,,,,,,,,,,0.6673654879857018,-0.044466770223788366,1.1174669292798778,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
1.2937,grasp,,,,,,,,,,,,0.66752449707846,-0.04438546564429069,1.103887706193078,,,,,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,,,,,,0
1.3482,reach,,,,,,,,,,,,0.6678514092032233,-0.0442185587605225,1.0895491415730845,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
1.4043,reach,,,,,,,,,,,,0.6677567294253782,-0.044261166862184065,1.075996572457536,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
1.4617,reach,,,,,,,,,,,,0.6677567294253782,-0.044261166862184065,1.075996572457536,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
1.5161,reach,,,,,,,,,,,,0.6672818796990062,-0.04450009409936362,1.0655858773516846,,,,,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,,,,,,0
1.5758,reach,,,,,,,,,,,,0.6671392245406202,-0.044576347694351814,1.0633933991000073,,,,,0.0,0.0,-0.07499999999999996,0.0,DIRECT,,,,,,,,,,,,,,0
