t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0007,reach,,,,,,,,,,,,0.23920005020624646,0.44089973295104257,1.622899617540802,,,,,0.2392,0.4409,1.6229,0.0,ASSIST,,,,,,,,,,,,,,0
0.0524,reach,,,,,,,,,,,,0.23920005020624646,0.44089973295104257,1.622899617540802,,,,,0.24208461538461537,0.44206153846153845,1.5946076923076924,0.0,ASSIST,,,,,,,,,,,,,,0
0.1057,reach,,,,,,,,,,,,0.2396036421181551,0.44122228012928455,1.6185820978383354,,,,,0.24496923076923077,0.44322307692307694,1.5663153846153846,0.0,ASSIST,,,,,,,,,,,,,,0
0.1663,reach,,,,,,,,,,,,0.24109061283016692,0.4422648395396104,1.6031099959924915,,,,,0.24785384615384615,0.4443846153846154,1.538023076923077,0.0,ASSIST,,,,,,,,,,,,,,0
0.2187,reach,,,,,,,,,,,,0.24109061283016692,0.4422648395396104,1.6031099959924915,,,,,0.2507384615384615,0.44554615384615387,1.5097307692307693,0.0,ASSIST,,,,,,,,,,,,,,0
0.2749,reach,,,,,,,,,,,,0.24277049312645776,0.44356840789168406,1.5859405032439065,,,,,0.2536230769230769,0.4467076923076923,1.4814384615384615,0.0,ASSIST,,,,,,,,,,,,,,0
0.3275,reach,,,,,,,,,,,,0.24468835786791818,0.4451241394503248,1.5675665336816986,,,,,0.2565076923076923,0.4478692307692308,1.4531461538461539,0.0,ASSIST,,,,,,,,,,,,,,0
0.3875,reach,,,,,,,,,,,,0.24682010953650557,0.4469179512985798,1.5491738033625035,,,,,0.2593923076923077,0.44903076923076923,1.4248538461538462,0.0,ASSIST,,,,,,,,,,,,,,0
0.4456,reach,,,,,,,,,,,,0.24890020318496558,0.4485824410475575,1.5331698075041844,,,,,0.2622769230769231,0.4501923076923077,1.3965615384615386,0.0,ASSIST,,,,,,,,,,,,,,0
0.4975,reach,,,,,,,,,,,,0.24890020318496558,0.4485824410475575,1.5331698075041844,,,,,0.26516153846153845,0.45135384615384616,1.3682692307692308,0.0,ASSIST,,,,,,,,,,,,,,0
0.5581,reach,,,,,,,,,,,,0.2512388918861276,0.45041992158647937,1.5168906219275227,,,,,0.2680461538461538,0.45251538461538465,1.3399769230769232,0.0,ASSIST,,,,,,,,,,,,,,0
0.617,reach,,,,,,,,,,,,0.25375078285945246,0.45244932108519575,1.5008086372659442,,,,,0.27093076923076925,0.4536769230769231,1.3116846153846156,0.0,ASSIST,,,,,,,,,,,,,,0
0.6796,reach,,,,,,,,,,,,0.25717805369356517,0.4554953020747815,1.4804042108975517,,,,,0.2738153846153846,0.4548384615384616,1.2833923076923077,0.0,ASSIST,,,,,,,,,,,,,,0
0.7363,reach,,,,,,,,,,,,0.2608061628287054,0.45880546859222815,1.4583938331187118,,,,,0.2767,0.456,1.2551,0.0,ASSIST,,,,,,,,,,,,,,0
0.7952,reach,,,,,,,,,,,,0.2646808616906685,0.46250163500054897,1.4337726799480215,,,,,0.2803090909090909,0.44034545454545454,1.230018181818182,0.0,ASSIST,,,,,,,,,,,,,,0
0.8493,reach,,,,,,,,,,,,0.2646808616906685,0.46250163500054897,1.4337726799480215,,,,,0.28391818181818185,0.4246909090909091,1.2049363636363637,0.0,ASSIST,,,,,,,,,,,,,,0
0.9006,reach,,,,,,,,,,,,0.2685737302861562,0.46469389370448566,1.4097768343678603,,,,,0.28752727272727274,0.40903636363636364,1.1798545454545455,0.0,ASSIST,,,,,,,,,,,,,,0
0.9552,reach,,,,,,,,,,,,0.2727241374061119,0.4643447368769159,1.3852336807830952,,,,,0.29113636363636364,0.39338181818181817,1.1547727272727273,0.0,ASSIST,,,,,,,,,,,,,,0
1.0098,reach,,,,,,,,,,,,0.2768417748842984,0.46186542915538265,1.3603644651051923,,,,,0.29474545454545453,0.37772727272727274,1.129690909090909,0.0,ASSIST,,,,,,,,,,,,,,0
