t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0006,reach,,,,,,,,,,,,0.29709999155420586,0.13539997990965008,1.1628000033740677,,,,,0.2971,0.1354,1.1628,0.0,ASSIST,,,,,,,,,,,,,,0
0.0584,reach,,,,,,,,,,,,0.29709999155420586,0.13539997990965008,1.1628000033740677,,,,,0.2971,0.1354,1.1378,0.0,ASSIST,,,,,,,,,,,,,,0
0.1109,reach,,,,,,,,,,,,0.2970999913101192,0.13539997986990382,1.1628000034432682,,,,,0.2971,0.1354,1.1128,0.0,ASSIST,,,,,,,,,,,,,,0
0.1677,reach,,,,,,,,,,,,0.29719121669641996,0.13576003950695875,1.1549861638188985,,,,,0.2971,0.1354,1.0878,0.0,ASSIST,,,,,,,,,,,,,,0
0.2208,reach,,,,,,,,,,,,0.29719121669641996,0.13576003950695875,1.1549861638188985,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.275,reach,,,,,,,,,,,,0.2972692227514108,0.13635522231734526,1.1471080669087124,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.3278,reach,,,,,,,,,,,,0.29726383699315995,0.13757839166864416,1.1358190091243288,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.3815,reach,,,,,,,,,,,,0.29719317847949756,0.1383469013856352,1.1266575854561864,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.4342,reach,,,,,,,,,,,,0.29719317847949756,0.1383469013856352,1.1266575854561864,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.4887,reach,,,,,,,,,,,,0.2970980070754167,0.1388388004925854,1.1169511767723634,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.5461,reach,,,,,,,,,,,,0.296991592877049,0.13899765254901314,1.1070451491116902,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.5974,reach,,,,,,,,,,,,0.29688332295278097,0.1388242699944469,1.0976249547711576,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.6565,grasp,,,,,,,,,,,,0.2968253093485628,0.13826738103345032,1.0872791650800322,,,,,0.2971,0.1354,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
0.7124,grasp,,,,,,,,,,,,0.2968253093485628,0.13826738103345032,1.0872791650800322,,,,,0.2971,0.1354,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
0.7675,grasp,,,,,,,,,,,,0.296836132609932,0.13753633040793217,1.0789361517905545,,,,,0.2971,0.1354,1.0894666666666666,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
0.8238,grasp,,,,,,,,,,,,0.2969236405680567,0.13653360071326143,1.07308290401261,,,,,0.2971,0.1354,1.1161333333333334,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
0.8772,grasp,,,,,,,,,,,,0.29701446038376933,0.1358315933512318,1.0867124692797008,,,,,0.2971,0.1354,1.1428,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
0.9293,grasp,,,,,,,,,,,,0.2968864504126679,0.1362358713534731,1.0959828894909958,,,,,0.2971,0.1354,1.1428,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
0.9821,grasp,,,,,,,,,,,,0.2968864504126679,0.1362358713534731,1.0959828894909958,,,,,0.3021,0.10665,1.1428,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.0363,grasp,,,,,,,,,,,,0.2967524172224965,0.136714893794657,1.105315594495664,,,,,0.3071,0.0779,1.1428,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.0877,grasp,,,,,,,,,,,,0.2975192712652925,0.12984263592624862,1.112198336859376,,,,,0.3121,0.04915,1.1428,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.1398,grasp,,,,,,,,,,,,0.2975192712652925,0.12984263592624862,1.112198336859376,,,,,0.3171,0.0204,1.1428,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.1917,grasp,,,,,,,,,,,,0.2988518091459491,0.11879640914197725,1.1165175724858674,,,,,0.3171,0.0204,1.1161333333333334,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.2477,grasp,,,,,,,,,,,,0.30077773089330034,0.10439735101886222,1.1185741420871478,,,,,0.3171,0.0204,1.0894666666666666,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.3123,grasp,,,,,,,,,,,,0.30428923980679146,0.08638916160726684,1.1145148857424858,,,,,0.3171,0.0204,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.3729,grasp,,,,,,,,,,,,0.3076736415065279,0.07152249689435802,1.1048507666538905,,,,,0.3171,0.0204,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.4252,grasp,,,,,,,,,,,,0.3076736415065279,0.07152249689435802,1.1048507666538905,,,,,0.3171,0.0204,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.4772,grasp,,,,,,,,,,,,0.31026692696922764,0.06000734794071977,1.093752017106027,,,,,0.3171,0.0204,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.5393,grasp,,,,,,,,,,,,0.31266880204054825,0.04775172536514083,1.083101582145284,,,,,0.3171,0.0204,1.0628,0.42352941176470593,ASSIST,,,,,,,,,,,,,,0
1.6005,reach,,,,,,,,,,,,0.31476820856888454,0.0355758939289989,1.0735297840372646,,,,,0.3171,0.0204,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
1.6641,reach,,,,,,,,,,,,0.3166929090670427,0.023161754565910186,1.064661654056729,,,,,0.3171,0.0204,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
1.7168,reach,,,,,,,,,,,,0.31709694666175603,0.020400862150742605,1.0627989443324115,,,,,0.3171,0.0204,1.0878,0.0,ASSIST,,,,,,,,,,,,,,0
1.7717,reach,,,,,,,,,,,,0.31709694666175603,0.020400862150742605,1.0627989443324115,,,,,0.3171,0.0204,1.1128,0.0,ASSIST,,,,,,,,,,,,,,0
1.8313,reach,,,,,,,,,,,,0.31701377205313197,0.020616211115776717,1.0693066280563515,,,,,0.3171,0.0204,1.1378,0.0,ASSIST,,,,,,,,,,,,,,0
1.8909,reach,,,,,,,,,,,,0.3168164100616384,0.02114399703536768,1.0794284672266652,,,,,0.3171,0.0204,1.1628,0.0,ASSIST,,,,,,,,,,,,,,0
1.9438,reach,,,,,,,,,,,,0.3165130018312312,0.022054327786900363,1.0883258671626452,,,,,0.3571,0.1354,1.1628,0.0,ASSIST,,,,,,,,,,,,,,0
1.9965,reach,,,,,,,,,,,,0.3184226378430771,0.029636124857599644,1.0969912378297282,,,,,0.3571,0.1354,1.1378,0.0,ASSIST,,,,,,,,,,,,,,0
2.0498,reach,,,,,,,,,,,,0.3184226378430771,0.029636124857599644,1.0969912378297282,,,,,0.3571,0.1354,1.1128,0.0,ASSIST,,,,,,,,,,,,,,0
2.11,reach,,,,,,,,,,,,0.32408077723652146,0.047550559460012964,1.1015909342215686,,,,,0.3571,0.1354,1.0878,0.0,ASSIST,,,,,,,,,,,,,,0
2.1741,reach,,,,,,,,,,,,0.329998345025835,0.06676103392317295,1.10118254493432,,,,,0.3571,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
2.2286,reach,,,,,,,,,,,,0.33355546094383104,0.0786227937178437,1.0966481501439063,,,,,0.3571,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
2.2872,reach,,,,,,,,,,,,0.33663837246888834,0.08873548006316029,1.0898147223551988,,,,,0.3571,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
