t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0006,reach,,,,,,,,,,,,0.47709701679139305,0.08040205991503285,1.1627981384873702,,,,,0.2971,0.1354,1.1628,0.0,ASSIST,,,,,,,,,,,,,,0
0.0531,reach,,,,,,,,,,,,0.47709701679139305,0.08040205991503285,1.1627981384873702,,,,,0.2971,0.1354,1.1378,0.0,ASSIST,,,,,,,,,,,,,,0
0.1052,reach,,,,,,,,,,,,0.4705815046636207,0.08411828499823315,1.1606606303645681,,,,,0.2971,0.1354,1.1128,0.0,ASSIST,,,,,,,,,,,,,,0
0.1614,reach,,,,,,,,,,,,0.4548354654764258,0.09283176922004238,1.153308434447017,,,,,0.2971,0.1354,1.0878,0.0,ASSIST,,,,,,,,,,,,,,0
0.2201,reach,,,,,,,,,,,,0.4373469111291275,0.10226203908418502,1.1438774561304956,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.2872,reach,,,,,,,,,,,,0.42292000870505364,0.10989542807734343,1.1338296675857908,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.3387,reach,,,,,,,,,,,,0.4093561889029457,0.11643924472859418,1.1234825979594347,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.3923,reach,,,,,,,,,,,,0.4093561889029457,0.11643924472859418,1.1234825979594347,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.4465,reach,,,,,,,,,,,,0.3948111158503349,0.12223523143962906,1.1131593629177647,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.5064,reach,,,,,,,,,,,,0.38025122563355496,0.12681768703084823,1.1037489883177527,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.5588,reach,,,,,,,,,,,,0.36280226807554083,0.13092297788373936,1.0935410573378774,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.6152,reach,,,,,,,,,,,,0.36280226807554083,0.13092297788373936,1.0935410573378774,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
0.6723,reach,,,,,,,,,,,,0.34776590375910865,0.13338935369503707,1.085548979481948,,,,,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,,,,,,0
