t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop
0.0006,reach,,,,,,,,,,,,0.25000001704341884,0.3499999806893868,1.3200000020566276,,,,,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,,,,,,0
0.0656,reach,,,,,,,,,,,,0.2499968348792413,0.34999918522136825,1.3200034959894016,,,,,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,,,,,,0
0.117,reach,,,,,,,,,,,,0.2499981100866462,0.3499995037708044,1.3200021577681789,,,,,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,,,,,,0
0.1703,reach,,,,,,,,,,,,0.2499981100866462,0.3499995037708044,1.3200021577681789,,,,,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,,,,,,0
0.2284,reach,,,,,,,,,,,,0.24999867953560467,0.34999964599161476,1.3200015543233847,,,,,0.25,0.35,1.32,0.0,DIRECT,,,,,,,,,,,,,,0
0.2884,reach,,,,,,,,,,,,0.25000001709750747,0.3499999805054826,1.3200000019284328,,,,,0.25,0.35,1.348,0.0,DIRECT,,,,,,,,,,,,,,0
0.3479,reach,,,,,,,,,,,,0.2500269737621228,0.35003860302767115,1.3213805628494908,,,,,0.25,0.35,1.3760000000000001,0.0,DIRECT,,,,,,,,,,,,,,0
0.4063,reach,,,,,,,,,,,,0.2502218732734651,0.35030301685911663,1.3316396632538627,,,,,0.25,0.35,1.4040000000000001,0.0,DIRECT,,,,,,,,,,,,,,0
0.4667,reach,,,,,,,,,,,,0.25052745170763224,0.3506903141096444,1.3414156437776983,,,,,0.25,0.35,1.4320000000000002,0.0,DIRECT,,,,,,,,,,,,,,0
0.5193,reach,,,,,,,,,,,,0.25052745170763224,0.3506903141096444,1.3414156437776983,,,,,0.25,0.35,1.46,0.0,DIRECT,,,,,,,,,,,,,,0
0.5798,reach,,,,,,,,,,,,0.2509516000988502,0.3512511468949569,1.35224814268907,,,,,0.25,0.35,1.488,0.0,DIRECT,,,,,,,,,,,,,,0
0.6379,reach,,,,,,,,,,,,0.2515500036782262,0.35193626427503594,1.3650568881462424,,,,,0.25,0.35,1.516,0.0,DIRECT,,,,,,,,,,,,,,0
0.7012,reach,,,,,,,,,,,,0.2523152134238407,0.35278110311252137,1.3807203341637528,,,,,0.25,0.35,1.544,0.0,DIRECT,,,,,,,,,,,,,,0
0.7569,reach,,,,,,,,,,,,0.25310530772310413,0.3537101344826224,1.3981895956172201,,,,,0.25,0.35,1.572,0.0,DIRECT,,,,,,,,,,,,,,0
0.8164,reach,,,,,,,,,,,,0.25391817592609556,0.3549585668670506,1.4184353731223296,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
0.8687,reach,,,,,,,,,,,,0.25391817592609556,0.3549585668670506,1.4184353731223296,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
0.9282,reach,,,,,,,,,,,,0.25466324342106916,0.35639555209335233,1.439318728370249,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
0.9868,reach,,,,,,,,,,,,0.2551178723585851,0.35744930890822585,1.4585020892666678,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
1.0383,reach,,,,,,,,,,,,0.2553190816221865,0.35808034219798573,1.4758931159340711,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
1.0964,reach,,,,,,,,,,,,0.25529584067071676,0.3584255572070845,1.4905718149058926,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
1.1484,reach,,,,,,,,,,,,0.25529584067071676,0.3584255572070845,1.4905718149058926,,,,,0.25,0.35,1.6,0.0,DIRECT,,,,,,,,,,,,,,0
