participant,session,experiment,block,trial_index,condition,scenario,target_id,arm,completion_time_s,grasp_success,positioning_error_m,failed_attempts,path_length_m,straight_line_m,path_ratio,time_to_handover_s,intervention_count,correction_time_s,fitts_distance_m,fitts_width_m,fitts_id_bits,fitts_movement_time_s,assist_entered,assist_cancelled,assist_duration_s,intent_correct_at_handover,intent_switches,coupling,sep_err_rms_mm,sep_err_max_mm,height_diff_rms_mm,height_diff_max_mm,tilt_rms_deg,tilt_max_deg,path_efficiency,time_above_threshold_s,min_sag_mm,rms_error_mm_left,max_error_mm_left,phase_lag_s_left,frac_on_target_left,rms_error_mm_right,speed_left,speed_right,unimanual,blocks_placed,blocks_missed,blocks_dropped,blocks_attempted,picks,success_rate,carrying_at_end,hold_disturbance_max_mm,hold_disturbance_rms_mm,hold_disturbed,time_to_first_place_s,mean_cycle_time_s,scene_faults,duration_s,samples,kind,dyad_id,role_order,wearer_id,operator_id,mounting,prior_acquaintance,wearer_stance,coordination_latency_s,anticipation_s,initiator,comm_events,comm_requests,comm_warnings,wearer_motion_rms_mm,wearer_motion_hz,sway_amplitude_mm,metronome_bpm,awareness_accuracy,awareness_confidence,wearer_borg,operator_borg,wearer_stop_events,flinch_events,valid,invalid_reason,dropout_fraction,estop_events,nasa_tlx_mental,nasa_tlx_physical,nasa_tlx_temporal,nasa_tlx_performance,nasa_tlx_effort,nasa_tlx_frustration,nasa_tlx_raw,trust_scale,fatigue_borg,wall_clock
PILOT,20260811_224913,msc_m0,0,0,01_master_teleop,D3_three_targets,M0,both,2.9,1,,,0.7035,0.5597,0.7957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:49:21
PILOT,20260811_224913,msc_m0,0,1,06_full_autonomy,D3_three_targets,M0,both,2.9,1,,,0.6946,0.6671,0.9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:49:39
PILOT,20260811_224913,msc_m0,0,2,03_shared_autonomy,D3_three_targets,M0,both,2.9,1,,,0.6944,0.6671,0.9607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:49:51
PILOT,20260811_224913,msc_m0,0,3,02_vr_teleop,D3_three_targets,M0,both,2.9,1,,,0.688,0.6671,0.9695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:50:23
PILOT,20260811_224913,msc_m0,0,4,04_vr_shared,D3_three_targets,M0,both,2.9,1,,,0.644,0.3115,0.4838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,58,single-arm pointing,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:50:39
PILOT,20260811_224913,msc_m1,0,5,01_master_teleop,S1_left_arm,M1,both,7.0,1,,,1.324,0.1882,0.1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:50:59
PILOT,20260811_224913,msc_m1,0,6,06_full_autonomy,S1_left_arm,M1,both,7.0,1,,,1.2502,0.1882,0.1505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:51:22
PILOT,20260811_224913,msc_m1,0,7,03_shared_autonomy,S1_left_arm,M1,both,7.0,1,,,1.2394,0.1882,0.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:51:38
PILOT,20260811_224913,msc_m1,0,8,02_vr_teleop,S1_left_arm,M1,both,7.0,1,,,1.2498,0.1882,0.1506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:52:15
PILOT,20260811_224913,msc_m1,0,9,04_vr_shared,S1_left_arm,M1,both,7.0,1,,,1.3387,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,140,single-arm pick and place,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:52:36
PILOT,20260811_224913,msc_m1s2,0,10,01_master_teleop,S2_both_arms_random,M1S2,both,3.7,1,,,0.7743,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,74,simultaneity,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:53:04
PILOT,20260811_224913,msc_m1s2,0,11,06_full_autonomy,S2_both_arms_random,M1S2,both,3.7,1,,,0.7562,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,74,simultaneity,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:53:19
PILOT,20260811_224913,msc_m1s2,0,12,02_vr_teleop,S2_both_arms_random,M1S2,both,3.7,1,,,0.6871,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,74,simultaneity,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:53:53
PILOT,20260811_224913,msc_m1s2,0,13,04_vr_shared,S2_both_arms_random,M1S2,both,3.7,1,,,0.7532,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,74,simultaneity,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:54:09
PILOT,20260811_224913,msc_m2,0,14,01_master_teleop,S2_full_lift,M2,both,1.05,1,,,0.1844,0.28,1.5183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,21,physical coupling,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:54:31
PILOT,20260811_224913,msc_m2,0,15,06_full_autonomy,S2_full_lift,M2,both,1.05,1,,,0.1899,0.2862,1.5068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,21,physical coupling,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:54:47
PILOT,20260811_224913,msc_m3,0,16,01_master_teleop,S1_measure_cycle,M3,both,3.2,1,,,0.2139,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,64,bimanual by role,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:54:57
PILOT,20260811_224913,msc_m3,0,17,06_full_autonomy,S1_measure_cycle,M3,both,3.2,1,,,0.2129,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,64,bimanual by role,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:55:12
PILOT,20260811_224913,msc_m3,0,18,03_shared_autonomy,S1_measure_cycle,M3,both,3.2,1,,,0.2127,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,64,bimanual by role,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2026-08-11T22:55:28
