t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0007,reach,,,,,,,,,,,,0.24265352086639946,0.4449596811578528,1.6141181914154803,-0.0880095697853113,0.49115212219220383,0.8666074515629515,0.003928535078830314,0.2392,0.4409,1.6229,0.0,DIRECT,,,,,,,,,9215.0,0.0,0.0,0.23525490710514574,,0,"[-3.06986, -1.89254, -1.51153, -0.49375, -1.89031, -0.23176, 0.15851]","[0.14834, 1.79395, 1.22299, 0.57187, -0.2778, -0.26904, 2.36127]",-0.23599730893873225,0.43869916814813725,1.6192015604704806,0.1334992466812523,0.5422974372959729,0.8287950145380296,0.0345002103568348,-0.236,0.4387,1.6192,0.0,0.23525490710514574,0.21423357918148195,sim,7911.0,0.0,1.0,,,,,,,,
0.056,reach,,,,,,,,,,,,0.24062184429614064,0.44258528691222165,1.6192903961030933,-0.08894772826318083,0.4881354426967399,0.8682164711734496,0.0035000575995036936,0.24208461538461537,0.44206153846153845,1.5946076923076924,0.0,DIRECT,,,,,,,,,9216.0,0.0,0.0,0.16785388208723026,,0,"[-3.07942, -1.89273, -1.51243, -0.49377, -1.88984, -0.23152, 0.15893]","[0.14831, 1.79395, 1.223, 0.57192, -0.27779, -0.26906, 2.36124]",-0.23599879537225874,0.43869686380107764,1.6191990281258009,0.13349873277138838,0.5422969575271505,0.8287954277225931,0.03449981436694332,-0.236,0.4387,1.6192,0.0,0.16785388208723026,0.18315458768898285,sim,7912.0,0.0,1.0,,,,,,,,
0.1095,reach,,,,,,,,,,,,0.24062184429614064,0.44258528691222165,1.6192903961030933,-0.08894772826318083,0.4881354426967399,0.8682164711734496,0.0035000575995036936,0.24496923076923077,0.44322307692307694,1.5663153846153846,0.0,DIRECT,,,,,,,,,9217.0,0.0,0.0,0.16639403629337807,,0,"[-3.06496, -1.89543, -1.51064, -0.51176, -1.89121, -0.23342, 0.16555]","[0.1483, 1.79395, 1.22302, 0.57195, -0.27778, -0.26907, 2.3612]",-0.23599879537225874,0.43869686380107764,1.6191990281258009,0.13349873277138838,0.5422969575271505,0.8287954277225931,0.03449981436694332,-0.236,0.4387,1.6192,0.0,0.16639403629337807,0.18315460656767665,sim,7913.0,0.0,1.0,,,,,,,,
0.1663,reach,,,,,,,,,,,,0.24002805204819122,0.44149459012571335,1.6142933743907355,-0.08970724270761081,0.48601223956647893,0.8693297423884916,0.003242313392029183,0.24785384615384615,0.4443846153846154,1.538023076923077,0.0,DIRECT,,,,,,,,,9218.0,0.0,0.0,0.16566307015944529,,0,"[-3.03072, -1.90091, -1.50645, -0.54555, -1.88517, -0.23661, 0.16957]","[0.14829, 1.79396, 1.22305, 0.57195, -0.27778, -0.26907, 2.36117]",-0.23600097839439302,0.43869346636832585,1.6191952604616113,0.13349796575887313,0.5422962414565292,0.8287960444136089,0.03449922324806364,-0.236,0.4387,1.6192,0.0,0.16566307015944529,0.183154131090378,sim,7914.0,0.0,1.0,,,,,,,,
0.2195,reach,,,,,,,,,,,,0.24158463433369448,0.4426620314608779,1.5982186580704498,-0.08992919356119689,0.48604126817417653,0.8692902315393211,0.0033345355575652965,0.2507384615384615,0.44554615384615387,1.5097307692307693,0.0,DIRECT,,,,,,,,,9219.0,0.0,0.0,0.16566307015944529,,0,"[-3.00253, -1.90568, -1.50319, -0.57069, -1.86996, -0.23833, 0.16294]","[0.14829, 1.79396, 1.22307, 0.57195, -0.27777, -0.26907, 2.36115]",-0.23600094977011268,0.4386935022797641,1.6191952796977693,0.13349796819470897,0.5422962435510362,0.8287960425716,0.034499225150346424,-0.236,0.4387,1.6192,0.0,0.16566307015944529,0.183154131090378,sim,7915.0,0.0,1.0,,,,,,,,
0.2759,reach,,,,,,,,,,,,0.24330776305670562,0.44418926685730786,1.580897896277873,-0.09015609194058442,0.486135547435387,0.8692132082813554,0.0035365456211614256,0.2536230769230769,0.4467076923076923,1.4814384615384615,0.0,DIRECT,,,,,,,,,9220.0,0.0,0.0,0.16718086661017803,,0,"[-2.96672, -1.91178, -1.49846, -0.59881, -1.83659, -0.2399, 0.13997]","[0.14829, 1.79397, 1.22309, 0.57195, -0.27777, -0.26907, 2.36112]",-0.23600094653788706,0.4386935033293834,1.6191952789195911,0.1334979675232778,0.5422962427995858,0.8287960431799696,0.03449922494539021,-0.236,0.4387,1.6192,0.0,0.16718086661017803,0.18315345616635598,sim,7916.0,0.0,1.0,,,,,,,,
0.3321,reach,,,,,,,,,,,,0.24330776305670562,0.44418926685730786,1.580897896277873,-0.09015609194058442,0.486135547435387,0.8692132082813554,0.0035365456211614256,0.2565076923076923,0.4478692307692308,1.4531461538461539,0.0,DIRECT,,,,,,,,,9221.0,0.0,0.0,0.16953137311560507,,0,"[-2.94546, -1.91482, -1.49351, -0.6132, -1.80983, -0.24158, 0.11732]","[0.14829, 1.79397, 1.22311, 0.57195, -0.27776, -0.26907, 2.3611]",-0.23600094653788706,0.4386935033293834,1.6191952789195911,0.1334979675232778,0.5422962427995858,0.8287960431799696,0.03449922494539021,-0.236,0.4387,1.6192,0.0,0.16953137311560507,0.18315261299643235,sim,7917.0,0.0,1.0,,,,,,,,
0.3869,reach,,,,,,,,,,,,0.24515944099615983,0.4457413795027879,1.564896845089836,-0.09005196153967084,0.48631100525495286,0.8691238375760657,0.004000668422574004,0.2593923076923077,0.44903076923076923,1.4248538461538462,0.0,DIRECT,,,,,,,,,9222.0,0.0,0.0,0.17171145269082982,,0,"[-2.92042, -1.91775, -1.48553, -0.62863, -1.77501, -0.24469, 0.08531]","[0.14829, 1.79398, 1.22313, 0.57195, -0.27776, -0.26907, 2.36107]",-0.23600094603373953,0.4386935011473386,1.6191952764284878,0.1334979666611348,0.5422962419062889,0.8287960439186237,0.03449922457819941,-0.236,0.4387,1.6192,0.0,0.17171145269082982,0.18315190846402224,sim,7918.0,0.0,1.0,,,,,,,,
0.4396,reach,,,,,,,,,,,,0.24708405815511117,0.4472270094127714,1.5506656635054168,-0.08960611636965757,0.4866359913860028,0.8689842184969813,0.00475224158693446,0.2622769230769231,0.4501923076923077,1.3965615384615386,0.0,DIRECT,,,,,,,,,9223.0,0.0,0.0,0.17171145269082982,,0,"[-2.90086, -1.91702, -1.46948, -0.63877, -1.75053, -0.25209, 0.05635]","[0.14829, 1.79398, 1.22314, 0.57195, -0.27776, -0.26907, 2.36105]",-0.23600094551402842,0.438693499303649,1.6191952742336408,0.13349796588974255,0.5422962411160351,0.8287960445735869,0.03449922425065756,-0.236,0.4387,1.6192,0.0,0.17171145269082982,0.18315128079724002,sim,7919.0,0.0,1.0,,,,,,,,
0.4968,reach,,,,,,,,,,,,0.24990858387565726,0.4492399195158333,1.5359121239979938,-0.08944471288010432,0.48757135335224683,0.8684420664697718,0.009066196212672281,0.26516153846153845,0.45135384615384616,1.3682692307692308,0.0,DIRECT,,,,,,,,,9224.0,0.0,0.0,0.17374046201570215,,0,"[-2.87558, -1.91652, -1.44997, -0.649, -1.71829, -0.26229, 0.02103]","[0.14828, 1.79398, 1.22317, 0.57195, -0.27775, -0.26906, 2.36102]",-0.2360009449838962,0.43869349748236297,1.6191952720732237,0.133497965130487,0.5422962403307836,0.8287960452230411,0.034499223929867595,-0.236,0.4387,1.6192,0.0,0.17374046201570215,0.18315128079724002,sim,7920.0,0.0,1.0,,,,,,,,
