t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0006,reach,,,,,,,,,,,,0.29709999133733883,0.13539997987444058,1.1628000034352848,-0.08960374664570356,0.48602017738366105,0.869336134622353,0.003200125446482794,0.2971,0.1354,1.1628,0.0,ASSIST,,,,,,,,,11190.0,0.0,5.0,0.11982306542466674,,0,"[-1.68179, -1.77887, -0.81692, -1.83492, -1.55803, -0.58486, 0.12846]","[-1.06331, 1.74091, 0.96073, 2.14763, -0.56801, -0.73616, 2.14524]",-0.32000413101049296,0.12499789358689567,1.279995784269711,0.1334974230543623,0.542296765101911,0.8287957793914896,0.034499458846488196,-0.32,0.125,1.28,0.0,0.11982306542466674,0.14080125379521594,sim,9506.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1628]",,,,,
0.0584,reach,,,,,,,,,,,,0.2970978741212784,0.13539962866483368,1.1628020349218184,-0.08960319710141736,0.48601776448403367,0.8693375510135338,0.0031971976695911956,0.2971,0.1354,1.1378,0.0,ASSIST,,,,,,,,,11191.0,0.0,5.0,0.11982306517873267,,0,"[-1.67852, -1.78267, -0.82175, -1.83501, -1.55504, -0.57824, 0.12889]","[-1.06329, 1.7409, 0.96072, 2.14762, -0.56802, -0.73618, 2.14525]",-0.3200021183276123,0.12499890082090498,1.2799978361116195,0.13349831833475262,0.5422968646687926,0.828795563021806,0.034499627353898485,-0.32,0.125,1.28,0.0,0.11982306517873267,0.1408051615248785,sim,9507.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1378]",,,,,
0.1118,reach,,,,,,,,,,,,0.2970978741212784,0.13539962866483368,1.1628020349218184,-0.08960319710141736,0.48601776448403367,0.8693375510135338,0.0031971976695911956,0.2971,0.1354,1.1128,0.0,ASSIST,,,,,,,,,11192.0,0.0,5.0,0.11982092162904694,,0,"[-1.67485, -1.78214, -0.81995, -1.82787, -1.53788, -0.57952, 0.11096]","[-1.06328, 1.7409, 0.96072, 2.14762, -0.56802, -0.73618, 2.14526]",-0.3200021183276123,0.12499890082090498,1.2799978361116195,0.13349831833475262,0.5422968646687926,0.828795563021806,0.034499627353898485,-0.32,0.125,1.28,0.0,0.11982092162904694,0.1408032675830149,sim,9508.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1128]",,,,,
0.1744,reach,,,,,,,,,,,,0.2971544014221011,0.13557035071195594,1.1583194923932811,-0.08932938361788213,0.4862130116423734,0.869255675856397,0.003426152877668804,0.2971,0.1354,1.0878,0.0,ASSIST,,,,,,,,,11193.0,0.0,5.0,0.11991245393245537,,0,"[-1.66969, -1.77888, -0.81327, -1.81275, -1.50566, -0.58702, 0.07486]","[-1.06327, 1.74089, 0.96071, 2.14762, -0.56803, -0.73619, 2.14528]",-0.3199999782623854,0.12499997179906092,1.2800000178602284,0.133499270248179,0.542296970484191,0.8287953329999365,0.034499806439988755,-0.32,0.125,1.28,0.0,0.11991245393245537,0.1408012537850463,sim,9509.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0878]",,,,,
0.2293,reach,,,,,,,,,,,,0.2972436077561212,0.13604628287140047,1.149379797813441,-0.08866166579588695,0.4868532233789059,0.8689630565418034,0.004031658392548239,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11194.0,0.0,5.0,0.12010192509318163,,0,"[-1.66804, -1.7713, -0.79851, -1.79243, -1.47414, -0.60566, 0.03376]","[-1.06327, 1.74088, 0.9607, 2.14762, -0.56804, -0.7362, 2.1453]",-0.3199999782716042,0.12499997180784167,1.280000017870623,0.13349927023704775,0.5422969704411286,0.828795333030567,0.03449980642410961,-0.32,0.125,1.28,0.0,0.12010192509318163,0.14080125379514805,sim,9510.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.281,reach,,,,,,,,,,,,0.2965928041230043,0.13679076726646494,1.139812754277301,-0.08815456467707575,0.48852701912301183,0.8680731345231653,0.004376920436376512,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11195.0,0.0,5.0,0.12010192509318163,,0,"[-1.66757, -1.76517, -0.78571, -1.77429, -1.45055, -0.62319, 0.00157]","[-1.06326, 1.74087, 0.96069, 2.14762, -0.56805, -0.7362, 2.14531]",-0.31999997827184706,0.12499997180770278,1.2800000178706532,0.13349927023668923,0.5422969704411842,0.8287953330306232,0.034499806423274056,-0.32,0.125,1.28,0.0,0.12010192509318163,0.14080125379514805,sim,9511.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.3383,reach,,,,,,,,,,,,0.2966458700166582,0.13776824671321858,1.1302336580880266,-0.08698908837478252,0.48991732375497965,0.8673993251242057,0.005685522188429032,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11196.0,0.0,5.0,0.11963121325135485,,0,"[-1.66475, -1.76127, -0.77596, -1.7544, -1.42227, -0.63797, -0.0335]","[-1.06326, 1.74086, 0.96068, 2.14762, -0.56806, -0.73621, 2.14533]",-0.3199999782692319,0.12499997180772188,1.2800000178705406,0.13349927024018376,0.5422969704441094,0.8287953330281325,0.03449980642360322,-0.32,0.125,1.28,0.0,0.11963121325135485,0.14080125379537473,sim,9512.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.3914,reach,,,,,,,,,,,,0.2966458700166582,0.13776824671321858,1.1302336580880266,-0.08698908837478252,0.48991732375497965,0.8673993251242057,0.005685522188429032,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11197.0,0.0,5.0,0.11990552329842566,,0,"[-1.66313, -1.75838, -0.76893, -1.74097, -1.40374, -0.64843, -0.05701]","[-1.06326, 1.74086, 0.96068, 2.14762, -0.56806, -0.73621, 2.14534]",-0.3199999782692319,0.12499997180772188,1.2800000178705406,0.13349927024018376,0.5422969704441094,0.8287953330281325,0.03449980642360322,-0.32,0.125,1.28,0.0,0.11990552329842566,0.14080125379277647,sim,9513.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.4488,reach,,,,,,,,,,,,0.2966310555439164,0.1384331654598578,1.1204396085640733,-0.08614818946148549,0.49090819181600964,0.8669169407019952,0.006531047721235818,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11198.0,0.0,5.0,0.12004685758217815,,0,"[-1.66058, -1.75302, -0.75606, -1.71729, -1.37162, -0.66736, -0.09821]","[-1.06325, 1.74085, 0.96067, 2.14762, -0.56807, -0.73622, 2.14536]",-0.319999978267724,0.12499997180769651,1.2800000178704822,0.13349927024218886,0.542296970445881,0.8287953330266512,0.03449980642358168,-0.32,0.125,1.28,0.0,0.12004685758217815,0.14080125379127445,sim,9514.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.5002,reach,,,,,,,,,,,,0.2966186807950729,0.13875961445318452,1.1106481639377586,-0.08569389997631088,0.49137733649675386,0.866692300951067,0.007023115857736116,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11199.0,0.0,5.0,0.12004685758217815,,0,"[-1.65902, -1.74852, -0.74547, -1.69899, -1.34758, -0.68267, -0.1297]","[-1.06325, 1.74084, 0.96066, 2.14762, -0.56808, -0.73622, 2.14537]",-0.3199999782726332,0.12499997180725014,1.280000017870751,0.1334992702355275,0.5422969704413744,0.8287953330307994,0.034499806420541616,-0.32,0.125,1.28,0.0,0.12004685758217815,0.14080125379127445,sim,9515.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.5599,reach,,,,,,,,,,,,0.29659600070568903,0.13870727325811721,1.0991515281748192,-0.08569325368420458,0.49128261394307554,0.8667455605544881,0.007084685551212246,0.2971,0.1354,1.0628,0.0,ASSIST,,,,,,,,,11200.0,0.0,5.0,0.12011258108074663,,0,"[-1.65782, -1.74315, -0.73308, -1.67896, -1.32222, -0.70028, -0.16374]","[-1.06324, 1.74084, 0.96066, 2.14762, -0.56809, -0.73623, 2.14539]",-0.31999997827057874,0.12499997180724176,1.280000017870666,0.133499270238266,0.5422969704437278,0.8287953330288135,0.03449980642066263,-0.32,0.125,1.28,0.0,0.12011258108074663,0.1408012537961082,sim,9516.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.6114,grasp,,,,,,,,,,,,0.29661024192311825,0.13829490337647393,1.0894392038051481,-0.08614417455659774,0.4906316818627451,0.8670727137529158,0.006681542310764807,0.2971,0.1354,1.0628,0.42352941176470593,ASSIST,,,,,,,,,11201.0,0.0,5.0,0.12007803678640508,,0,"[-1.65714, -1.73825, -0.72193, -1.66181, -1.30116, -0.71593, -0.19261]","[-1.06324, 1.74083, 0.96065, 2.14762, -0.56809, -0.73623, 2.1454]",-0.3199999782692967,0.12499997180721384,1.2800000178706168,0.13349927023996935,0.5422969704452506,0.828795333027545,0.034499806420605676,-0.32,0.125,1.28,0.0,0.12007803678640508,0.14080125379406452,sim,9517.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.6689,grasp,,,,,,,,,,,,0.29661024192311825,0.13829490337647393,1.0894392038051481,-0.08614417455659774,0.4906316818627451,0.8670727137529158,0.006681542310764807,0.2971,0.1354,1.0628,0.42352941176470593,ASSIST,,,,,,,,,11202.0,0.0,5.0,0.11999395850813557,,0,"[-1.65666, -1.73234, -0.7086, -1.64203, -1.27739, -0.73448, -0.22569]","[-1.06323, 1.74082, 0.96064, 2.14762, -0.5681, -0.73624, 2.14541]",-0.3199999782692967,0.12499997180721384,1.2800000178706168,0.13349927023996935,0.5422969704452506,0.828795333027545,0.034499806420605676,-0.32,0.125,1.28,0.0,0.11999395850813557,0.14080125379278682,sim,9518.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.7206,grasp,,,,,,,,,,,,0.2966899011044224,0.13758674645117747,1.0802146983332044,-0.08696305959582713,0.4895065914678552,0.8676324258235162,0.005890401926500018,0.2971,0.1354,1.0628,0.42352941176470593,ASSIST,,,,,,,,,11203.0,0.0,5.0,0.11990647021542013,,0,"[-1.65649, -1.72705, -0.69677, -1.62504, -1.25746, -0.75082, -0.25389]","[-1.06323, 1.74082, 0.96064, 2.14762, -0.56811, -0.73624, 2.14542]",-0.3199999782733757,0.1249999718068327,1.2800000178708417,0.13349927023443256,0.5422969704415301,0.828795333030979,0.03449980641802071,-0.32,0.125,1.28,0.0,0.11990647021542013,0.14080125379278682,sim,9519.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0628]",,,,,
0.7783,grasp,,,,,,,,,,,,0.2968911348667793,0.13637000032686092,1.0694703943780972,-0.08841937396684797,0.487569185274583,0.8685843297925386,0.004423337748398299,0.2971,0.1354,1.0894666666666666,0.42352941176470593,ASSIST,,,,,,,,,11204.0,0.0,5.0,0.11990647021542013,,0,"[-1.65688, -1.72042, -0.68213, -1.6053, -1.23535, -0.77075, -0.2862]","[-1.06323, 1.74081, 0.96063, 2.14762, -0.56811, -0.73625, 2.14543]",-0.3199999782702754,0.1249999718069244,1.280000017870699,0.1334992702385915,0.5422969704448305,0.8287953330281164,0.034499806418820514,-0.32,0.125,1.28,0.0,0.11990647021542013,0.14080125379680197,sim,9520.0,0.0,2.0,,,"[0.2971, 0.1354, 1.0894666666666666]",,,,,
0.8307,grasp,,,,,,,,,,,,0.2969750261018123,0.13589955973283308,1.0730536590446187,-0.08901375754035266,0.48681010679530096,0.8689523741721196,0.003773898664706636,0.2971,0.1354,1.1161333333333334,0.42352941176470593,ASSIST,,,,,,,,,11205.0,0.0,5.0,0.11982868741533573,,0,"[-1.6575, -1.72171, -0.68941, -1.62192, -1.24979, -0.75778, -0.26573]","[-1.06322, 1.74081, 0.96063, 2.14762, -0.56812, -0.73625, 2.14544]",-0.3199999782705642,0.12499997180680494,1.2800000178707283,0.1334992702381762,0.5422969704447872,0.8287953330282416,0.03449980641809375,-0.32,0.125,1.28,0.0,0.11982868741533573,0.14080125379372907,sim,9521.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1161333333333334]",,,,,
0.8888,grasp,,,,,,,,,,,,0.2969750261018123,0.13589955973283308,1.0730536590446187,-0.08901375754035266,0.48681010679530096,0.8689523741721196,0.003773898664706636,0.2971,0.1354,1.1428,0.42352941176470593,ASSIST,,,,,,,,,11206.0,0.0,5.0,0.1198079460047382,,0,"[-1.65821, -1.7261, -0.70347, -1.64817, -1.27564, -0.73541, -0.22919]","[-1.06322, 1.7408, 0.96062, 2.14762, -0.56813, -0.73626, 2.14545]",-0.3199999782705642,0.12499997180680494,1.2800000178707283,0.1334992702381762,0.5422969704447872,0.8287953330282416,0.03449980641809375,-0.32,0.125,1.28,0.0,0.1198079460047382,0.14080125379400354,sim,9522.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1428]",,,,,
0.9401,grasp,,,,,,,,,,,,0.2969061910053399,0.13608277693311516,1.0845457005343886,-0.08883260033184814,0.48713487765057223,0.8687882462777777,0.003919594906068622,0.2971,0.1354,1.1428,0.42352941176470593,ASSIST,,,,,,,,,11207.0,0.0,5.0,0.1198079460047382,,0,"[-1.65886, -1.73115, -0.71475, -1.66549, -1.29709, -0.71936, -0.1999]","[-1.06322, 1.7408, 0.96062, 2.14762, -0.56813, -0.73626, 2.14547]",-0.3199999782728361,0.12499997180656514,1.2800000178708573,0.1334992702350853,0.5422969704427825,0.8287953330301182,0.03449980641648908,-0.32,0.125,1.28,0.0,0.1198079460047382,0.14080125379623695,sim,9523.0,0.0,2.0,,,"[0.2971, 0.1354, 1.1428]",,,,,
0.997,grasp,,,,,,,,,,,,0.2966955141437677,0.13681761621035526,1.0940674770752707,-0.08803980053458488,0.48845087375058477,0.8681259015662323,0.004707067445581996,0.3021,0.10665,1.1428,0.42352941176470593,ASSIST,,,,,,,,,11208.0,0.0,5.0,0.11978050236962466,,0,"[-1.65951, -1.73521, -0.72356, -1.67891, -1.31443, -0.70701, -0.17649]","[-1.06321, 1.74079, 0.96061, 2.14762, -0.56814, -0.73626, 2.14547]",-0.31999997827294957,0.12499997180645189,1.280000017870878,0.13349927023490582,0.5422969704429217,0.828795333030084,0.03449980641581763,-0.32,0.125,1.28,0.0,0.11978050236962466,0.14080125379623695,sim,9524.0,0.0,2.0,,,"[0.3021, 0.10665, 1.1428]",,,,,
1.0494,grasp,,,,,,,,,,,,0.29681293844467443,0.1350505641984493,1.1026546701269568,-0.08763551203682748,0.4892791555173373,0.8676989254874042,0.0049497186069927274,0.3071,0.0779,1.1428,0.42352941176470593,ASSIST,,,,,,,,,11209.0,0.0,5.0,0.11973732734817577,,0,"[-1.65452, -1.73986, -0.73464, -1.70732, -1.34157, -0.68826, -0.13599]","[-1.06321, 1.74079, 0.96061, 2.14762, -0.56815, -0.73627, 2.14549]",-0.31999997827255516,0.12499997180637773,1.2800000178708724,0.13349927023541258,0.5422969704435472,0.82879533302961,0.03449980641541132,-0.32,0.125,1.28,0.0,0.11973732734817577,0.1408012537963377,sim,9525.0,0.0,2.0,,,"[0.3071, 0.0779, 1.1428]",,,,,
1.1,grasp,,,,,,,,,,,,0.29681293844467443,0.1350505641984493,1.1026546701269568,-0.08763551203682748,0.4892791555173373,0.8676989254874042,0.0049497186069927274,0.3121,0.04915,1.1428,0.42352941176470593,ASSIST,,,,,,,,,11210.0,0.0,5.0,0.11946879657358206,,0,"[-1.64302, -1.74001, -0.73687, -1.73384, -1.35631, -0.67843, -0.10793]","[-1.06321, 1.74078, 0.9606, 2.14762, -0.56815, -0.73627, 2.1455]",-0.31999997827255516,0.12499997180637773,1.2800000178708724,0.13349927023541258,0.5422969704435472,0.82879533302961,0.03449980641541132,-0.32,0.125,1.28,0.0,0.11946879657358206,0.14080125379593764,sim,9526.0,0.0,2.0,,,"[0.3121, 0.04915, 1.1428]",,,,,
1.1587,grasp,,,,,,,,,,,,0.29765075532072316,0.12734634950311285,1.1087830917388177,-0.08765239497607986,0.4897886866199658,0.8674111527272195,0.004689588306299878,0.3171,0.0204,1.1428,0.42352941176470593,ASSIST,,,,,,,,,11211.0,0.0,5.0,0.11946879657358206,,0,"[-1.62467, -1.73802, -0.73568, -1.76867, -1.37008, -0.66914, -0.07596]","[-1.0632, 1.74078, 0.9606, 2.14762, -0.56816, -0.73628, 2.14551]",-0.3199999782722815,0.12499997180631067,1.2800000178708708,0.1334992702357611,0.5422969704440169,0.8287953330292619,0.034499806415040295,-0.32,0.125,1.28,0.0,0.11946879657358206,0.1408012537956584,sim,9527.0,0.0,2.0,,,"[0.3171, 0.0204, 1.1428]",,,,,
1.2109,grasp,,,,,,,,,,,,0.29895050960161523,0.11617730196319592,1.1129033208595847,-0.08821645206535134,0.4898455700564443,0.8673237895167454,0.004314999350086556,0.3171,0.0204,1.1161333333333334,0.42352941176470593,ASSIST,,,,,,,,,11212.0,0.0,5.0,0.11892264741680121,,0,"[-1.60668, -1.7344, -0.73113, -1.79778, -1.3765, -0.66425, -0.05341]","[-1.0632, 1.74077, 0.96059, 2.14762, -0.56816, -0.73628, 2.14552]",-0.31999997827470483,0.12499997180607486,1.2800000178710056,0.13349927023246966,0.5422969704418292,0.8287953330312896,0.03449980641345003,-0.32,0.125,1.28,0.0,0.11892264741680121,0.1408012537956584,sim,9528.0,0.0,2.0,,,"[0.3171, 0.0204, 1.1161333333333334]",,,,,
