t,phase,master_x,master_y,master_z,master_qx,master_qy,master_qz,master_qw,pointing_x,pointing_y,pointing_z,clutch,ee_x,ee_y,ee_z,ee_qx,ee_qy,ee_qz,ee_qw,cmd_x,cmd_y,cmd_z,gripper_rad,autonomy_state,intent_top,intent_top_p,intent_margin,intent_ambiguous,intent_dist,intent_ids,grasp_offered,channels_live,ik_success,ik_fail,ik_rejected,clearance_m,payload_kg,estop,joints_left,joints_right,ee_r_x,ee_r_y,ee_r_z,ee_r_qx,ee_r_qy,ee_r_qz,ee_r_qw,cmd_r_x,cmd_r_y,cmd_r_z,gripper_rad_right,clearance_left_m,clearance_right_m,clearance_source,ik_success_right,ik_fail_right,ik_rejected_right,vr_ctrl_left,vr_ctrl_right,autonomy_cmd,autonomy_blend,voice_utterance,voice_parse,master_joints,objects
0.0009,reach,,,,,,,,,,,,0.6670998826296728,-0.04459847004623996,1.1627970621593318,-0.08960373159958367,0.48601956698288407,0.8693364771479798,0.0032002020466810185,0.0,0.0,0.0,0.0,DIRECT,,,,,,,,,14062.0,0.0,5.0,0.4870998826296728,,0,"[-1.11003, -0.80157, -1.13556, -2.104, -1.16381, -0.83751, -0.9811]","[-1.75283, 1.31756, 1.63458, 2.11274, -0.72858, 0.20753, 2.79317]",-0.6328925889445114,0.005403039640227869,1.1627998217557383,0.13349880430924263,0.5422951878876123,0.8287965413216978,0.03450060195320126,0.0,0.0,0.0,0.0,0.4870998826296728,0.4528925889445114,sim,11676.0,0.0,2.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",,,,,,
0.0551,reach,,,,,,,,,,,,0.6670998825540093,-0.044598469907773164,1.1627970618622496,-0.08960373161052261,0.4860195669530238,0.8693364771635771,0.003200202038333683,0.0,0.0,-0.025000000000000133,0.0,DIRECT,,,,,,,,,14067.0,0.0,5.0,0.4870998825540093,,0,"[-1.11003, -0.80157, -1.13557, -2.104, -1.1638, -0.8375, -0.9811]","[-1.75283, 1.31762, 1.63463, 2.11274, -0.72887, 0.20758, 2.79344]",-0.6328925964211145,0.005403037006034617,1.1627998217026938,0.13349880321886307,0.5422951883575143,0.8287965412231528,0.03450060115357462,0.0,0.0,-0.025000000000000133,0.0,0.4870998825540093,0.4528925964211145,sim,11679.0,0.0,2.0,"[0.0, 0.0, -0.025000000000000133]","[0.0, 0.0, -0.025000000000000133]",,,,,,
0.1097,reach,,,,,,,,,,,,0.6670998825540093,-0.044598469907773164,1.1627970618622496,-0.08960373161052261,0.4860195669530238,0.8693364771635771,0.003200202038333683,0.0,0.0,-0.050000000000000044,0.0,DIRECT,,,,,,,,,14071.0,0.0,5.0,0.4870998825540093,,0,"[-1.11087, -0.80595, -1.12917, -2.09557, -1.15396, -0.84285, -0.98671]","[-1.75479, 1.32622, 1.63744, 2.10655, -0.73019, 0.21824, 2.78855]",-0.6328925964211145,0.005403037006034617,1.1627998217026938,0.13349880321886307,0.5422951883575143,0.8287965412231528,0.03450060115357462,0.0,0.0,-0.050000000000000044,0.0,0.4870998825540093,0.4528925964211145,sim,11682.0,0.0,2.0,"[0.0, 0.0, -0.050000000000000044]","[0.0, 0.0, -0.050000000000000044]",,,,,,
0.165,reach,,,,,,,,,,,,0.667134497972133,-0.04458003687359102,1.1591366461253476,-0.08956698634148959,0.4860173143513936,0.8693413777986346,0.0032394375335643823,0.0,0.0,-0.07499999999999996,0.0,DIRECT,,,,,,,,,14076.0,0.0,5.0,0.487134497972133,,0,"[-1.11355, -0.81785, -1.11164, -2.07181, -1.12794, -0.85813, -1.00173]","[-1.75953, 1.34788, 1.64462, 2.09011, -0.73236, 0.2457, 2.77487]",-0.6329103489911356,0.005420821827127775,1.159857567341585,0.13350806260972597,0.5422973473012009,0.8287941050425346,0.03448935741677644,0.0,0.0,-0.07499999999999996,0.0,0.487134497972133,0.45291034899113564,sim,11686.0,0.0,2.0,"[0.0, 0.0, -0.07499999999999996]","[0.0, 0.0, -0.07499999999999996]",,,,,,
0.2178,reach,,,,,,,,,,,,0.6673639587492226,-0.04446108427061729,1.1446708289951288,-0.089325522160643,0.4860060240002305,0.8693715279224791,0.0034988803852258454,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,14081.0,0.0,5.0,0.4873639587492226,,0,"[-1.11776, -0.83321, -1.08911, -2.03964, -1.09612, -0.87895, -1.02049]","[-1.76472, 1.37362, 1.65347, 2.06892, -0.73392, 0.27944, 2.75716]",-0.6330733083789093,0.0055614463913083445,1.149113847447448,0.1335905987214131,0.5423306821181937,0.8287630768365456,0.03439106917342338,0.0,0.0,-0.10000000000000009,0.0,0.4873639587492226,0.4530733083789093,sim,11689.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, -0.10000000000000009]",,,,,,
0.2748,reach,,,,,,,,,,,,0.6677138109380485,-0.044271562542087306,1.1291288327766946,-0.08895415981077275,0.4859941345389495,0.8694145278574807,0.0039035107853211677,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,14086.0,0.0,5.0,0.4877138109380485,,0,"[-1.12178, -0.846, -1.07086, -2.01194, -1.07133, -0.89679, -1.0355]","[-1.76862, 1.39477, 1.66096, 2.04999, -0.73437, 0.30817, 2.74132]",-0.6333913369064432,0.005833213013519356,1.1378318206688984,0.13376428865646353,0.5424463192824615,0.8286675237449916,0.03419416423140026,0.0,0.0,-0.10000000000000009,0.0,0.4877138109380485,0.45339133690644323,sim,11692.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, -0.10000000000000009]",,,,,,
0.3285,reach,,,,,,,,,,,,0.6681512143990492,-0.044036592468872204,1.1139362161145745,-0.08849126842858643,0.485980470287585,0.8694669452923119,0.004416894272364304,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,14090.0,0.0,5.0,0.4877138109380485,,0,"[-1.12699, -0.86112, -1.05034, -1.97841, -1.04416, -0.9181, -1.0525]","[-1.77258, 1.41926, 1.66993, 2.02567, -0.73384, 0.34294, 2.72113]",-0.6338796507659015,0.006247871962408502,1.1260865900602965,0.13404797952291642,0.5426822770856143,0.8284795440759939,0.033892925082230796,0.0,0.0,-0.10000000000000009,0.0,0.4877138109380485,0.45339133690644323,sim,11695.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, -0.10000000000000009]",,,,,,
0.3857,reach,,,,,,,,,,,,0.6681512143990492,-0.044036592468872204,1.1139362161145745,-0.08849126842858643,0.485980470287585,0.8694669452923119,0.004416894272364304,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,14096.0,0.0,5.0,0.48815121439904924,,0,"[-1.13108, -0.87225, -1.03596, -1.95331, -1.02549, -0.93384, -1.06455]","[-1.77518, 1.43754, 1.67681, 2.00582, -0.7328, 0.36996, 2.70483]",-0.6338796507659015,0.006247871962408502,1.1260865900602965,0.13404797952291642,0.5426822770856143,0.8284795440759939,0.033892925082230796,0.0,0.0,-0.10000000000000009,0.0,0.48815121439904924,0.4538796507659015,sim,11698.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, -0.10000000000000009]",,,,,,
0.4393,reach,,,,,,,,,,,,0.6686539820611559,-0.043767714385824,1.1001803635236125,-0.08796195286622104,0.48596443565590414,0.8695263837040271,0.00501299991983327,0.0,0.0,-0.10000000000000009,0.0,DIRECT,,,,,,,,,14101.0,0.0,5.0,0.4886539820611559,,0,"[-1.13666, -0.88673, -1.01684, -1.92015, -1.00142, -0.95482, -1.08016]","[-1.77838, 1.46061, 1.68544, 1.98006, -0.73094, 0.40447, 2.68346]",-0.6344931480949774,0.00676475191330389,1.1145500495285317,0.1344231088944397,0.5430332481582074,0.8282035474766309,0.03352913862634211,0.0,0.0,-0.10000000000000009,0.0,0.4886539820611559,0.4544931480949774,sim,11701.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, -0.10000000000000009]",,,,,,
0.4949,grasp,,,,,,,,,,,,0.6685980802649347,-0.043792807017033863,1.0856711556041516,-0.08801702574892903,0.4859771175277493,0.8695139646850271,0.004970878741015759,0.0,0.0,-0.10000000000000009,0.42352941176470593,DIRECT,,,,,,,,,14106.0,0.0,5.0,0.48859808026493473,,0,"[-1.14168, -0.89823, -1.00011, -1.89268, -0.98215, -0.97287, -1.09256]","[-1.78108, 1.47968, 1.69246, 1.95856, -0.729, 0.43312, 2.66528]",-0.634830770460475,0.007038743429259475,1.1023049434178203,0.13464499725569962,0.5432739652786593,0.8280158522631651,0.03337471745676545,0.0,0.0,-0.10000000000000009,0.0,0.48859808026493473,0.454830770460475,sim,11704.0,0.0,2.0,"[0.0, 0.0, -0.10000000000000009]","[0.0, 0.0, -0.10000000000000009]",,,,,,
