area px,points,top mm,median height mm,box x,box y,box w,box h
6382,6254,1601,62.2,351,109,122,145
5465,5284,1715,1600,210,159,137,106
3067,2982,1718,1687,280,334,53,113
2560,2487,2406,433.4,126,419,90,61
1665,1634,87.9,24.5,407,0,81,43
1600,1578,1479,484,291,127,58,44
1001,981,1727,471.3,307,253,40,53
400,389,2415,2398,403,95,34,20
298,290,4072,4070,506,302,27,21
274,254,1656,1637,245,121,20,18
273,265,1725,1695,302,209,18,26
221,204,2338,2329,589,335,20,18
159,159,802,746.4,375,251,14,14
134,125,3632,3628,179,278,15,12
122,121,253.4,26.9,364,210,16,16
105,95,2317,2312,581,421,11,13
94,91,1630,1619,526,0,17,6
93,91,3674,3672,88,469,10,11
56,56,3245,3243,283,449,8,10
