t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786017825.8780,A_left_j3,A,left,0,,,0,175.8000,299.5000,192.9000,309.2000,359.1000,2.8000,358.9000,349.7000,35.6000,0.0000,0.0000,0.0000,108.9000,0.0000,0.27600,-0.03700,0.90700,0.69000,1.72000,1.48000,-0.93000,-0.02900,0.28500,-0.44000,1.38000,-2.59000,10.4,0.9,0.0,1.0,0.718922,0.257600,1.317680,-0.648433,0.298797,1.377661,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717566,0.105394,1.371264,-0.648255,0.298802,1.377745,-1.649741,-0.971396,-1.654563,-1.961484,-3.145301,-0.096573,0.729155,-0.765695,1.033819,1.170624,1.476052,-0.329026,-0.051251,2.771088,0,1,1.0000,1.0000,1,0,0,1,0.0000,36.4841,,,,,1548,1332,7,3,1322,1330,226,2,0,0,0.53772,0.50218,0
1786017825.8985,A_left_j3,A,left,0,,,1,175.8000,299.5000,192.9000,309.2000,359.1000,2.8000,358.9000,349.5000,35.8000,0.0000,0.0000,0.0000,108.9000,0.0000,0.27600,-0.03700,0.90700,0.69000,1.72000,1.48000,-0.93700,-0.03300,0.27200,-3.06000,-1.30000,-0.87000,10.1,1.1,0.0,1.0,0.718922,0.257600,1.317680,-0.546318,0.299475,1.332512,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717566,0.105394,1.371264,-0.648255,0.298802,1.377745,-1.650298,-0.971805,-1.654251,-1.960806,3.138088,-0.096080,0.729364,-0.765695,1.033819,1.170624,1.476052,-0.329026,-0.051251,2.771088,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.6841,,,,,121049,117837,48,31,120541,117802,508,34,0,1,0.53757,0.50239,0
1786017825.9194,A_left_j3,A,left,0,,,2,175.8000,299.5000,192.9000,309.2000,359.1000,2.8000,358.9000,349.5000,35.8000,0.0000,0.0000,0.0000,108.9000,0.0000,0.27600,-0.03700,0.90700,0.69000,1.72000,1.48000,-0.93700,-0.03300,0.27200,-3.06000,-1.30000,-0.87000,10.1,1.1,0.0,1.0,0.718922,0.257600,1.317680,-0.546318,0.299475,1.332512,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717566,0.105394,1.371264,-0.648255,0.298802,1.377745,-1.650290,-0.971799,-1.654255,-1.960815,3.138084,-0.096087,0.729361,-0.766781,1.039819,1.169685,1.479547,-0.332253,-0.056495,2.768450,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.6841,,,,,1549,117837,7,31,1323,117802,226,34,0,1,0.53757,0.50239,0
1786017825.9467,A_left_j3,A,left,0,,,3,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717531,0.105953,1.371200,-0.641967,0.299553,1.374339,-1.650826,-0.972192,-1.653955,-1.960144,-3.144905,-0.095613,0.729561,-0.768928,1.051668,1.167831,1.486451,-0.338627,-0.066853,2.763239,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,1549,1333,7,3,1323,1331,226,2,0,0,0.53757,0.50239,0
1786017825.9598,A_left_j3,A,left,0,,,4,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717531,0.105953,1.371200,-0.641967,0.299553,1.374339,-1.651371,-0.972592,-1.653650,-1.959462,-3.144706,-0.095130,0.729765,-0.771111,1.063719,1.165945,1.493472,-0.345109,-0.077387,2.757940,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,1549,117838,7,31,1323,117803,226,34,0,1,0.53757,0.49656,0
1786017825.9831,A_left_j3,A,left,0,,,5,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717531,0.105953,1.371200,-0.641967,0.299553,1.374339,-1.661054,-0.979703,-1.648221,-1.947310,-3.141169,-0.086555,0.733388,-0.773250,1.075311,1.164159,1.500212,-0.351390,-0.087471,2.752874,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,1550,1334,7,3,1323,1332,227,2,0,0,0.53753,0.49656,0
1786017826.0001,A_left_j3,A,left,0,,,6,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717053,0.114112,1.370156,-0.620519,0.301387,1.363298,-1.675014,-0.989953,-1.640394,-1.929755,-3.136069,-0.074193,0.738610,-0.776458,1.092695,1.161485,1.510318,-0.360799,-0.102590,2.745265,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,121051,117838,48,31,120541,117803,510,34,0,1,0.53753,0.49656,0
1786017826.0191,A_left_j3,A,left,0,,,7,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717053,0.114112,1.370156,-0.620519,0.301387,1.363298,-1.684173,-0.996678,-1.635258,-1.918238,-3.132723,-0.066082,0.742037,-0.778581,1.104203,1.159715,1.517007,-0.367027,-0.112598,2.740228,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,121051,117838,48,31,120541,117803,510,34,0,1,0.53753,0.49656,0
1786017826.0394,A_left_j3,A,left,0,,,8,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717053,0.114112,1.370156,-0.620519,0.301387,1.363298,-1.693304,-1.003383,-1.630139,-1.906755,-3.129388,-0.057996,0.745453,-0.780702,1.115696,1.157947,1.523688,-0.373246,-0.122593,2.735199,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,121051,117838,48,31,120541,117803,510,34,0,1,0.53753,0.49656,0
1786017826.0621,A_left_j3,A,left,0,,,9,175.7000,299.4000,192.9000,309.2000,359.3000,2.7000,358.9000,349.5000,35.7000,0.0000,0.0000,0.0000,108.9000,0.0000,0.25600,-0.04400,0.90300,3.98000,0.49000,2.08000,-0.93000,-0.03400,0.25200,-0.80000,0.63000,-1.46000,10.6,1.5,0.0,1.0,0.718922,0.257600,1.317680,-0.546664,0.299465,1.332347,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717053,0.114112,1.370156,-0.620519,0.301387,1.363298,-1.702605,-1.010213,-1.624924,-1.895060,-3.125990,-0.049760,0.748933,-0.782853,1.127352,1.156154,1.530464,-0.379555,-0.132730,2.730097,0,1,1.0000,1.0000,1,0,0,1,0.0000,37.7375,,,,,1550,117838,7,31,1323,117803,227,34,0,1,0.53753,0.49656,0
