t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018387.6504,B_left_diagonal_up_left_down_right,B,left,0,,,0,143.2000,286.8000,351.9000,325.0000,0.0000,0.0150,360.0000,348.3000,37.1000,0.0000,145.7000,0.0000,110.0000,0.0000,0.47200,-0.06200,0.77900,-2.18000,13.79000,-2.83000,-0.92200,-0.01900,0.28200,1.47000,3.39000,-4.92000,10.9,2.2,1.0,1.0,0.841867,0.423855,1.342529,-0.602253,0.472812,1.345145,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.460025,0.266548,1.397714,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.768073,1.444510,1.161482,1.720441,-0.293304,-0.389804,2.328647,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,6841,449,8,124279,6009,1873,832,0,0,0.65035,0.31403,0
1786018387.6763,B_left_diagonal_up_left_down_right,B,left,0,,,1,142.6000,286.3000,351.9000,324.8000,0.0000,0.0000,360.0000,348.3000,37.1000,0.0000,145.7000,0.0000,109.9000,0.0000,0.47000,-0.08900,0.83800,7.24000,3.58000,-4.45000,-0.93900,-0.01900,0.26200,-3.17000,-0.02000,-1.95000,9.2,2.2,1.0,1.0,0.841867,0.423855,1.342529,-0.602325,0.472807,1.345110,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.447000,0.266429,1.378014,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.770388,1.434537,1.160061,1.731745,-0.285635,-0.401075,2.330731,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6668,6842,405,8,5074,6010,1594,832,0,0,0.65028,0.31452,0
1786018387.7159,B_left_diagonal_up_left_down_right,B,left,0,,,2,142.4000,286.3000,351.9000,324.7000,0.0000,0.0000,360.0000,348.3000,37.4000,0.0000,145.6000,0.0000,109.9000,0.0000,0.45100,-0.14200,0.85300,8.95000,-1.03000,-2.39000,-0.93600,-0.02500,0.25600,1.33000,2.95000,-1.88000,9.7,2.6,1.0,1.0,0.841867,0.423855,1.342529,-0.601936,0.472843,1.345283,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.447000,0.266429,1.378014,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.773761,1.420023,1.157997,1.748200,-0.274466,-0.417480,2.333753,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,123335,449,37,124279,122458,1873,875,0,2,0.65035,0.31452,0
1786018387.7175,B_left_diagonal_up_left_down_right,B,left,0,,,3,142.4000,286.3000,351.9000,324.7000,0.0000,0.0000,360.0000,348.3000,37.4000,0.0000,145.6000,0.0000,109.9000,0.0000,0.45100,-0.14200,0.85300,8.95000,-1.03000,-2.39000,-0.93600,-0.02500,0.25600,1.33000,2.95000,-1.88000,9.7,2.6,1.0,1.0,0.841867,0.423855,1.342529,-0.601936,0.472843,1.345283,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.447000,0.266429,1.378014,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.773761,1.420023,1.157997,1.748200,-0.274466,-0.417480,2.333753,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,123335,449,37,124279,122458,1873,875,0,2,0.65035,0.31452,0
1786018387.7360,B_left_diagonal_up_left_down_right,B,left,0,,,4,142.3000,286.3000,352.0000,324.7000,0.0000,33.0000,360.0000,348.2000,37.0000,0.0000,145.6000,0.0000,109.9000,0.0000,0.46400,-0.08100,0.84900,8.16000,-10.76000,5.39000,-0.94300,-0.00800,0.27800,4.60000,2.73000,-0.97000,11.3,2.5,1.0,1.0,0.841867,0.423855,1.342529,-0.602844,0.472703,1.344881,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.447000,0.266429,1.378014,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.775923,1.410749,1.156686,1.758724,-0.267313,-0.427968,2.335668,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,123335,449,37,124279,122458,1873,875,0,2,0.65035,0.31452,0
1786018387.7519,B_left_diagonal_up_left_down_right,B,left,0,,,5,142.3000,286.3000,352.0000,324.7000,0.0000,33.0000,360.0000,348.2000,37.0000,0.0000,145.6000,0.0000,109.9000,0.0000,0.46400,-0.08100,0.84900,8.16000,-10.76000,5.39000,-0.94300,-0.00800,0.27800,4.60000,2.73000,-0.97000,11.4,2.1,1.0,1.0,0.841867,0.423855,1.342529,-0.602844,0.472703,1.344881,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.433966,0.265309,1.359256,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.779196,1.396711,1.154703,1.774654,-0.256484,-0.443844,2.338562,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6668,123335,405,37,5074,122458,1594,875,0,2,0.65028,0.31452,0
1786018387.7712,B_left_diagonal_up_left_down_right,B,left,0,,,6,142.2000,286.3000,352.0000,324.6000,0.0000,0.0000,360.0000,348.2000,37.2000,0.0000,145.7000,0.0000,109.9000,0.0000,0.51900,-0.17400,0.80100,0.61000,-11.33000,12.15000,-0.92200,-0.02000,0.25000,-11.55000,-8.80000,6.99000,11.7,1.3,1.0,1.0,0.895202,0.249248,1.437573,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.433966,0.265309,1.359256,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.781467,1.386973,1.153327,1.785706,-0.248971,-0.454859,2.340570,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,6842,449,8,124279,6010,1873,832,0,0,0.65035,0.31452,0
1786018387.7986,B_left_diagonal_up_left_down_right,B,left,0,,,7,142.2000,286.3000,352.0000,324.6000,0.0000,0.0000,360.0000,348.2000,37.2000,0.0000,145.7000,0.0000,109.9000,0.0000,0.51900,-0.17400,0.80100,0.61000,-11.33000,12.15000,-0.92200,-0.02000,0.25000,-11.55000,-8.80000,6.99000,11.7,1.3,1.0,1.0,0.895202,0.249248,1.437573,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.433966,0.265309,1.359256,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.781467,1.386973,1.153327,1.785706,-0.248971,-0.454859,2.340570,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,6842,449,8,124279,6010,1873,832,0,0,0.65035,0.31452,0
1786018387.8246,B_left_diagonal_up_left_down_right,B,left,0,,,8,142.2000,286.3000,352.0000,324.6000,0.0000,0.0000,360.0000,348.2000,37.2000,0.0000,145.7000,0.0000,109.9000,0.0000,0.51900,-0.17400,0.80100,0.61000,-11.33000,12.15000,-0.92200,-0.02000,0.25000,-11.55000,-8.80000,6.99000,11.7,1.3,1.0,1.0,0.895202,0.249248,1.437573,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.433966,0.265309,1.359256,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.781467,1.386973,1.153327,1.785706,-0.248971,-0.454859,2.340570,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126152,6842,449,8,124279,6010,1873,832,0,0,0.65035,0.31452,0
1786018387.8391,B_left_diagonal_up_left_down_right,B,left,0,,,9,142.3000,286.4000,352.0000,324.7000,0.0000,0.0000,360.0000,348.2000,37.1000,0.0000,145.6000,0.0000,109.9000,0.0000,0.50400,-0.10600,0.81100,4.25000,-11.30000,4.82000,-0.89200,-0.03400,0.24000,-6.38000,-5.85000,4.21000,10.5,1.5,1.0,1.0,1.036607,0.291190,1.340655,-0.601499,0.472784,1.345494,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.895202,0.249248,1.437573,-0.427615,0.269944,1.361750,-2.150162,-0.856918,-1.451069,-1.017357,-2.928973,0.465831,0.407455,-0.785739,1.368648,1.150738,1.806502,-0.234833,-0.475584,2.344348,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6668,123336,406,37,5074,122458,1594,876,0,2,0.65028,0.30256,0
