t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018280.2467,B_left_pitch_up_down,B,left,0,,,0,203.9000,339.0000,113.7000,271.9000,181.6000,268.3000,360.0000,347.7000,36.9000,0.0000,150.2000,0.0000,110.2000,0.0000,0.27300,-0.03700,0.85100,3.55000,4.81000,6.53000,-0.93800,0.03200,0.26600,-4.31000,-9.31000,5.57000,8.8,2.3,1.0,1.0,0.841867,0.423855,1.342529,-0.615007,0.471538,1.339799,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.457228,0.251740,1.352563,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.797193,1.362079,1.168344,1.832900,-0.185842,-0.498693,2.300155,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6430,122104,45,35,4845,121642,1585,461,0,1,0.62669,0.31403,0
1786018280.2899,B_left_pitch_up_down,B,left,0,,,1,204.3000,339.1000,112.5000,272.3000,178.5000,268.3000,360.0000,347.7000,36.9000,0.0000,150.2000,0.0000,110.2000,0.0000,0.23100,-0.02200,0.99500,2.25000,2.59000,10.29000,-0.93800,0.03200,0.26600,-4.31000,-9.31000,5.57000,14.7,1.3,1.0,1.0,0.952608,0.258267,1.327705,-0.615007,0.471538,1.339799,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.457228,0.251740,1.352563,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.792639,1.366775,1.174217,1.826955,-0.177794,-0.492053,2.288759,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,125926,5598,89,6,124065,5171,1861,427,0,0,0.62669,0.30582,0
1786018280.3059,B_left_pitch_up_down,B,left,0,,,2,204.3000,339.1000,112.5000,272.3000,178.5000,268.3000,360.0000,347.7000,36.9000,0.0000,150.2000,0.0000,110.2000,0.0000,0.23100,-0.02200,0.99500,2.25000,2.59000,10.29000,-0.93800,0.03200,0.26600,-4.31000,-9.31000,5.57000,14.7,1.3,1.0,1.0,0.952608,0.258267,1.327705,-0.615007,0.471538,1.339799,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.457228,0.251740,1.352563,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.792639,1.366775,1.174217,1.826955,-0.177794,-0.492053,2.288759,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,125926,5598,89,6,124065,5171,1861,427,0,0,0.62669,0.30582,0
1786018280.3099,B_left_pitch_up_down,B,left,0,,,3,204.3000,339.1000,112.5000,272.3000,178.5000,268.3000,360.0000,347.7000,36.9000,0.0000,150.2000,0.0000,110.2000,0.0000,0.23100,-0.02200,0.99500,2.25000,2.59000,10.29000,-0.93800,0.03200,0.26600,-4.31000,-9.31000,5.57000,14.7,1.3,1.0,1.0,0.952608,0.258267,1.327705,-0.615007,0.471538,1.339799,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.457228,0.251740,1.352563,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.792639,1.366775,1.174217,1.826955,-0.177794,-0.492053,2.288759,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,125926,5598,89,6,124065,5171,1861,427,0,0,0.62669,0.30582,0
1786018280.3296,B_left_pitch_up_down,B,left,0,,,4,204.2000,339.1000,112.1000,269.1000,147.2000,268.3000,360.0000,347.7000,36.9000,0.0000,149.9000,0.0000,110.2000,0.0000,0.25000,-0.04800,0.98900,6.26000,-1.86000,0.71000,-0.89800,0.00200,0.24900,1.07000,4.40000,0.26000,12.3,1.4,1.0,1.0,0.846242,0.428123,1.347112,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.460707,0.251344,1.356037,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.787335,1.367311,1.174879,1.821660,-0.177533,-0.486763,2.289408,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,125926,122105,89,35,124065,121643,1861,461,0,1,0.62669,0.30582,0
1786018280.3426,B_left_pitch_up_down,B,left,0,,,5,204.3000,339.3000,111.7000,270.8000,92.9000,268.3000,360.0000,347.7000,37.0000,0.0000,149.9000,0.0000,110.2000,0.0000,0.22700,-0.02000,0.95500,9.24000,-0.28000,-1.38000,-0.88600,0.04400,0.27200,2.56000,3.44000,-11.74000,12.3,1.4,1.0,1.0,0.952608,0.258267,1.327705,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.460707,0.251344,1.356037,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.770113,1.369053,1.177033,1.804448,-0.176682,-0.469555,2.291519,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6430,5598,45,6,4845,5171,1585,427,0,0,0.62669,0.30582,0
1786018280.3587,B_left_pitch_up_down,B,left,0,,,6,204.3000,339.3000,111.7000,270.8000,92.9000,268.3000,360.0000,347.7000,37.0000,0.0000,149.9000,0.0000,110.2000,0.0000,0.22700,-0.02000,0.95500,9.24000,-0.28000,-1.38000,-0.88600,0.04400,0.27200,2.56000,3.44000,-11.74000,11.3,11.0,1.0,1.0,0.952608,0.258267,1.327705,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.460707,0.251344,1.356037,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.779281,1.387003,1.174777,1.803421,-0.193602,-0.468473,2.288200,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,125928,122106,89,35,124067,121644,1861,461,0,1,0.62663,0.30903,0
1786018280.3917,B_left_pitch_up_down,B,left,0,,,7,204.1000,339.3000,111.6000,269.0000,52.2000,268.3000,360.0000,347.7000,37.0000,0.0000,150.2000,0.0000,110.2000,0.0000,0.28700,-0.03500,0.88400,1.18000,-2.98000,3.76000,-0.93300,0.03000,0.29200,-7.15000,-2.26000,-12.50000,11.5,1.2,1.0,1.0,0.846242,0.428123,1.347112,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.466136,0.250634,1.361556,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.789456,1.374752,1.172851,1.819174,-0.187600,-0.483997,2.291505,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6430,5599,46,6,4845,5172,1585,427,0,0,0.62669,0.30903,0
1786018280.4108,B_left_pitch_up_down,B,left,0,,,8,204.1000,339.3000,111.6000,269.0000,52.2000,268.3000,360.0000,347.7000,37.0000,0.0000,150.2000,0.0000,110.2000,0.0000,0.28700,-0.03500,0.88400,1.18000,-2.98000,3.76000,-0.93300,0.03000,0.29200,-7.15000,-2.26000,-12.50000,11.5,1.2,1.0,1.0,0.846242,0.428123,1.347112,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.466136,0.250634,1.361556,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.795535,1.367438,1.171707,1.828583,-0.184006,-0.493272,2.293466,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6430,5600,46,6,4845,5173,1585,427,0,0,0.62669,0.30903,0
1786018280.4332,B_left_pitch_up_down,B,left,0,,,9,20.7000,338.9000,111.6000,274.8000,49.4000,28.3000,360.0000,347.7000,37.0000,0.0000,150.2000,0.0000,110.2000,0.0000,0.29400,-0.08900,0.88900,2.77000,-2.76000,0.74000,-0.93300,0.03000,0.29200,-7.15000,-2.26000,-12.50000,13.2,3.0,1.0,1.0,0.841867,0.423855,1.342529,-0.616619,0.470927,1.339057,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.952608,0.258267,1.327705,-0.464628,0.253488,1.366436,-2.156692,-0.953619,-1.486155,-0.630196,-2.973329,0.825117,0.583224,-0.800774,1.370055,1.170560,1.832010,-0.187780,-0.496627,2.293220,0,0,1.0000,1.0000,0,1,1,0,0.0629,0.0000,,,,,6430,5600,46,6,4845,5173,1585,427,0,0,0.62669,0.30903,0
