t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018345.6257,B_left_roll_left_right,B,left,0,,,0,169.9000,333.3000,2403.0000,286.2000,294.8000,2.2000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.26700,0.22400,0.85200,-10.92000,4.19000,7.86000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,16.8,3.3,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.425563,0.268700,1.348730,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.814596,1.476977,1.142031,1.779724,-0.341006,-0.452401,2.333803,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126066,122857,311,36,124198,122146,1868,709,0,2,0.54199,0.28551,0
1786018345.6452,B_left_roll_left_right,B,left,0,,,1,169.9000,333.3000,2403.0000,286.2000,294.8000,2.2000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.26700,0.22400,0.85200,-10.92000,4.19000,7.86000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,16.8,3.3,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.425563,0.268700,1.348730,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.808625,1.476002,1.144365,1.773663,-0.339737,-0.446342,2.334599,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6566,122858,267,36,4977,122147,1589,709,0,2,0.54199,0.28296,0
1786018345.6664,B_left_roll_left_right,B,left,0,,,2,169.9000,333.3000,2403.0000,286.2000,294.8000,2.2000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.26700,0.22400,0.85200,-10.92000,4.19000,7.86000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,16.8,3.3,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.425563,0.268700,1.348730,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.791175,1.473159,1.151172,1.756062,-0.336036,-0.428747,2.336920,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126066,122858,312,36,124198,122147,1868,709,0,2,0.54199,0.28296,0
1786018345.6817,B_left_roll_left_right,B,left,0,,,3,169.9000,333.3000,2403.0000,286.2000,294.8000,2.2000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.26700,0.22400,0.85200,-10.92000,4.19000,7.86000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,16.8,3.3,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.422967,0.264954,1.340004,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.779858,1.471333,1.155457,1.744699,-0.333596,-0.417385,2.338354,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6566,122858,267,36,4977,122147,1589,709,0,2,0.54199,0.28296,0
1786018345.7019,B_left_roll_left_right,B,left,0,,,4,169.9000,333.3000,2403.0000,286.2000,294.8000,2.2000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.26700,0.22400,0.85200,-10.92000,4.19000,7.86000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,16.8,3.3,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.422967,0.264954,1.340004,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.774942,1.470547,1.157262,1.739786,-0.332520,-0.412471,2.338947,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126067,122859,312,36,124199,122148,1868,709,0,2,0.54198,0.28303,0
1786018345.7376,B_left_roll_left_right,B,left,0,,,5,169.8000,333.1000,239.9000,286.7000,293.9000,2.3000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.25600,0.04700,0.90900,17.69000,0.21000,3.52000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,15.5,2.9,1.0,1.0,1.036607,0.291190,1.340655,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.422967,0.264954,1.340004,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.744909,1.465701,1.166530,1.709758,-0.324190,-0.382443,2.341372,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6566,6349,268,7,4977,5682,1589,667,0,0,0.54199,0.28296,0
1786018345.7438,B_left_roll_left_right,B,left,0,,,6,169.8000,333.1000,239.9000,286.7000,293.9000,2.3000,360.0000,38.0000,36.6000,0.0000,148.6000,0.0000,109.8000,0.0000,0.25600,0.04700,0.90900,17.69000,0.21000,3.52000,-0.93500,0.01800,0.26000,-6.33000,-5.64000,-0.11000,15.5,2.9,1.0,1.0,1.036607,0.291190,1.340655,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.408335,0.261317,1.322336,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.744909,1.465701,1.166530,1.709758,-0.324190,-0.382443,2.341372,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6566,6349,268,7,4977,5682,1589,667,0,0,0.54199,0.28296,0
1786018345.7715,B_left_roll_left_right,B,left,0,,,7,169.8000,333.1000,239.9000,286.7000,294.2000,2.2000,360.0000,348.4000,36.6000,0.0000,149.0000,0.0000,109.8000,0.0000,0.08200,0.04000,0.96200,27.25000,1.56000,-10.75000,-0.92000,0.03500,0.27900,-5.90000,-6.86000,1.24000,12.7,2.9,1.0,1.0,0.841867,0.423855,1.342529,-0.612076,0.472092,1.340808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.408335,0.261317,1.322336,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.740861,1.465044,1.167633,1.705710,-0.322922,-0.378395,2.341600,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126067,122859,312,36,124199,122148,1868,709,0,2,0.54198,0.28303,0
1786018345.7983,B_left_roll_left_right,B,left,0,,,8,169.8000,333.1000,240.0000,286.6000,294.2000,2.3000,360.0000,348.4000,36.6000,0.0000,149.0000,0.0000,109.8000,0.0000,0.25300,0.16100,0.88200,23.18000,-1.76000,10.11000,-0.94200,0.00200,0.26500,-3.01000,-9.95000,1.24000,11.8,3.1,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.408335,0.261317,1.322336,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.747165,1.476008,1.165805,1.706139,-0.331952,-0.378956,2.338376,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,6566,6349,268,7,4977,5682,1589,667,0,0,0.54199,0.28296,0
1786018345.8141,B_left_roll_left_right,B,left,0,,,9,169.8000,333.1000,240.0000,286.6000,294.2000,2.3000,360.0000,348.4000,36.6000,0.0000,149.0000,0.0000,109.8000,0.0000,0.25300,0.16100,0.88200,23.18000,-1.76000,10.11000,-0.94200,0.00200,0.26500,-3.01000,-9.95000,1.24000,11.8,3.1,1.0,1.0,0.846872,0.390140,1.417884,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.846872,0.390140,1.417884,-0.408335,0.261317,1.322336,-2.581230,-1.141003,-1.418576,-0.302342,-2.823472,0.752523,0.643031,-0.753273,1.482096,1.164084,1.709236,-0.337482,-0.382120,2.336561,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126067,122859,312,36,124199,122148,1868,709,0,2,0.54198,0.28303,0
