t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018575.3637,B_right_diagonal_up_right_down_left,B,right,0,,,0,151.2000,345.6000,130.5000,192.3000,146.7000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.2000,0.0000,-0.83300,0.00000,0.37800,1.23000,1.25000,1.13000,0.30500,-0.05500,0.88400,3.29000,6.85000,-3.80000,12.1,2.7,1.0,1.0,0.903197,0.346433,1.097361,-0.248336,0.208308,1.318662,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.871871,0.132598,1.197013,-0.248336,0.208308,1.318662,-1.598694,-1.092698,-1.772401,-1.367440,3.135620,0.208575,0.817091,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.4077,,,,,127075,8112,912,300,124753,6912,2322,1200,0,0,0.65010,0.09485,0
1786018575.3887,B_right_diagonal_up_right_down_left,B,right,0,,,1,151.2000,345.6000,130.5000,192.3000,146.2000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.2000,0.0000,-0.84700,0.01400,0.37500,1.15000,3.43000,5.27000,0.27600,0.02600,0.91500,-0.44000,1.43000,2.44000,11.8,2.8,1.0,1.0,0.903452,0.346435,1.097400,-0.248336,0.208308,1.318662,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.871871,0.132598,1.197013,-0.248336,0.208308,1.318662,-1.589111,-1.089896,-1.774273,-1.379169,3.134188,0.206428,0.815447,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.4471,,,,,7518,124616,868,331,5512,123354,2006,1260,0,2,0.61848,0.09485,0
1786018575.4108,B_right_diagonal_up_right_down_left,B,right,0,,,2,151.2000,345.6000,130.5000,192.3000,146.4000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.2000,0.0000,-0.85000,0.00700,0.36800,0.66000,3.66000,3.23000,0.27600,0.02600,0.91500,-0.44000,1.43000,2.44000,11.6,3.3,1.0,1.0,0.708034,0.345024,1.179672,-0.248336,0.208308,1.318662,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.853396,0.153307,1.184632,-0.248336,0.208308,1.318662,-1.566274,-1.082819,-1.778754,-1.408755,3.130752,0.201822,0.811188,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.4471,,,,,7518,8112,868,300,5512,6912,2006,1200,0,0,0.61848,0.09485,0
1786018575.4340,B_right_diagonal_up_right_down_left,B,right,0,,,3,151.2000,345.6000,130.5000,192.3000,146.4000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.2000,0.0000,-0.85000,0.00700,0.36800,0.66000,3.66000,3.23000,0.27600,0.02600,0.91500,-0.44000,1.43000,2.44000,11.6,3.3,1.0,1.0,0.708034,0.345024,1.179672,-0.248336,0.208308,1.318662,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.853396,0.153307,1.184632,-0.248336,0.208308,1.318662,-1.561387,-1.081304,-1.779713,-1.415087,3.130017,0.200836,0.810277,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.4471,,,,,7518,124617,868,331,5512,123355,2006,1260,0,2,0.61848,0.09485,0
1786018575.4608,B_right_diagonal_up_right_down_left,B,right,0,,,4,151.2000,345.7000,130.5000,192.3000,147.9000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.4000,0.0000,-0.87500,0.01500,0.36700,-1.35000,3.45000,2.79000,0.26500,0.01000,0.87800,-1.92000,-1.23000,-2.40000,11.8,1.9,1.0,1.0,0.708565,0.345045,1.179764,-1.104496,0.365107,1.708539,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.832151,0.174353,1.173596,-0.248336,0.208308,1.318662,-1.552786,-1.078639,-1.781400,-1.426229,3.128723,0.199101,0.808673,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.2647,,,,,7518,124617,868,331,5512,123355,2006,1260,0,2,0.61848,0.09485,0
1786018575.4692,B_right_diagonal_up_right_down_left,B,right,0,,,5,151.2000,345.7000,130.5000,192.3000,147.9000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.4000,0.0000,-0.87500,0.01500,0.36700,-1.35000,3.45000,2.79000,0.26500,0.01000,0.87800,-1.92000,-1.23000,-2.40000,11.8,1.9,1.0,1.0,0.708565,0.345045,1.179764,-1.104496,0.365107,1.708539,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.832151,0.174353,1.173596,-0.248336,0.208308,1.318662,-1.552786,-1.078639,-1.781400,-1.426229,3.128723,0.199101,0.808673,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.2647,,,,,7518,124617,868,331,5512,123355,2006,1260,0,2,0.61848,0.09485,0
1786018575.4875,B_right_diagonal_up_right_down_left,B,right,0,,,6,151.2000,345.7000,130.5000,192.3000,148.1000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.4000,0.0000,-0.87900,0.00500,0.36000,-2.02000,1.08000,3.00000,0.29200,0.01500,0.84300,-1.55000,-2.08000,-3.90000,11.9,2.6,1.0,1.0,0.763978,0.036674,1.298497,-0.050290,0.123482,1.263268,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.832151,0.174353,1.173596,-0.248336,0.208308,1.318662,-1.534442,-1.072953,-1.785000,-1.449995,3.125963,0.195400,0.805251,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.3339,,,,,127075,124618,912,331,124753,123356,2322,1260,0,2,0.65010,0.09485,0
1786018575.5245,B_right_diagonal_up_right_down_left,B,right,0,,,7,151.2000,345.7000,130.5000,192.3000,148.1000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.4000,0.0000,-0.87900,0.00500,0.36000,-2.02000,1.08000,3.00000,0.29200,0.01500,0.84300,-1.55000,-2.08000,-3.90000,11.9,2.6,1.0,1.0,0.763978,0.036674,1.298497,-0.050290,0.123482,1.263268,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.832151,0.174353,1.173596,-0.248336,0.208308,1.318662,-1.516416,-1.067367,-1.788537,-1.473348,3.123251,0.191764,0.801890,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.3339,,,,,127075,124618,912,331,124753,123356,2322,1260,0,2,0.65010,0.09485,0
1786018575.5250,B_right_diagonal_up_right_down_left,B,right,0,,,8,151.2000,345.7000,130.5000,192.3000,148.1000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.4000,0.0000,-0.87900,0.00500,0.36000,-2.02000,1.08000,3.00000,0.29200,0.01500,0.84300,-1.55000,-2.08000,-3.90000,11.9,2.6,1.0,1.0,0.763978,0.036674,1.298497,-0.050290,0.123482,1.263268,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.832151,0.174353,1.173596,-0.248336,0.208308,1.318662,-1.516416,-1.067367,-1.788537,-1.473348,3.123251,0.191764,0.801890,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.3339,,,,,127075,124618,912,331,124753,123356,2322,1260,0,2,0.65010,0.09485,0
1786018575.5490,B_right_diagonal_up_right_down_left,B,right,0,,,9,151.1000,345.7000,130.5000,192.3000,148.6000,0.0000,360.0000,307.6000,155.4000,0.0000,0.0000,0.0000,209.4000,0.0000,-0.88500,-0.01500,0.35100,4.58000,-7.61000,2.40000,0.26100,-0.00700,0.87100,-3.59000,-2.29000,-1.17000,11.9,2.6,1.0,1.0,0.909021,0.346207,1.098786,-0.248336,0.208308,1.318662,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.808032,0.195591,1.163973,-0.248336,0.208308,1.318662,-1.507339,-1.064553,-1.790318,-1.485109,3.121885,0.189933,0.800197,-0.846368,1.898088,1.023995,1.840105,-0.593060,-0.689625,2.164200,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.6274,,,,,7518,124618,868,331,5512,123356,2006,1260,0,2,0.61848,0.09485,0
