t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018485.1146,B_right_pitch_up_down,B,right,0,,,0,151.9000,345.5000,131.9000,190.1000,171.5000,0.3000,360.0000,161.4000,63.6000,0.0000,121.8000,0.0000,40.3000,0.0000,-0.82200,-0.02400,0.40700,0.91000,2.05000,0.91000,0.25800,-0.09500,0.91800,12.21000,-1.70000,1.11000,8.7,2.8,1.0,1.0,0.891159,0.347541,1.096095,-0.466136,0.250634,1.361556,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.757028,0.093736,1.293397,-0.373580,0.249042,1.284784,-1.693148,-1.221134,-1.708699,-1.622963,-3.055273,0.425383,0.880845,-0.866848,1.552512,1.013473,1.786439,-0.615017,-0.523167,2.523568,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126614,7946,710,21,124542,6747,2072,1199,0,0,0.56573,0.31402,0
1786018485.1335,B_right_pitch_up_down,B,right,0,,,1,152.0000,345.4000,131.9000,190.1000,173.5000,0.2000,360.0000,16.0000,63.6000,0.0000,121.9000,0.0000,40.3000,0.0000,-0.85100,-0.02100,0.43800,-2.14000,0.83000,5.25000,0.37700,-0.15800,0.89500,3.16000,-0.89000,0.32000,9.3,1.8,1.0,1.0,0.703225,0.346135,1.127014,-0.973045,0.443296,1.615586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.758495,0.081203,1.292495,-0.373580,0.249042,1.284784,-1.705019,-1.230192,-1.704115,-1.611091,-3.051807,0.436222,0.888352,-0.866848,1.552512,1.013473,1.786439,-0.615017,-0.523167,2.523568,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126614,7946,710,21,124542,6747,2072,1199,0,0,0.56573,0.31402,0
1786018485.1743,B_right_pitch_up_down,B,right,0,,,2,152.0000,345.4000,131.9000,190.1000,173.1000,0.3000,360.0000,161.0000,63.6000,0.0000,122.0000,0.0000,40.3000,0.0000,-0.88500,-0.03300,0.42500,3.17000,-5.84000,2.86000,0.27600,-0.10100,0.91100,0.95000,0.75000,-2.18000,9.3,1.8,1.0,1.0,0.749007,0.039385,1.295872,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.758495,0.081203,1.292495,-0.373580,0.249042,1.284784,-1.699087,-1.226931,-1.705713,-1.617190,-3.053112,0.430873,0.885883,-0.866848,1.552512,1.013473,1.786439,-0.615017,-0.523167,2.523568,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7090,124439,667,52,5317,123179,1773,1258,0,2,0.56488,0.22582,0
1786018485.2192,B_right_pitch_up_down,B,right,0,,,3,152.0000,345.4000,131.9000,190.1000,170.5000,0.3000,360.0000,160.9000,63.6000,0.0000,122.4000,0.0000,40.3000,0.0000,-0.87300,-0.03400,0.41900,5.50000,-6.35000,0.20000,0.25500,-0.08500,0.89900,-4.99000,-0.44000,-2.59000,9.9,2.0,1.0,1.0,0.702978,0.346141,1.126921,-0.973045,0.443296,1.615586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755652,0.080080,1.290207,-0.373580,0.249042,1.284784,-1.669209,-1.210462,-1.713796,-1.647911,-3.059695,0.404022,0.873409,-0.866848,1.552512,1.013473,1.786439,-0.615017,-0.523167,2.523568,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7091,7946,668,21,5318,6747,1773,1199,0,0,0.57850,0.31402,0
1786018485.2200,B_right_pitch_up_down,B,right,0,,,4,152.0000,345.4000,131.9000,190.1000,170.5000,0.3000,360.0000,160.9000,63.6000,0.0000,122.4000,0.0000,40.3000,0.0000,-0.87300,-0.03400,0.41900,5.50000,-6.35000,0.20000,0.25500,-0.08500,0.89900,-4.99000,-0.44000,-2.59000,9.9,2.0,1.0,1.0,0.702978,0.346141,1.126921,-0.973045,0.443296,1.615586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755652,0.080080,1.290207,-0.373580,0.249042,1.284784,-1.669209,-1.210462,-1.713796,-1.647911,-3.059695,0.404022,0.873409,-0.866848,1.552512,1.013473,1.786439,-0.615017,-0.523167,2.523568,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7091,7946,668,21,5318,6747,1773,1199,0,0,0.57850,0.31402,0
1786018485.2230,B_right_pitch_up_down,B,right,0,,,5,152.0000,345.4000,131.9000,190.1000,170.5000,0.3000,360.0000,160.9000,63.6000,0.0000,122.4000,0.0000,40.3000,0.0000,-0.87300,-0.03400,0.41900,5.50000,-6.35000,0.20000,0.25500,-0.08500,0.89900,-4.99000,-0.44000,-2.59000,9.9,2.0,1.0,1.0,0.702978,0.346141,1.126921,-0.973045,0.443296,1.615586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755652,0.080080,1.290207,-0.373580,0.249042,1.284784,-1.669209,-1.210462,-1.713796,-1.647911,-3.059695,0.404022,0.873409,-0.866848,1.552512,1.013473,1.786439,-0.615017,-0.523167,2.523568,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7091,7946,668,21,5318,6747,1773,1199,0,0,0.57850,0.31402,0
1786018485.2345,B_right_pitch_up_down,B,right,0,,,6,152.0000,345.4000,131.9000,190.1000,170.5000,0.3000,360.0000,160.9000,63.6000,0.0000,122.4000,0.0000,40.3000,0.0000,-0.87300,-0.03400,0.41900,5.50000,-6.35000,0.20000,0.25500,-0.08500,0.89900,-4.99000,-0.44000,-2.59000,9.9,2.0,1.0,1.0,0.702978,0.346141,1.126921,-0.973045,0.443296,1.615586,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755652,0.080080,1.290207,-0.373580,0.249042,1.284784,-1.653764,-1.201931,-1.717988,-1.663793,-3.063103,0.390178,0.866945,-0.867398,1.553493,1.014775,1.786460,-0.613635,-0.522359,2.521026,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126616,124439,710,52,124543,123179,2073,1258,0,2,0.57850,0.22582,0
1786018485.2630,B_right_pitch_up_down,B,right,0,,,7,152.1000,345.4000,131.9000,190.1000,170.0000,0.2000,360.0000,160.7000,63.6000,0.0000,122.3000,0.0000,40.2000,0.0000,-0.82900,-0.01300,0.41400,4.98000,4.95000,0.79000,0.24900,-0.09900,0.90200,-3.44000,-0.56000,0.22000,10.4,2.6,1.0,1.0,0.748385,0.039424,1.295761,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.755652,0.080080,1.290207,-0.373580,0.249042,1.284784,-1.631168,-1.189449,-1.724122,-1.687028,-3.068089,0.369923,0.857487,-0.867679,1.553994,1.015439,1.786471,-0.612929,-0.521947,2.519728,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126616,124439,710,52,124543,123179,2073,1258,0,2,0.57850,0.22582,0
1786018485.2771,B_right_pitch_up_down,B,right,0,,,8,152.1000,345.4000,131.9000,190.1000,170.0000,0.2000,360.0000,160.7000,63.6000,0.0000,122.3000,0.0000,40.2000,0.0000,-0.82900,-0.01300,0.41400,4.98000,4.95000,0.79000,0.24900,-0.09900,0.90200,-3.44000,-0.56000,0.22000,10.4,2.6,1.0,1.0,0.748385,0.039424,1.295761,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.754784,0.067429,1.291935,-0.373580,0.249042,1.284784,-1.620344,-1.183469,-1.727060,-1.698159,-3.070478,0.360220,0.852956,-0.867757,1.554132,1.015623,1.786474,-0.612734,-0.521833,2.519369,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126616,124439,710,52,124543,123179,2073,1258,0,2,0.57850,0.22582,0
1786018485.3070,B_right_pitch_up_down,B,right,0,,,9,152.1000,345.4000,131.9000,190.1000,170.0000,0.2000,360.0000,160.7000,63.6000,0.0000,122.3000,0.0000,40.2000,0.0000,-0.82900,-0.01300,0.41400,4.98000,4.95000,0.79000,0.24900,-0.09900,0.90200,-3.44000,-0.56000,0.22000,10.4,2.6,1.0,1.0,0.748385,0.039424,1.295761,-0.373580,0.249042,1.284784,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.754784,0.067429,1.291935,-0.373580,0.249042,1.284784,-1.597850,-1.171044,-1.733166,-1.721289,-3.075442,0.340057,0.843541,-0.867784,1.554181,1.015687,1.786475,-0.612665,-0.521792,2.519243,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126617,124439,710,53,124544,123179,2073,1258,0,2,0.57478,0.22582,0
