t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018518.3726,B_right_roll_left_right,B,right,0,,,0,52.0000,345.3000,131.5000,190.8000,292.1000,23.0000,360.0000,294.8000,22.6000,0.0000,100.5000,0.0000,171.2000,0.0000,-0.85700,-0.01700,0.37000,0.57000,3.08000,-0.27000,0.30500,0.14000,0.86800,-0.68000,-0.27000,0.78000,9.8,1.3,1.0,1.0,0.861157,0.326595,1.110997,-0.967976,0.390306,1.616524,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666690,0.197352,1.268192,-0.252466,0.217195,1.327594,-1.764554,-1.327982,-1.573555,-1.565620,3.217534,0.453385,1.024629,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126788,124534,787,139,124627,123272,2161,1260,0,2,0.49344,0.10278,0
1786018518.4051,B_right_roll_left_right,B,right,0,,,1,152.1000,345.3000,131.4000,190.9000,291.7000,2.3000,360.0000,294.8000,22.5000,0.0000,100.5000,0.0000,171.0000,0.0000,-0.84100,-0.02300,0.40200,3.33000,2.56000,3.64000,0.29600,0.14900,0.90800,-0.42000,1.15000,1.59000,9.8,1.3,1.0,1.0,0.870604,0.332900,1.106466,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666690,0.197352,1.268192,-0.252466,0.217195,1.327594,-1.764361,-1.327661,-1.573855,-1.565668,-3.065896,0.452912,1.024439,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7255,8036,742,113,5395,6836,1860,1200,0,0,0.49344,0.10278,0
1786018518.4141,B_right_roll_left_right,B,right,0,,,2,152.1000,345.3000,131.4000,190.9000,291.7000,2.3000,360.0000,294.8000,22.5000,0.0000,100.5000,0.0000,171.0000,0.0000,-0.84100,-0.02300,0.40200,3.33000,2.56000,3.64000,0.29600,0.14900,0.90800,-0.42000,1.15000,1.59000,9.8,1.3,1.0,1.0,0.870604,0.332900,1.106466,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666587,0.198106,1.268281,-0.252466,0.217195,1.327594,-1.764361,-1.327661,-1.573855,-1.565668,-3.065896,0.452912,1.024439,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7255,8036,742,113,5395,6836,1860,1200,0,0,0.49344,0.10278,0
1786018518.4398,B_right_roll_left_right,B,right,0,,,3,152.1000,345.3000,131.4000,190.9000,292.0000,2.3000,360.0000,294.8000,22.4000,0.0000,100.5000,0.0000,170.8000,0.0000,-0.85500,-0.03400,0.39000,2.50000,-0.11000,3.78000,0.29300,0.14100,0.87700,-1.95000,-0.30000,0.82000,11.7,1.2,1.0,1.0,0.878238,0.337292,1.103488,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666587,0.198106,1.268281,-0.252466,0.217195,1.327594,-1.765215,-1.327946,-1.573678,-1.564570,-3.065792,0.453279,1.024597,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126788,124535,787,139,124627,123273,2161,1260,0,2,0.49344,0.10278,0
1786018518.4594,B_right_roll_left_right,B,right,0,,,4,152.1000,345.3000,131.4000,190.9000,292.0000,2.3000,360.0000,294.8000,22.4000,0.0000,100.5000,0.0000,170.8000,0.0000,-0.85500,-0.03400,0.39000,2.50000,-0.11000,3.78000,0.29300,0.14100,0.87700,-1.95000,-0.30000,0.82000,11.7,1.2,1.0,1.0,0.878238,0.337292,1.103488,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666587,0.198106,1.268281,-0.252466,0.217195,1.327594,-1.765413,-1.328012,-1.573637,-1.564314,-3.065767,0.453364,1.024634,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7255,124535,742,139,5395,123273,1860,1260,0,2,0.49344,0.10278,0
1786018518.4775,B_right_roll_left_right,B,right,0,,,5,152.1000,345.3000,131.4000,190.9000,292.0000,2.3000,360.0000,294.8000,22.4000,0.0000,100.5000,0.0000,170.8000,0.0000,-0.85500,-0.03400,0.39000,2.50000,-0.11000,3.78000,0.29300,0.14100,0.87700,-1.95000,-0.30000,0.82000,11.7,1.2,1.0,1.0,0.878238,0.337292,1.103488,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666480,0.198866,1.268371,-0.252466,0.217195,1.327594,-1.765663,-1.328096,-1.573584,-1.563992,-3.065737,0.453472,1.024681,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126788,8037,787,113,124627,6837,2161,1200,0,0,0.49344,0.10278,0
1786018518.4967,B_right_roll_left_right,B,right,0,,,6,152.1000,345.3000,131.4000,190.9000,292.0000,2.3000,360.0000,294.8000,22.4000,0.0000,100.5000,0.0000,170.8000,0.0000,-0.85500,-0.03400,0.39000,2.50000,-0.11000,3.78000,0.29300,0.14100,0.87700,-1.95000,-0.30000,0.82000,9.7,0.6,1.0,1.0,0.878238,0.337292,1.103488,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666480,0.198866,1.268371,-0.252466,0.217195,1.327594,-1.766447,-1.328357,-1.573421,-1.562984,-3.065641,0.453809,1.024826,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126788,8037,787,113,124627,6837,2161,1200,0,0,0.49344,0.10278,0
1786018518.5159,B_right_roll_left_right,B,right,0,,,7,152.1000,345.3000,131.4000,190.9000,291.2000,2.3000,360.0000,294.8000,22.4000,0.0000,100.5000,0.0000,170.8000,0.0000,-0.87400,-0.03700,0.37500,4.34000,-3.51000,-2.09000,0.29300,0.14100,0.87700,-1.95000,-0.30000,0.82000,9.2,0.5,1.0,1.0,0.724678,0.029689,1.296410,-0.252466,0.217195,1.327594,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666480,0.198866,1.268371,-0.252466,0.217195,1.327594,-1.766708,-1.328445,-1.573367,-1.562648,-3.065610,0.453921,1.024874,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126788,124536,787,139,124627,123274,2161,1260,0,2,0.49344,0.10278,0
1786018518.5378,B_right_roll_left_right,B,right,0,,,8,152.1000,345.3000,131.4000,190.9000,291.2000,2.3000,360.0000,294.3000,22.3000,0.0000,100.5000,0.0000,170.6000,0.0000,-0.87400,-0.03700,0.37500,4.34000,-3.51000,-2.09000,0.31400,0.14500,0.87900,-2.51000,0.31000,-3.78000,9.2,0.5,1.0,1.0,0.724678,0.029689,1.296410,-0.059193,0.224004,1.228138,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666480,0.198866,1.268371,-0.252466,0.217195,1.327594,-1.766966,-1.328531,-1.573314,-1.562317,-3.065578,0.454031,1.024922,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7255,8038,742,113,5395,6838,1860,1200,0,0,0.49344,0.10278,0
1786018518.5550,B_right_roll_left_right,B,right,0,,,9,152.1000,345.3000,131.4000,190.9000,288.6000,2.3000,360.0000,294.3000,22.3000,0.0000,100.5000,0.0000,170.8000,0.0000,-0.84600,-0.02300,0.36800,2.98000,-0.18000,-0.60000,0.28200,0.14600,0.88900,-3.50000,0.15000,-2.93000,9.2,0.5,1.0,1.0,0.724678,0.029689,1.296410,-0.059193,0.224004,1.228138,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.666373,0.199621,1.268461,-0.252466,0.217195,1.327594,-1.767254,-1.328627,-1.573254,-1.561946,-3.065543,0.454155,1.024975,-0.776457,1.818162,0.965650,1.821151,-0.613730,-0.742540,2.297622,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,126788,124536,787,139,124627,123274,2161,1260,0,2,0.49344,0.10278,0
