t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018630.6010,C_left_back,C,left,0,back,,0,205.9000,343.7000,219.2000,263.1000,301.9000,2.3000,360.0000,349.0000,38.8000,0.0000,151.4000,0.0000,114.9000,0.0000,0.31500,-0.03600,0.84800,-8.30000,10.16000,2.95000,-0.95300,0.01100,0.27500,-5.37000,1.79000,-4.76000,10.4,2.1,1.0,1.0,0.888512,0.384964,1.333744,-1.129816,0.383633,1.663947,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.938843,-0.654390,-1.464727,-1.312348,3.008606,0.336965,0.538324,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127258,124684,1052,494,124865,123422,2393,1260,0,2,0.70418,0.12465,0
1786018630.6232,C_left_back,C,left,0,back,,1,205.9000,343.7000,219.2000,263.0000,302.2000,2.4000,360.0000,349.0000,38.8000,0.0000,151.2000,0.0000,114.9000,0.0000,0.33200,-0.09000,0.89800,-0.89000,3.49000,9.48000,-0.96100,-0.00300,0.28300,2.98000,5.84000,-5.53000,12.1,1.7,1.0,1.0,0.893201,0.166387,1.464469,-0.118617,0.185946,1.125633,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.938843,-0.654390,-1.464727,-1.312348,3.008606,0.336965,0.538324,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7692,8194,1006,458,5614,6994,2078,1200,0,0,0.70418,0.12726,0
1786018630.6444,C_left_back,C,left,0,back,,2,205.9000,343.7000,219.2000,263.0000,302.1000,2.5000,360.0000,349.0000,38.8000,0.0000,151.2000,0.0000,114.9000,0.0000,0.31200,-0.09400,0.88700,2.03000,1.07000,8.57000,-0.93800,-0.00000,0.28700,5.98000,5.97000,-5.31000,11.6,2.2,1.0,1.0,0.888512,0.384964,1.333744,-1.128172,0.383805,1.664624,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.937851,-0.654407,-1.465571,-1.312287,3.009039,0.337615,0.537963,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7692,8194,1006,458,5614,6994,2078,1200,0,0,0.70418,0.12726,0
1786018630.6619,C_left_back,C,left,0,back,,3,205.9000,343.8000,219.2000,263.0000,301.9000,2.4000,360.0000,349.0000,38.8000,0.0000,151.4000,0.0000,114.8000,0.0000,0.33500,-0.06900,0.89200,5.55000,-1.82000,6.89000,-0.92700,0.03100,0.27600,4.63000,0.78000,-0.63000,11.6,2.2,1.0,1.0,0.888512,0.384964,1.333744,-1.129482,0.383666,1.664093,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.937056,-0.654421,-1.466245,-1.312239,3.009385,0.338135,0.537674,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127258,124684,1052,495,124865,123422,2393,1260,0,2,0.70418,0.12465,0
1786018630.6862,C_left_back,C,left,0,back,,4,205.9000,343.8000,219.2000,263.0000,301.9000,2.3000,360.0000,349.0000,38.8000,0.0000,151.4000,0.0000,114.8000,0.0000,0.35300,-0.07700,0.91800,7.02000,-1.76000,4.70000,-0.92400,0.03400,0.26400,0.69000,-5.40000,3.53000,12.4,1.5,1.0,1.0,1.034430,0.458762,1.274842,-0.280818,0.213590,1.272579,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.933880,-0.654478,-1.468944,-1.312045,3.010768,0.340214,0.536519,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7692,8194,1007,459,5614,6994,2078,1200,0,0,0.70418,0.12726,0
1786018630.7159,C_left_back,C,left,0,back,,5,20.9000,343.9000,21.9000,262.9000,301.8000,2.4000,360.0000,349.0000,38.8000,0.0000,151.4000,0.0000,114.8000,0.0000,0.33100,-0.07900,0.81000,7.61000,1.30000,-4.54000,-0.92400,0.03400,0.26400,0.69000,-5.40000,3.53000,12.4,1.5,1.0,1.0,0.893201,0.166387,1.464469,-0.280818,0.213590,1.272579,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.933880,-0.654478,-1.468944,-1.312045,3.010768,0.340214,0.536519,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,0,1,1,0,0.1027,0.0000,,,,,127258,124684,1053,495,124865,123422,2393,1260,0,2,0.70418,0.12465,0
1786018630.7304,C_left_back,C,left,0,back,,6,20.9000,343.9000,21.9000,262.9000,301.8000,2.4000,360.0000,349.0000,38.8000,0.0000,151.4000,0.0000,114.8000,0.0000,0.33100,-0.07900,0.81000,7.61000,1.30000,-4.54000,-0.93200,-0.00600,0.25700,-7.08000,-10.21000,3.41000,12.4,1.5,1.0,1.0,0.893201,0.166387,1.464469,-0.117594,0.186048,1.126063,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.933880,-0.654478,-1.468944,-1.312045,3.010768,0.340214,0.536519,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,0,1,1,0,0.1027,0.0000,,,,,7692,8194,1007,459,5614,6994,2078,1200,0,0,0.70418,0.12726,0
1786018630.7441,C_left_back,C,left,0,back,,7,205.9000,343.9000,218.8000,262.8000,301.8000,2.3000,360.0000,349.0000,38.8000,0.0000,151.3000,0.0000,114.8000,0.0000,0.31300,-0.05900,0.88100,7.45000,161.00000,-3.80000,-0.93300,-0.01900,0.24600,-6.92000,-6.64000,6.35000,12.4,1.9,1.0,1.0,0.888512,0.384964,1.333744,-1.126725,0.383955,1.665260,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.933880,-0.654478,-1.468944,-1.312045,3.010768,0.340214,0.536519,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127258,124684,1053,495,124865,123422,2393,1260,0,2,0.70418,0.12465,0
1786018630.7723,C_left_back,C,left,0,back,,8,205.9000,343.9000,218.8000,262.8000,301.8000,2.3000,360.0000,349.0000,38.8000,0.0000,151.3000,0.0000,114.8000,0.0000,0.31300,-0.05900,0.88100,7.45000,161.00000,-3.80000,-0.93300,-0.01900,0.24600,-6.92000,-6.64000,6.35000,11.2,2.3,1.0,1.0,0.888512,0.384964,1.333744,-1.126725,0.383955,1.665260,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.933880,-0.654478,-1.468944,-1.312045,3.010768,0.340214,0.536519,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7692,8194,1007,459,5614,6994,2078,1200,0,0,0.70418,0.12726,0
1786018630.7949,C_left_back,C,left,0,back,,9,205.8000,343.0000,218.8000,262.6000,301.8000,2.3000,360.0000,349.0000,38.8000,0.0000,151.3000,0.0000,114.6000,0.0000,0.34400,-0.07900,0.89700,3.42000,2.10000,-4.02000,-0.91900,-0.01500,0.25900,5.31000,6.44000,-5.16000,11.2,2.3,1.0,1.0,0.893201,0.166387,1.464469,-0.116142,0.186196,1.126685,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.893201,0.166387,1.464468,-0.278108,0.213893,1.273689,-1.933880,-0.654478,-1.468944,-1.312045,3.010768,0.340214,0.536519,-0.953609,1.858947,1.042513,1.822846,-0.637062,-0.556216,2.212135,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7692,124684,1007,495,5614,123422,2078,1260,0,2,0.70418,0.12465,0
