t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018697.4373,C_left_up,C,left,0,up,,0,157.8000,343.9000,159.8000,236.5000,0.0000,41.3000,360.0000,352.3000,39.2000,0.0000,149.9000,0.0000,112.9000,0.0000,0.35200,-0.12500,0.98500,8.66000,-13.31000,9.29000,-0.95500,-0.00600,0.21300,-4.79000,3.82000,-1.75000,11.2,2.7,1.0,1.0,0.922110,0.352829,1.596683,-0.289512,0.218082,1.292370,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.298483,0.216681,1.310127,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.973888,1.899948,1.106700,1.810748,-0.561243,-0.503547,2.093299,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7883,124783,1190,690,5712,123521,2171,1260,0,2,0.59208,0.14495,0
1786018697.4580,C_left_up,C,left,0,up,,1,157.8000,343.9000,159.8000,236.5000,0.0000,41.3000,360.0000,352.3000,39.2000,0.0000,149.9000,0.0000,112.9000,0.0000,0.35200,-0.12500,0.98500,8.66000,-13.31000,9.29000,-0.93600,0.04100,0.24500,2.24000,8.82000,-3.21000,11.2,2.7,1.0,1.0,0.922110,0.352829,1.596683,-0.124598,0.191035,1.123511,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.298483,0.216681,1.310127,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.973888,1.899948,1.106700,1.810748,-0.561243,-0.503547,2.093299,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127465,8293,1234,659,124975,7093,2490,1200,0,0,0.59224,0.14495,0
1786018697.4800,C_left_up,C,left,0,up,,2,157.7000,343.9000,159.5000,236.8000,0.0000,21.0000,36.0000,352.5000,39.2000,0.0000,150.1000,0.0000,112.9000,0.0000,0.39900,-0.11300,1.00300,16.24000,-15.46000,12.21000,-0.90100,0.03200,0.24100,-1.10000,0.38000,-0.08000,10.4,1.6,1.0,1.0,1.042756,0.694446,1.412094,-0.288352,0.218372,1.285941,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.298483,0.216681,1.310127,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.965096,1.892362,1.106673,1.816957,-0.551015,-0.515146,2.092439,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127465,8293,1234,659,124975,7093,2490,1200,0,0,0.59224,0.14495,0
1786018697.5065,C_left_up,C,left,0,up,,3,157.7000,343.9000,159.5000,236.8000,0.0000,21.0000,36.0000,352.5000,39.2000,0.0000,150.1000,0.0000,112.9000,0.0000,0.39900,-0.11300,1.00300,16.24000,-15.46000,12.21000,-0.90100,0.03200,0.24100,-1.10000,0.38000,-0.08000,10.4,1.6,1.0,1.0,1.042756,0.694446,1.412094,-0.288352,0.218372,1.285941,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.291076,0.217918,1.295384,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.955975,1.884493,1.106645,1.823399,-0.540406,-0.527178,2.091546,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127465,8293,1234,659,124975,7093,2490,1200,0,0,0.59224,0.14495,0
1786018697.5269,C_left_up,C,left,0,up,,4,157.7000,343.9000,159.5000,236.8000,0.0000,21.0000,36.0000,352.5000,39.2000,0.0000,150.1000,0.0000,112.9000,0.0000,0.39900,-0.11300,1.00300,16.24000,-15.46000,12.21000,-0.90100,0.03200,0.24100,-1.10000,0.38000,-0.08000,10.4,1.6,1.0,1.0,1.042756,0.694446,1.412094,-0.288352,0.218372,1.285941,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.291076,0.217918,1.295384,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.955975,1.884493,1.106645,1.823399,-0.540406,-0.527178,2.091546,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127465,8293,1234,659,124975,7093,2490,1200,0,0,0.59224,0.14495,0
1786018697.5383,C_left_up,C,left,0,up,,5,157.8000,343.9000,159.6000,237.8000,0.0000,3.5000,360.0000,352.4000,39.2000,0.0000,150.2000,0.0000,112.9000,0.0000,0.39300,0.00300,0.94500,16.18000,-30.24000,8.56000,-0.93200,0.02100,0.23600,-5.31000,-7.60000,0.35000,9.6,2.3,1.0,1.0,0.923443,0.353270,1.601942,-0.124184,0.191151,1.123669,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.291076,0.217918,1.295384,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.951225,1.880395,1.106630,1.826753,-0.534881,-0.533443,2.091081,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7883,124783,1190,690,5712,123521,2171,1260,0,2,0.59208,0.14495,0
1786018697.5579,C_left_up,C,left,0,up,,6,157.9000,343.9000,160.4000,238.5000,0.0000,0.0000,360.0000,352.5000,39.2000,0.0000,150.2000,0.0000,11.0000,0.0000,0.46800,-0.13300,0.97700,47.55000,-35.37000,-18.80000,-0.93900,-0.01000,0.22100,-6.71000,-6.24000,-3.63000,10.7,2.8,1.0,1.0,0.872031,0.314991,1.299655,-1.141320,0.387745,1.699823,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.289500,0.218086,1.292376,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.933174,1.864821,1.106575,1.839501,-0.513884,-0.557256,2.089314,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7883,124783,1190,690,5712,123521,2171,1260,0,2,0.59208,0.14495,0
1786018697.5870,C_left_up,C,left,0,up,,7,158.9000,343.8000,163.4000,243.1000,0.0000,0.0000,360.0000,352.2000,39.2000,0.0000,150.0000,0.0000,112.9000,0.0000,0.51500,0.02600,0.89200,32.67000,-24.24000,-21.98000,-0.96000,0.00700,0.23300,2.31000,0.47000,-6.93000,11.6,1.6,1.0,1.0,1.042756,0.694446,1.412094,-0.285518,0.218748,1.282246,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.289500,0.218086,1.292376,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.919105,1.852682,1.106531,1.849438,-0.497518,-0.575816,2.087937,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7883,8293,1190,659,5712,7093,2171,1200,0,0,0.59208,0.14495,0
1786018697.6045,C_left_up,C,left,0,up,,8,158.9000,343.8000,163.4000,243.1000,0.0000,0.0000,360.0000,352.2000,39.2000,0.0000,150.0000,0.0000,112.9000,0.0000,0.51500,0.02600,0.89200,32.67000,-24.24000,-21.98000,-0.96000,0.00700,0.23300,2.31000,0.47000,-6.93000,11.6,1.6,1.0,1.0,1.042756,0.694446,1.412094,-0.285518,0.218748,1.282246,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.289500,0.218086,1.292376,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.914572,1.848771,1.106517,1.852639,-0.492245,-0.581796,2.087494,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,127465,124783,1235,690,124975,123521,2490,1260,0,2,0.59224,0.14495,0
1786018697.6186,C_left_up,C,left,0,up,,9,158.9000,343.8000,163.4000,243.1000,0.0000,0.0000,360.0000,352.2000,39.2000,0.0000,150.0000,0.0000,112.9000,0.0000,0.51500,0.02600,0.89200,32.67000,-24.24000,-21.98000,-0.96000,0.00700,0.23300,2.31000,0.47000,-6.93000,14.5,1.1,1.0,1.0,1.042756,0.694446,1.412094,-0.285518,0.218748,1.282246,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.872031,0.314991,1.299655,-0.289500,0.218086,1.292376,-2.177346,-1.077170,-1.417698,-0.708790,-3.065184,0.699106,0.750976,-0.905778,1.841185,1.106490,1.858849,-0.482017,-0.593396,2.086633,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,7883,124783,1191,690,5712,123521,2171,1260,0,2,0.59208,0.14495,0
