t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018816.5909,C_right_back,C,right,0,back,,0,160.8000,344.2000,157.6000,171.3000,37.1000,0.0000,360.0000,342.4000,44.2000,0.0000,100.9000,0.0000,0.0000,0.0000,-0.88700,0.03400,0.32900,2.27000,1.76000,6.27000,0.20000,0.06600,0.88700,7.41000,3.01000,-3.76000,10.0,1.5,1.0,0.0,0.635008,0.158650,1.271667,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.742848,0.057175,1.409477,-0.239029,0.008269,1.546418,-1.658623,-1.115294,-1.917686,-2.037909,2.699888,-0.281807,1.273229,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128103,124961,1519,1086,125293,123697,2810,1262,0,2,0.56749,0.09808,0
1786018816.6181,C_right_back,C,right,0,back,,1,160.8000,344.2000,157.6000,171.3000,40.3000,0.0000,360.0000,342.4000,44.2000,0.0000,100.7000,0.0000,0.0000,0.0000,-0.89500,0.02500,0.30800,3.55000,-1.63000,1.02000,0.21500,0.10600,0.90000,-4.69000,2.79000,5.30000,8.7,1.9,1.0,0.0,0.634987,0.158657,1.271622,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.735953,0.070789,1.394131,-0.239029,0.008269,1.546418,-1.658766,-1.117245,-1.915509,-2.036474,2.701186,-0.279630,1.274358,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128104,8493,1519,1055,125293,7289,2811,1204,0,0,0.56285,0.09808,0
1786018816.6377,C_right_back,C,right,0,back,,2,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.4000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.20500,0.09400,0.91100,-8.15000,1.37000,6.84000,9.5,0.8,1.0,0.0,1.009321,0.654560,1.360187,-0.073945,-0.091525,1.432710,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.735953,0.070789,1.394131,-0.239029,0.008269,1.546418,-1.659454,-1.126588,-1.905086,-2.029606,2.707403,-0.269206,1.279766,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128104,8493,1519,1055,125293,7289,2811,1204,0,0,0.56285,0.09808,0
1786018816.6599,C_right_back,C,right,0,back,,3,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.4000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.20500,0.09400,0.91100,-8.15000,1.37000,6.84000,9.5,0.8,1.0,0.0,1.009321,0.654560,1.360187,-0.073945,-0.091525,1.432710,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.735953,0.070789,1.394131,-0.239029,0.008269,1.546418,-1.659895,-1.132575,-1.898407,-2.025206,2.711386,-0.262528,1.283230,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8499,124961,1480,1086,6031,123697,2468,1262,0,2,0.56285,0.09808,0
1786018816.6737,C_right_back,C,right,0,back,,4,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.4000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.20500,0.09400,0.91100,-8.15000,1.37000,6.84000,9.5,0.8,1.0,0.0,1.009321,0.654560,1.360187,-0.073945,-0.091525,1.432710,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.735953,0.070789,1.394131,-0.239029,0.008269,1.546418,-1.660231,-1.137145,-1.893309,-2.021846,2.714427,-0.257429,1.285876,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128105,8493,1519,1055,125294,7289,2811,1204,0,0,0.56285,0.09808,0
1786018816.7243,C_right_back,C,right,0,back,,5,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.1000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.23100,0.04100,0.89600,-8.91000,-2.60000,6.74000,8.7,1.1,1.0,0.0,1.009321,0.654560,1.360187,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727202,0.084348,1.378041,-0.239029,0.008269,1.546418,-1.659736,-1.145482,-1.882597,-2.018952,2.715889,-0.246718,1.285559,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8501,124961,1480,1086,6033,123697,2468,1262,0,2,0.55595,0.09808,0
1786018816.7270,C_right_back,C,right,0,back,,6,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.1000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.23100,0.04100,0.89600,-8.91000,-2.60000,6.74000,8.7,1.1,1.0,0.0,1.009321,0.654560,1.360187,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727202,0.084348,1.378041,-0.239029,0.008269,1.546418,-1.659736,-1.145482,-1.882597,-2.018952,2.715889,-0.246718,1.285559,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8501,124961,1480,1086,6033,123697,2468,1262,0,2,0.55595,0.09808,0
1786018816.7348,C_right_back,C,right,0,back,,7,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.1000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.23100,0.04100,0.89600,-8.91000,-2.60000,6.74000,8.7,1.1,1.0,0.0,1.009321,0.654560,1.360187,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718301,0.095951,1.363686,-0.239029,0.008269,1.546418,-1.657565,-1.133566,-1.894512,-2.030869,2.703971,-0.258633,1.273640,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128106,124961,1519,1087,125295,123697,2811,1262,0,2,0.55595,0.09808,0
1786018816.7636,C_right_back,C,right,0,back,,8,160.8000,344.2000,157.6000,171.0000,43.3000,0.0000,360.0000,342.1000,44.2000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.90200,0.04800,0.30200,2.19000,3.09000,-0.21000,0.23100,0.04100,0.89600,-8.91000,-2.60000,6.74000,8.7,1.1,1.0,0.0,1.009321,0.654560,1.360187,-0.239029,0.008270,1.546418,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718301,0.095951,1.363686,-0.239029,0.008269,1.546418,-1.655491,-1.121965,-1.906113,-2.042470,2.692370,-0.270234,1.262039,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128106,124961,1519,1087,125295,123697,2811,1262,0,2,0.55595,0.09808,0
1786018816.7828,C_right_back,C,right,0,back,,9,160.8000,344.1000,157.6000,171.4000,37.9000,0.0000,360.0000,341.6000,43.5000,0.0000,100.8000,0.0000,0.0000,0.0000,-0.88000,0.03100,0.31600,4.02000,-0.89000,2.32000,0.18500,0.06600,0.92300,-1.46000,6.85000,0.95000,10.0,0.8,1.0,0.0,0.634310,0.158575,1.271351,-1.084407,0.101022,2.017462,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718301,0.095951,1.363686,-0.239029,0.008269,1.546418,-1.653388,-1.110202,-1.917877,-2.054233,2.680607,-0.281997,1.250276,-0.210557,2.076674,1.225885,2.311673,-0.358580,-1.703152,1.754441,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128106,124961,1519,1087,125295,123697,2811,1262,0,2,0.55595,0.09808,0
