t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786018870.7288,C_right_up,C,right,0,up,,0,160.5000,343.0000,157.5000,170.2000,48.9000,0.0000,360.0000,324.4000,191.0000,0.0000,98.2000,0.0000,222.0000,0.0000,-0.87500,0.09900,0.25200,7.47000,6.30000,2.28000,0.45900,0.06400,0.87300,4.14000,16.02000,5.31000,13.2,1.5,1.0,0.0,0.646040,0.159675,1.275330,-1.093010,0.062982,2.040044,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.699769,-0.025638,1.466013,-0.100836,0.013868,1.408864,-1.565679,-0.864877,-2.061188,-2.297699,2.434239,-0.497929,0.987039,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8736,125112,1608,1234,6116,123759,2620,1331,0,22,0.52936,-0.05114,0
1786018870.7600,C_right_up,C,right,0,up,,1,160.5000,344.3000,157.5000,170.2000,49.7000,0.0000,360.0000,324.5000,191.4000,0.0000,98.3000,0.0000,223.1000,0.0000,-0.88700,0.10200,0.27800,5.71000,8.56000,5.84000,0.43900,0.12400,0.86500,0.96000,6.22000,4.72000,13.6,2.2,1.0,0.0,0.984894,0.640296,1.365991,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.703848,-0.018974,1.462124,-0.100836,0.013868,1.408864,-1.569559,-0.876646,-2.049418,-2.285931,2.446006,-0.486160,0.998799,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8736,8648,1608,1195,6116,7346,2620,1273,0,29,0.52936,-0.05114,0
1786018870.7744,C_right_up,C,right,0,up,,2,160.5000,344.3000,157.5000,170.2000,49.7000,0.0000,360.0000,324.5000,191.4000,0.0000,98.3000,0.0000,223.1000,0.0000,-0.88700,0.10200,0.27800,5.71000,8.56000,5.84000,0.43900,0.12400,0.86500,0.96000,6.22000,4.72000,12.8,2.7,1.0,0.0,0.995132,0.644847,1.365388,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.703848,-0.018974,1.462124,-0.100836,0.013868,1.408864,-1.573549,-0.888749,-2.037313,-2.273828,2.458109,-0.474056,1.010894,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8737,8648,1608,1195,6116,7346,2621,1273,0,29,0.52385,-0.05114,0
1786018870.7920,C_right_up,C,right,0,up,,3,160.5000,344.3000,157.5000,170.2000,49.9000,0.0000,360.0000,324.5000,191.6000,0.0000,98.0000,0.0000,223.8000,0.0000,-0.89100,0.07000,0.29600,6.21000,7.08000,5.69000,0.45600,0.06300,0.88000,-2.38000,-2.63000,3.93000,12.8,2.7,1.0,0.0,0.995132,0.644847,1.365388,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.703848,-0.018974,1.462124,-0.100836,0.013868,1.408864,-1.577073,-0.900160,-2.025902,-2.262417,2.469520,-0.462645,1.022306,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8737,8648,1608,1195,6116,7346,2621,1273,0,29,0.52385,-0.05114,0
1786018870.8266,C_right_up,C,right,0,up,,4,160.5000,344.3000,157.5000,170.2000,49.9000,0.0000,360.0000,324.5000,191.6000,0.0000,98.0000,0.0000,223.8000,0.0000,-0.89100,0.07000,0.29600,6.21000,7.08000,5.69000,0.45600,0.06300,0.88000,-2.38000,-2.63000,3.93000,12.8,2.7,1.0,0.0,0.995132,0.644847,1.365388,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.703848,-0.018974,1.462124,-0.100836,0.013868,1.408864,-1.578771,-0.905859,-2.020203,-2.256718,2.475219,-0.456946,1.026770,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128371,125112,1639,1234,125390,123759,2981,1331,0,22,0.52385,-0.05114,0
1786018870.8356,C_right_up,C,right,0,up,,5,160.5000,344.3000,157.5000,170.2000,49.9000,0.0000,360.0000,324.5000,191.6000,0.0000,98.0000,0.0000,223.8000,0.0000,-0.89100,0.07000,0.29600,6.21000,7.08000,5.69000,0.45600,0.06300,0.88000,-2.38000,-2.63000,3.93000,12.8,2.7,1.0,0.0,0.995132,0.644847,1.365388,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.703848,-0.018974,1.462124,-0.100836,0.013868,1.408864,-1.582180,-0.917304,-2.008758,-2.245273,2.486664,-0.445501,1.035736,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8737,125112,1608,1234,6116,123759,2621,1331,0,22,0.52385,-0.05114,0
1786018870.8590,C_right_up,C,right,0,up,,6,160.5000,344.3000,157.5000,170.2000,49.9000,0.0000,360.0000,324.5000,191.6000,0.0000,98.0000,0.0000,223.8000,0.0000,-0.89100,0.07000,0.29600,6.21000,7.08000,5.69000,0.45600,0.06300,0.88000,-2.38000,-2.63000,3.93000,12.8,2.7,1.0,0.0,0.995132,0.644847,1.365388,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.712159,-0.003123,1.451203,-0.100836,0.013868,1.408864,-1.587290,-0.934457,-1.991606,-2.228120,2.503817,-0.428348,1.049173,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128371,8648,1639,1195,125390,7346,2981,1273,0,29,0.52385,-0.05114,0
1786018870.8728,C_right_up,C,right,0,up,,7,160.5000,344.3000,157.5000,170.2000,49.9000,0.0000,360.0000,324.5000,191.6000,0.0000,98.0000,0.0000,223.8000,0.0000,-0.89100,0.07000,0.29600,6.21000,7.08000,5.69000,0.45600,0.06300,0.88000,-2.38000,-2.63000,3.93000,12.8,2.7,1.0,0.0,0.995132,0.644847,1.365388,-0.237116,0.045779,1.516549,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.712159,-0.003123,1.451203,-0.100836,0.013868,1.408864,-1.587290,-0.934457,-1.991606,-2.228120,2.503817,-0.428348,1.049173,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128371,8648,1639,1195,125390,7346,2981,1273,0,29,0.52385,-0.05114,0
1786018870.8976,C_right_up,C,right,0,up,,8,160.5000,344.3000,157.5000,170.2000,49.9000,0.0000,360.0000,324.5000,191.8000,0.0000,98.2000,0.0000,224.2000,0.0000,-0.89100,0.07000,0.29600,6.21000,7.08000,5.69000,0.47600,0.10400,0.82300,2.31000,-4.21000,-4.81000,14.0,1.9,1.0,0.0,0.995132,0.644847,1.365388,-1.093010,0.062982,2.040044,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718902,0.014053,1.437889,-0.100836,0.013868,1.408864,-1.589014,-0.940244,-1.985819,-2.222333,2.509603,-0.422561,1.053707,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128371,8648,1639,1196,125390,7346,2981,1273,0,29,0.52385,-0.05114,0
1786018870.9121,C_right_up,C,right,0,up,,9,160.6000,344.4000,157.5000,170.3000,4.4000,0.0000,360.0000,324.5000,191.8000,0.0000,98.2000,0.0000,224.2000,0.0000,-0.89400,0.09900,0.26000,3.74000,-8.44000,-2.07000,0.47600,0.10400,0.82300,2.31000,-4.21000,-4.81000,14.0,1.9,1.0,0.0,0.662036,-0.133242,1.554065,-1.093010,0.062982,2.040044,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718902,0.014053,1.437889,-0.100836,0.013868,1.408864,-1.591041,-0.947047,-1.979015,-2.215530,2.516407,-0.415758,1.059037,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,8737,125112,1608,1235,6116,123759,2621,1331,0,22,0.52385,-0.05114,0
