t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019004.6338,D_left_back_right,D,left,0,back_right,,0,211.2000,344.6000,140.8000,291.6000,343.0000,2.8000,343.6000,348.3000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.13500,-0.28600,0.91200,-17.33000,27.85000,1.60000,-0.87100,0.01600,0.26500,-3.31000,3.60000,-10.44000,13.1,1.6,0.0,1.0,1.078112,1.091250,1.549435,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9137,125369,1968,1600,6320,123760,2817,1519,0,90,0.56165,-0.05114,0
1786019004.6539,D_left_back_right,D,left,0,back_right,,1,211.2000,344.6000,140.8000,291.6000,343.0000,2.8000,343.6000,348.3000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.13500,-0.28600,0.91200,-17.33000,27.85000,1.60000,-0.93300,0.02600,0.30100,-2.02000,-1.52000,-15.35000,13.1,1.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,8895,1985,1565,125594,7347,3178,1449,0,99,0.56165,-0.05114,0
1786019004.6838,D_left_back_right,D,left,0,back_right,,2,211.2000,344.6000,140.8000,291.6000,343.0000,2.8000,343.6000,348.3000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.13500,-0.28600,0.91200,-17.33000,27.85000,1.60000,-0.93300,0.02600,0.30100,-2.02000,-1.52000,-15.35000,15.7,1.9,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9137,125369,1968,1600,6320,123760,2817,1519,0,90,0.56165,-0.05114,0
1786019004.7014,D_left_back_right,D,left,0,back_right,,3,211.2000,344.8000,140.8000,291.8000,342.6000,2.7000,343.5000,348.3000,22.4000,0.0200,156.3000,0.0000,116.6000,0.0000,0.22300,-0.36200,0.95000,6.52000,-2.15000,-17.09000,-0.99000,0.01300,0.31300,4.40000,-8.27000,-2.02000,15.7,1.9,0.0,1.0,0.783389,0.512568,1.454117,-1.092241,-0.312402,2.365152,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,8895,1985,1565,125594,7347,3178,1449,0,99,0.56165,-0.05114,0
1786019004.7197,D_left_back_right,D,left,0,back_right,,4,210.8000,344.7000,141.2000,291.7000,342.5000,2.7000,343.9000,348.2000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.21900,-0.18700,0.84300,5.31000,0.02000,-8.54000,-0.97800,-0.02300,0.28900,0.01000,-7.87000,17.44000,13.8,2.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,8895,1985,1565,125594,7347,3178,1449,0,99,0.56165,-0.05114,0
1786019004.7368,D_left_back_right,D,left,0,back_right,,5,210.8000,344.7000,141.2000,291.7000,342.5000,2.7000,343.9000,348.2000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.21900,-0.18700,0.84300,5.31000,0.02000,-8.54000,-0.97800,-0.02300,0.28900,0.01000,-7.87000,17.44000,13.8,2.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9137,125369,1968,1601,6320,123760,2817,1519,0,90,0.56165,-0.05114,0
1786019004.7640,D_left_back_right,D,left,0,back_right,,6,210.8000,344.7000,141.2000,291.7000,342.5000,2.7000,343.9000,348.2000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.21900,-0.18700,0.84300,5.31000,0.02000,-8.54000,-0.97800,-0.02300,0.28900,0.01000,-7.87000,17.44000,13.8,2.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9137,125369,1968,1601,6320,123760,2817,1519,0,90,0.56165,-0.05114,0
1786019004.7759,D_left_back_right,D,left,0,back_right,,7,210.8000,344.7000,141.2000,291.7000,342.5000,2.7000,343.9000,348.2000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.21900,-0.18700,0.84300,5.31000,0.02000,-8.54000,-0.97800,-0.02300,0.28900,0.01000,-7.87000,17.44000,13.8,2.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,8895,1985,1566,125594,7347,3178,1449,0,99,0.56165,-0.05114,0
1786019004.7944,D_left_back_right,D,left,0,back_right,,8,210.8000,344.7000,141.2000,291.7000,342.5000,2.7000,343.9000,348.2000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.21900,-0.18700,0.84300,5.31000,0.02000,-8.54000,-0.97800,-0.02300,0.28900,0.01000,-7.87000,17.44000,13.8,2.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9137,125369,1968,1601,6320,123760,2817,1519,0,90,0.56165,-0.05114,0
1786019004.8258,D_left_back_right,D,left,0,back_right,,9,210.8000,344.7000,141.2000,291.7000,342.5000,2.7000,343.9000,348.2000,22.4000,0.0000,156.3000,0.0000,116.6000,0.0000,0.21900,-0.18700,0.84300,5.31000,0.02000,-8.54000,-0.97800,-0.02300,0.28900,0.01000,-7.87000,17.44000,13.8,2.6,0.0,1.0,1.078112,1.091250,1.549435,-0.184427,-0.095058,1.714722,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.739621,0.414133,1.443191,-0.100836,0.013868,1.408864,-2.521692,-1.175770,-1.213023,-0.683403,3.122019,0.397738,0.824977,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9137,125369,1968,1601,6320,123760,2817,1519,0,90,0.56165,-0.05114,0
