t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019036.2618,D_left_down_front,D,left,0,down_front,,0,196.6000,344.1000,166.8000,274.2000,330.1000,0.4000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.27800,-0.04300,0.93600,-6.31000,13.10000,2.34000,-0.92200,0.01300,0.27700,-0.98000,3.52000,-4.34000,11.6,1.1,0.0,1.0,1.078112,1.091250,1.549435,-0.186542,-0.089363,1.714355,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9138,8962,2081,1638,6320,7347,2818,1509,0,106,0.53597,-0.05114,0
1786019036.2946,D_left_down_front,D,left,0,down_front,,1,196.6000,344.0000,166.7000,272.8000,330.1000,1.1000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.30900,-0.10600,0.89700,-3.65000,8.30000,2.60000,-0.91400,0.02400,0.28400,-2.27000,2.81000,-7.25000,11.6,1.1,0.0,1.0,0.826290,0.633102,1.776323,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,125444,2100,1675,125594,123760,3178,1590,0,94,0.56165,-0.05114,0
1786019036.3062,D_left_down_front,D,left,0,down_front,,2,196.6000,344.0000,166.7000,272.8000,330.1000,1.1000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.30900,-0.10600,0.89700,-3.65000,8.30000,2.60000,-0.91400,0.02400,0.28400,-2.27000,2.81000,-7.25000,11.6,1.1,0.0,1.0,0.826290,0.633102,1.776323,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,125444,2100,1675,125594,123760,3178,1590,0,94,0.56165,-0.05114,0
1786019036.3443,D_left_down_front,D,left,0,down_front,,3,196.6000,344.1000,166.6000,270.7000,330.1000,1.9000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.22300,-0.06400,0.93400,8.15000,-3.39000,-0.12000,-0.95200,0.01200,0.26000,-1.96000,-1.63000,-1.57000,11.2,2.5,0.0,1.0,0.825843,0.631389,1.768843,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,125444,2100,1675,125594,123760,3178,1590,0,94,0.56165,-0.05114,0
1786019036.3674,D_left_down_front,D,left,0,down_front,,4,196.6000,344.1000,166.6000,270.7000,330.1000,1.9000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.22300,-0.06400,0.93400,8.15000,-3.39000,-0.12000,-0.95200,0.01200,0.26000,-1.96000,-1.63000,-1.57000,11.2,2.5,0.0,1.0,0.825843,0.631389,1.768843,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,125444,2100,1675,125594,123760,3178,1590,0,94,0.56165,-0.05114,0
1786019036.3762,D_left_down_front,D,left,0,down_front,,5,196.6000,344.1000,166.6000,270.7000,330.1000,1.9000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.22300,-0.06400,0.93400,8.15000,-3.39000,-0.12000,-0.95200,0.01200,0.26000,-1.96000,-1.63000,-1.57000,11.2,2.5,0.0,1.0,0.825843,0.631389,1.768843,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9138,8962,2081,1638,6320,7347,2818,1509,0,106,0.53597,-0.05114,0
1786019036.3964,D_left_down_front,D,left,0,down_front,,6,196.7000,3441.0000,166.6000,270.9000,330.2000,0.0000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.31700,-0.05500,0.89900,6.99000,-0.30000,-7.63000,-0.95200,0.01200,0.26000,-1.96000,-1.63000,-1.57000,11.8,2.0,0.0,1.0,1.078112,1.091250,1.549435,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,125444,2100,1675,125594,123760,3178,1590,0,94,0.56165,-0.05114,0
1786019036.4144,D_left_down_front,D,left,0,down_front,,7,196.7000,3441.0000,166.6000,270.9000,330.2000,0.0000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.31700,-0.05500,0.89900,6.99000,-0.30000,-7.63000,-0.95200,0.01200,0.26000,-1.96000,-1.63000,-1.57000,12.3,1.7,0.0,1.0,1.078112,1.091250,1.549435,-0.206274,-0.093223,1.763621,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9138,8962,2081,1638,6320,7347,2818,1509,0,106,0.53597,-0.05114,0
1786019036.4233,D_left_down_front,D,left,0,down_front,,8,197.2000,344.1000,166.6000,271.6000,330.3000,0.0000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.30900,-0.05100,0.90300,6.63000,-0.34000,-7.03000,-0.91200,0.00700,0.24700,-1.46000,0.09000,2.01000,12.7,1.8,0.0,1.0,0.826505,0.632110,1.770287,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9138,8962,2081,1638,6320,7347,2818,1509,0,106,0.53597,-0.05114,0
1786019036.4528,D_left_down_front,D,left,0,down_front,,9,197.3000,3441.0000,166.8000,271.5000,330.4000,0.9000,360.0000,348.6000,22.3000,0.0000,154.5000,0.0000,116.0000,0.0000,0.29600,-0.02700,0.89100,4.36000,0.85000,-2.44000,-0.91200,0.00700,0.24700,-1.46000,0.09000,2.01000,13.4,2.1,0.0,1.0,0.826865,0.632515,1.770820,-0.100990,-0.658675,1.857921,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.727709,0.292099,1.720589,-0.100836,0.013868,1.408864,-2.871692,-0.825770,-0.863023,-0.984217,2.772019,0.047738,0.488859,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,128772,125444,2100,1675,125594,123760,3178,1590,0,94,0.56165,-0.05114,0
