t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019126.5654,D_right_front_left,D,right,0,front_left,,0,168.0000,344.1000,158.6000,169.6000,67.0000,0.0000,343.2000,283.8000,22.4000,0.0000,99.1000,0.0000,19.2700,0.0000,-0.85900,-0.00100,0.36400,7.70000,-0.40000,8.92000,0.19900,0.08000,0.92900,36.31000,9.02000,-20.21000,14.1,1.6,1.0,1.0,0.625302,0.084148,1.568584,-0.194738,-0.929557,1.933434,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646842,0.488005,1.442100,-0.100836,0.013868,1.408864,-2.776618,-1.434672,-1.365043,-0.200390,3.241167,0.565469,1.005489,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9414,9314,2351,1861,6485,7347,2929,1818,0,149,0.41985,-0.05114,0
1786019126.5884,D_right_front_left,D,right,0,front_left,,1,168.0000,344.1000,158.6000,169.6000,67.0000,0.0000,343.2000,283.8000,22.4000,0.0000,99.1000,0.0000,19.2700,0.0000,-0.85900,-0.00100,0.36400,7.70000,-0.40000,8.92000,0.19900,0.08000,0.92900,36.31000,9.02000,-20.21000,14.1,1.6,1.0,1.0,0.625302,0.084148,1.568584,-0.194738,-0.929557,1.933434,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646842,0.488005,1.442100,-0.100836,0.013868,1.408864,-2.776281,-1.434343,-1.365281,-0.200728,3.240830,0.565131,1.005479,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129061,125765,2361,1902,125761,123760,3300,1858,0,147,0.41988,-0.05114,0
1786019126.6142,D_right_front_left,D,right,0,front_left,,2,168.0000,344.1000,158.7000,169.5000,64.0000,0.0000,343.3000,282.7000,22.4000,0.0000,99.3000,0.0000,117.8000,0.0000,-0.89100,0.02800,0.36000,1.73000,1.99000,4.61000,0.24400,0.14000,0.93200,-1.51000,-0.18000,-3.16000,13.8,4.9,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.634710,0.490324,1.442751,-0.100836,0.013868,1.408864,-2.775843,-1.433917,-1.365589,-0.201165,3.240392,0.564694,1.005466,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9414,9314,2351,1861,6485,7347,2929,1818,0,149,0.41985,-0.05114,0
1786019126.6275,D_right_front_left,D,right,0,front_left,,3,168.0000,344.1000,158.7000,169.5000,64.0000,0.0000,343.3000,282.7000,22.4000,0.0000,99.3000,0.0000,117.8000,0.0000,-0.89100,0.02800,0.36000,1.73000,1.99000,4.61000,0.24400,0.14000,0.93200,-1.51000,-0.18000,-3.16000,11.3,4.0,1.0,1.0,0.635500,0.490544,1.440052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.634710,0.490324,1.442751,-0.100836,0.013868,1.408864,-2.775548,-1.433629,-1.365797,-0.201461,3.240096,0.564398,1.005458,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9415,125765,2351,1902,6485,123760,2930,1858,0,147,0.41985,-0.05114,0
1786019126.6553,D_right_front_left,D,right,0,front_left,,4,168.2000,344.1000,158.7000,169.5000,70.0000,0.0000,343.4000,281.7000,22.4000,0.0000,99.1000,0.0000,116.6000,0.0000,-0.89600,0.01900,0.36000,-5.84000,-1.86000,-4.63000,0.17200,0.05200,0.84700,-34.40000,-1.18000,-0.98000,13.6,4.1,1.0,1.0,0.625650,0.084133,1.568529,-0.194738,-0.929557,1.933434,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.634710,0.490324,1.442751,-0.100836,0.013868,1.408864,-2.774818,-1.432919,-1.366311,-0.202190,3.239366,0.563669,1.005437,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9415,9314,2351,1861,6485,7347,2930,1818,0,149,0.41985,-0.05114,0
1786019126.6802,D_right_front_left,D,right,0,front_left,,5,168.1000,344.1000,158.7000,169.5000,68.7000,0.0000,343.2000,281.5000,22.4000,0.0000,99.1000,0.0000,116.5000,0.0000,-0.89400,0.02700,0.34800,-5.89000,-4.22000,-5.90000,0.18300,0.01800,0.86500,-34.60000,-4.85000,-4.42000,10.2,3.9,1.0,1.0,1.076121,1.262416,1.619512,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.634710,0.490324,1.442751,-0.100836,0.013868,1.408864,-2.774482,-1.432591,-1.366548,-0.202527,3.239029,0.563332,1.005427,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129062,125765,2361,1902,125761,123760,3301,1858,0,147,0.41985,-0.05114,0
1786019126.6864,D_right_front_left,D,right,0,front_left,,6,168.1000,344.1000,158.7000,169.5000,68.7000,0.0000,343.2000,281.5000,22.4000,0.0000,99.1000,0.0000,116.5000,0.0000,-0.89400,0.02700,0.34800,-5.89000,-4.22000,-5.90000,0.18300,0.01800,0.86500,-34.60000,-4.85000,-4.42000,12.0,4.2,1.0,1.0,1.076121,1.262416,1.619512,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.633204,0.490525,1.443363,-0.100836,0.013868,1.408864,-2.774109,-1.432228,-1.366811,-0.202899,3.238656,0.562959,1.005416,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129062,9314,2361,1861,125761,7347,3301,1818,0,149,0.41985,-0.05114,0
1786019126.7163,D_right_front_left,D,right,0,front_left,,7,168.1000,344.1000,158.6000,69.5000,66.7000,0.0000,343.2000,281.2000,22.4000,0.0000,99.1000,0.0000,116.2000,0.0000,-0.87200,0.04200,0.31300,4.63000,-10.16000,-7.98000,0.26300,-0.03700,0.87000,-19.00000,-11.04000,-6.44000,13.2,4.4,1.0,1.0,1.081982,1.264980,1.620111,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.633204,0.490525,1.443363,-0.100836,0.013868,1.408864,-2.773404,-1.431541,-1.367307,-0.203604,3.237951,0.562254,1.005396,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,1,1,0,0.0514,0.0000,,,,,129063,125765,2361,1902,125762,123760,3301,1858,0,147,0.41426,-0.05114,0
1786019126.7416,D_right_front_left,D,right,0,front_left,,8,168.1000,344.1000,158.6000,69.5000,66.7000,0.0000,343.2000,281.3000,22.0000,0.0000,99.1000,0.0000,116.3000,0.0000,-0.87200,0.04200,0.31300,4.63000,-10.16000,-7.98000,0.27700,-0.08000,0.90500,-2.87000,-10.25000,-3.08000,13.2,4.4,1.0,1.0,1.081982,1.264980,1.620111,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.633204,0.490525,1.443363,-0.100836,0.013868,1.408864,-2.772318,-1.430484,-1.368072,-0.204690,3.236865,0.561169,1.005365,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,1,1,0,0.0514,0.0000,,,,,9417,125765,2351,1902,6486,123760,2931,1858,0,147,0.41353,-0.05114,0
1786019126.7636,D_right_front_left,D,right,0,front_left,,9,168.1000,344.1000,158.6000,69.5000,66.7000,0.0000,343.2000,281.3000,22.0000,0.0000,99.1000,0.0000,116.3000,0.0000,-0.87200,0.04200,0.31300,4.63000,-10.16000,-7.98000,0.27700,-0.08000,0.90500,-2.87000,-10.25000,-3.08000,13.2,4.4,1.0,1.0,1.081982,1.264980,1.620111,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646950,0.486149,1.454746,-0.100836,0.013868,1.408864,-2.771599,-1.429784,-1.368578,-0.205409,3.236145,0.560450,1.005344,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,1,1,0,0.0514,0.0000,,,,,129063,9314,2361,1861,125762,7347,3301,1818,0,149,0.41426,-0.05114,0
1786019126.7682,D_right_front_left,D,right,0,front_left,,10,168.1000,344.1000,158.6000,69.5000,66.7000,0.0000,343.2000,281.3000,22.0000,0.0000,99.1000,0.0000,116.3000,0.0000,-0.87200,0.04200,0.31300,4.63000,-10.16000,-7.98000,0.27700,-0.08000,0.90500,-2.87000,-10.25000,-3.08000,13.2,4.4,1.0,1.0,1.081982,1.264980,1.620111,-0.311882,-0.546856,2.284854,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.646950,0.486149,1.454746,-0.100836,0.013868,1.408864,-2.771244,-1.429438,-1.368828,-0.205764,3.235790,0.560094,1.005334,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,0,1,1,0,0.0514,0.0000,,,,,129063,125765,2361,1902,125762,123760,3301,1858,0,147,0.41426,-0.05114,0
