t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019229.6438,D_right_up_back,D,right,0,up_back,,0,163.9000,343.9000,157.2000,173.0000,144.0000,183.2000,349.5000,360.0000,77.7000,0.0000,96.6000,0.0000,255.9000,0.0000,-0.91400,0.07400,0.29700,-3.34000,-1.95000,1.24000,0.11900,0.06500,0.85400,-2.46000,-13.32000,-7.27000,10.0,1.8,1.0,1.0,0.584807,0.547210,1.437547,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9635,9314,2650,2220,6670,7347,2965,1818,0,149,0.32676,-0.05114,0
1786019229.6722,D_right_up_back,D,right,0,up_back,,1,163.9000,343.9000,157.2000,173.0000,138.0000,183.2000,349.5000,360.0000,77.5000,0.0000,96.5000,0.0000,255.1000,0.0000,-0.91800,0.12100,0.31400,-2.02000,9.15000,1.15000,0.15700,0.06400,0.96300,2.51000,-1.15000,-1.79000,10.0,1.8,1.0,1.0,1.109494,1.267502,1.622826,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129281,125765,2663,2267,125944,123760,3337,1858,0,147,0.32676,-0.05114,0
1786019229.6942,D_right_up_back,D,right,0,up_back,,2,163.9000,343.9000,157.2000,173.0000,138.0000,183.2000,349.5000,360.0000,77.5000,0.0000,96.5000,0.0000,255.1000,0.0000,-0.91800,0.12100,0.31400,-2.02000,9.15000,1.15000,0.15700,0.06400,0.96300,2.51000,-1.15000,-1.79000,10.0,1.8,1.0,1.0,1.109494,1.267502,1.622826,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129281,125765,2663,2267,125944,123760,3337,1858,0,147,0.32676,-0.05114,0
1786019229.7301,D_right_up_back,D,right,0,up_back,,3,163.9000,343.9000,157.2000,173.0000,138.0000,183.2000,349.5000,360.0000,77.5000,0.0000,96.5000,0.0000,255.1000,0.0000,-0.91800,0.12100,0.31400,-2.02000,9.15000,1.15000,0.15700,0.06400,0.96300,2.51000,-1.15000,-1.79000,10.3,2.3,1.0,1.0,1.109494,1.267502,1.622826,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129281,125765,2664,2267,125944,123760,3337,1858,0,147,0.32676,-0.05114,0
1786019229.7310,D_right_up_back,D,right,0,up_back,,4,163.9000,343.9000,157.2000,173.0000,138.0000,183.2000,349.5000,360.0000,77.5000,0.0000,96.5000,0.0000,255.1000,0.0000,-0.91800,0.12100,0.31400,-2.02000,9.15000,1.15000,0.15700,0.06400,0.96300,2.51000,-1.15000,-1.79000,10.3,2.3,1.0,1.0,1.109494,1.267502,1.622826,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129281,125765,2664,2267,125944,123760,3337,1858,0,147,0.32676,-0.05114,0
1786019229.7454,D_right_up_back,D,right,0,up_back,,5,163.9000,343.9000,157.2000,173.0000,138.0000,183.2000,349.5000,360.0000,77.5000,0.0000,96.5000,0.0000,255.1000,0.0000,-0.91800,0.12100,0.31400,-2.02000,9.15000,1.15000,0.15700,0.06400,0.96300,2.51000,-1.15000,-1.79000,10.3,2.3,1.0,1.0,1.109494,1.267502,1.622826,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9635,9314,2650,2220,6670,7347,2965,1818,0,149,0.32676,-0.05114,0
1786019229.7732,D_right_up_back,D,right,0,up_back,,6,163.9000,343.9000,157.1000,173.0000,136.3000,180.4000,349.5000,360.0000,78.5000,0.0000,96.5000,0.0000,255.5000,0.0000,-0.89900,0.09400,0.29400,-0.07000,0.79000,4.47000,0.11900,0.06200,0.88700,-6.69000,-2.56000,15.58000,9.3,0.9,1.0,1.0,0.592854,0.549517,1.427125,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9635,9314,2650,2220,6670,7347,2965,1818,0,149,0.32676,-0.05114,0
1786019229.7965,D_right_up_back,D,right,0,up_back,,7,163.9000,343.9000,157.1000,173.0000,136.3000,180.4000,349.5000,360.0000,78.5000,0.0000,96.5000,0.0000,255.5000,0.0000,-0.89900,0.09400,0.29400,-0.07000,0.79000,4.47000,0.11900,0.06200,0.88700,-6.69000,-2.56000,15.58000,9.3,0.9,1.0,1.0,0.592854,0.549517,1.427125,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9635,9314,2650,2220,6670,7347,2965,1818,0,149,0.32676,-0.05114,0
1786019229.8118,D_right_up_back,D,right,0,up_back,,8,163.9000,343.9000,157.1000,173.0000,136.3000,180.4000,349.5000,360.0000,78.5000,0.0000,96.5000,0.0000,255.5000,0.0000,-0.89900,0.09400,0.29400,-0.07000,0.79000,4.47000,0.11900,0.06200,0.88700,-6.69000,-2.56000,15.58000,9.3,0.9,1.0,1.0,0.592854,0.549517,1.427125,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9635,9314,2650,2220,6670,7347,2965,1818,0,149,0.32676,-0.05114,0
1786019229.8325,D_right_up_back,D,right,0,up_back,,9,163.9000,343.9000,157.1000,173.0000,136.3000,180.4000,349.5000,360.0000,78.5000,0.0000,96.5000,0.0000,255.5000,0.0000,-0.89900,0.09400,0.29400,-0.07000,0.79000,4.47000,0.11900,0.06200,0.88700,-6.69000,-2.56000,15.58000,9.5,1.9,1.0,1.0,0.592854,0.549517,1.427125,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.630452,0.079122,1.610344,-0.100836,0.013868,1.408864,2.354834,-1.528738,-0.911662,2.015060,-2.770886,1.744042,0.767404,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9635,9314,2651,2220,6670,7347,2965,1818,0,149,0.32676,-0.05114,0
