t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019205.2050,D_right_up_front,D,right,0,up_front,,0,167.5000,344.1000,158.5000,169.8000,90.7000,0.0000,344.5000,253.9000,49.3000,0.0000,100.3000,0.0000,140.3000,0.0000,-0.85800,0.05300,0.34900,6.53000,10.10000,3.37000,0.31100,0.05400,0.91800,-6.03000,-0.11000,1.63000,10.2,1.8,1.0,1.0,0.594529,0.556247,1.400557,-1.296768,-0.846312,2.719923,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9582,125765,2569,2170,6617,123760,2965,1858,0,147,0.29304,-0.05114,0
1786019205.2290,D_right_up_front,D,right,0,up_front,,1,167.7000,344.1000,158.5000,169.7000,90.7000,0.0000,344.5000,253.9000,49.3000,0.0000,100.3000,0.0000,140.3000,0.0000,-0.87000,0.05300,0.34700,5.81000,12.33000,3.75000,0.29200,0.05300,0.89400,-5.47000,0.21000,0.48000,10.6,1.3,1.0,1.0,0.622085,0.082332,1.609772,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129234,9314,2578,2127,125897,7347,3337,1818,0,149,0.29304,-0.05114,0
1786019205.2465,D_right_up_front,D,right,0,up_front,,2,167.7000,344.1000,158.5000,169.7000,90.7000,0.0000,344.5000,253.9000,49.3000,0.0000,100.3000,0.0000,140.3000,0.0000,-0.87000,0.05300,0.34700,5.81000,12.33000,3.75000,0.29200,0.05300,0.89400,-5.47000,0.21000,0.48000,9.9,1.6,1.0,1.0,0.622085,0.082332,1.609772,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9582,125765,2569,2170,6617,123760,2965,1858,0,147,0.29304,-0.05114,0
1786019205.2681,D_right_up_front,D,right,0,up_front,,3,167.7000,344.1000,158.5000,169.7000,90.7000,0.0000,344.5000,253.9000,49.3000,0.0000,100.3000,0.0000,140.3000,0.0000,-0.87000,0.05300,0.34700,5.81000,12.33000,3.75000,0.29200,0.05300,0.89400,-5.47000,0.21000,0.48000,9.9,1.6,1.0,1.0,0.622085,0.082332,1.609772,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9582,125765,2569,2170,6617,123760,2965,1858,0,147,0.29304,-0.05114,0
1786019205.3116,D_right_up_front,D,right,0,up_front,,4,167.7000,344.1000,158.5000,169.7000,90.7000,0.0000,344.5000,253.9000,49.3000,0.0000,100.3000,0.0000,140.3000,0.0000,-0.87000,0.05300,0.34700,5.81000,12.33000,3.75000,0.29200,0.05300,0.89400,-5.47000,0.21000,0.48000,10.6,1.7,1.0,1.0,0.622085,0.082332,1.609772,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9582,125765,2569,2170,6617,123760,2965,1858,0,147,0.29304,-0.05114,0
1786019205.3126,D_right_up_front,D,right,0,up_front,,5,167.7000,344.1000,158.5000,169.7000,90.7000,0.0000,344.5000,253.9000,49.3000,0.0000,100.3000,0.0000,140.3000,0.0000,-0.87000,0.05300,0.34700,5.81000,12.33000,3.75000,0.29200,0.05300,0.89400,-5.47000,0.21000,0.48000,10.6,1.7,1.0,1.0,0.622085,0.082332,1.609772,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9582,125765,2569,2170,6617,123760,2965,1858,0,147,0.29304,-0.05114,0
1786019205.3416,D_right_up_front,D,right,0,up_front,,6,167.5000,344.1000,158.5000,169.1000,89.2000,0.0000,344.5000,253.8000,49.3000,0.0000,100.0000,0.0000,140.3000,0.0000,-0.88200,0.05900,0.31100,3.56000,-7.87000,-3.08000,0.28800,0.06300,0.88900,11.40000,3.08000,-3.53000,10.7,1.7,1.0,1.0,1.097547,1.270572,1.621950,-0.392941,-1.147301,2.001369,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9582,125765,2569,2170,6617,123760,2965,1858,0,147,0.29304,-0.05114,0
1786019205.3458,D_right_up_front,D,right,0,up_front,,7,167.5000,344.1000,158.5000,169.1000,89.2000,0.0000,344.5000,253.8000,49.2000,0.0000,100.2000,0.0000,140.3000,0.0000,-0.88200,0.05900,0.31100,3.56000,-7.87000,-3.08000,0.29500,0.13700,0.91300,8.34000,2.52000,-1.19000,10.8,2.5,1.0,1.0,1.097547,1.270572,1.621950,-0.504924,-0.778550,2.372713,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129234,9314,2578,2127,125897,7347,3337,1818,0,149,0.29304,-0.05114,0
1786019205.3870,D_right_up_front,D,right,0,up_front,,8,167.5000,344.1000,158.5000,169.1000,89.2000,0.0000,344.5000,253.8000,49.2000,0.0000,100.2000,0.0000,140.3000,0.0000,-0.88200,0.05900,0.31100,3.56000,-7.87000,-3.08000,0.29500,0.13700,0.91300,8.34000,2.52000,-1.19000,10.8,2.5,1.0,1.0,1.097547,1.270572,1.621950,-0.504924,-0.778550,2.372713,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129234,9314,2578,2127,125897,7347,3337,1818,0,149,0.29304,-0.05114,0
1786019205.3875,D_right_up_front,D,right,0,up_front,,9,167.5000,344.1000,158.5000,169.1000,89.2000,0.0000,344.5000,253.8000,49.2000,0.0000,100.2000,0.0000,140.3000,0.0000,-0.88200,0.05900,0.31100,3.56000,-7.87000,-3.08000,0.29500,0.13700,0.91300,8.34000,2.52000,-1.19000,10.8,2.5,1.0,1.0,1.097547,1.270572,1.621950,-0.504924,-0.778550,2.372713,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.622861,0.082518,1.609884,-0.100836,0.013868,1.408864,2.409722,-1.608927,-0.837405,2.020567,-2.846011,1.776068,0.661447,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129234,9314,2578,2127,125897,7347,3337,1818,0,149,0.29304,-0.05114,0
