t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019297.2927,E_left_left_r1,E,left,1,left,,0,166.3000,332.4000,232.1000,253.0000,327.5000,0.0000,349.2000,343.8000,24.1000,0.0000,0.0000,0.0000,122.6000,0.0000,0.37000,0.04200,0.82300,28.90000,-9.42000,-1.17000,-0.89600,-0.00700,0.28700,1.53000,-1.02000,-1.65000,11.3,1.2,1.0,1.0,1.148767,1.397530,1.802087,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,14.4188,,,,,129399,125765,2868,2502,126054,123760,3345,1858,0,147,0.54127,-0.05114,0
1786019297.3139,E_left_left_r1,E,left,1,left,,1,166.3000,332.4000,232.1000,253.0000,327.5000,0.0000,349.2000,343.8000,24.1000,0.0000,0.0000,0.0000,122.6000,0.0000,0.37000,0.04200,0.82300,28.90000,-9.42000,-1.17000,-0.89600,-0.00700,0.28700,1.53000,-1.02000,-1.65000,11.3,1.2,1.0,1.0,1.148767,1.397530,1.802087,-0.278852,-0.459506,2.294968,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,14.4188,,,,,9760,9314,2852,2450,6784,7347,2976,1818,0,149,0.54127,-0.05114,0
1786019297.3538,E_left_left_r1,E,left,1,left,,2,166.1000,332.0000,232.2000,254.7000,325.6000,0.0000,349.3000,343.9000,24.1000,0.0000,0.0000,0.0000,122.6000,0.0000,0.22500,-0.04800,0.92800,-11.47000,13.66000,12.41000,-0.92200,-0.01500,0.28000,0.13000,3.14000,-3.84000,11.0,1.6,1.0,1.0,0.643661,0.678944,1.588055,-1.499398,-1.043414,2.772100,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,14.1879,,,,,9760,125765,2852,2502,6784,123760,2976,1858,0,147,0.54127,-0.05114,0
1786019297.3606,E_left_left_r1,E,left,1,left,,3,166.1000,332.0000,232.2000,254.7000,325.6000,0.0000,349.3000,343.9000,24.1000,0.0000,0.0000,0.0000,122.6000,0.0000,0.22500,-0.04800,0.92800,-11.47000,13.66000,12.41000,-0.92200,-0.01500,0.28000,0.13000,3.14000,-3.84000,11.7,1.8,1.0,1.0,0.643661,0.678944,1.588055,-1.499398,-1.043414,2.772100,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,14.1879,,,,,129399,9314,2868,2450,126054,7347,3345,1818,0,149,0.54127,-0.05114,0
1786019297.3765,E_left_left_r1,E,left,1,left,,4,166.1000,332.0000,232.2000,254.7000,325.6000,0.0000,349.3000,343.9000,24.1000,0.0000,0.0000,0.0000,122.6000,0.0000,0.22500,-0.04800,0.92800,-11.47000,13.66000,12.41000,-0.92200,-0.01500,0.28000,0.13000,3.14000,-3.84000,11.7,1.8,1.0,1.0,0.643661,0.678944,1.588055,-1.499398,-1.043414,2.772100,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,14.1879,,,,,129399,9314,2868,2450,126054,7347,3345,1818,0,149,0.54127,-0.05114,0
1786019297.3987,E_left_left_r1,E,left,1,left,,5,166.1000,332.0000,232.2000,254.7000,325.6000,0.0000,349.3000,343.9000,24.1000,0.0000,0.0000,0.0000,122.6000,0.0000,0.22500,-0.04800,0.92800,-11.47000,13.66000,12.41000,-0.92200,-0.01500,0.28000,0.13000,3.14000,-3.84000,11.7,1.8,1.0,1.0,0.643661,0.678944,1.588055,-1.499398,-1.043414,2.772100,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,14.1879,,,,,9760,9314,2852,2450,6784,7347,2976,1818,0,149,0.54127,-0.05114,0
1786019297.4157,E_left_left_r1,E,left,1,left,,6,165.9000,331.5000,231.9000,255.1000,323.9000,0.0000,349.4000,343.8000,24.1000,0.0000,0.0000,0.0000,122.5000,0.0000,0.02700,0.04900,0.94900,18.48000,-3.78000,-14.27000,-0.91500,0.00500,0.29800,-0.36000,-1.60000,-0.60000,11.7,1.8,1.0,1.0,0.939024,0.128586,1.792698,-0.380144,-1.048934,1.935067,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,14.3143,,,,,9760,9314,2853,2450,6784,7347,2976,1818,0,149,0.54127,-0.05114,0
1786019297.4345,E_left_left_r1,E,left,1,left,,7,165.9000,331.5000,231.9000,255.1000,323.9000,0.0000,349.4000,343.8000,24.1000,0.0000,0.0000,0.0000,122.5000,0.0000,0.02700,0.04900,0.94900,18.48000,-3.78000,-14.27000,-0.91500,0.00500,0.29800,-0.36000,-1.60000,-0.60000,11.7,1.8,1.0,1.0,0.939024,0.128586,1.792698,-0.380144,-1.048934,1.935067,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.794485,-0.825282,-0.907862,0.251756,-2.394968,1.016987,-0.001138,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,14.3143,,,,,9760,9314,2853,2450,6784,7347,2976,1818,0,149,0.54127,-0.05114,0
1786019297.4544,E_left_left_r1,E,left,1,left,,8,165.7000,331.6000,231.9000,255.4000,323.6000,0.0000,349.5000,343.7000,24.0000,0.0000,0.0000,0.0000,122.6000,0.0000,0.28400,-0.01200,0.90400,-0.98000,1.98000,-2.14000,-0.94500,-0.00800,0.29100,-1.34000,-4.18000,1.17000,11.6,1.4,1.0,1.0,0.943532,0.125067,1.798235,-0.380144,-1.048934,1.935067,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.933113,0.152438,1.816955,-0.100836,0.013868,1.408864,2.791948,-0.825939,-0.907640,0.257756,-2.394808,1.020027,0.001984,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,14.3418,,,,,9762,9314,2853,2451,6786,7347,2976,1818,0,149,0.55798,-0.05114,0
1786019297.4776,E_left_left_r1,E,left,1,left,,9,165.7000,331.6000,231.9000,255.4000,323.6000,0.0000,349.5000,343.7000,24.0000,0.0000,0.0000,0.0000,122.6000,0.0000,0.28400,-0.01200,0.90400,-0.98000,1.98000,-2.14000,-0.94500,-0.00800,0.29100,-1.34000,-4.18000,1.17000,11.5,1.1,1.0,1.0,0.943532,0.125067,1.798235,-0.380144,-1.048934,1.935067,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.934080,0.150832,1.815680,-0.100836,0.013868,1.408864,2.786857,-0.826902,-0.907154,0.269322,-2.394239,1.026141,0.007843,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,14.3418,,,,,9762,9314,2853,2451,6786,7347,2976,1818,0,149,0.55798,-0.05114,0
