t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019492.5995,E_left_right_r2,E,left,2,right,,0,206.0000,344.1000,196.1000,280.3000,0.0000,0.0000,357.8000,351.7000,23.2000,0.0000,0.0000,0.0000,2.0000,0.0000,0.30700,-0.05300,1.00600,-2.37000,15.50000,8.21000,-0.94000,0.03900,0.24000,-1.32000,1.68000,-1.25000,15.6,4.0,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,8.9914,,,,,9803,9314,3522,3106,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019492.6372,E_left_right_r2,E,left,2,right,,1,206.1000,344.1000,267.6000,280.5000,0.0000,0.0000,359.5000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.28100,-0.14200,0.90000,-0.15000,8.11000,3.53000,-0.92300,0.04800,0.22800,-4.46000,0.53000,-0.05000,15.8,3.8,1.0,1.0,1.032066,-0.060162,2.067321,-0.493181,-1.363058,2.354621,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,19.1970,,,,,9803,9314,3522,3106,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019492.6437,E_left_right_r2,E,left,2,right,,2,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.94400,0.04000,0.22500,-3.89000,1.76000,-1.15000,16.8,3.6,1.0,1.0,1.275034,1.578523,2.061819,-0.492948,-1.363023,2.354707,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,19.2085,,,,,9803,125765,3522,3155,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019492.6608,E_left_right_r2,E,left,2,right,,3,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.94400,0.04000,0.22500,-3.89000,1.76000,-1.15000,16.8,3.6,1.0,1.0,1.275034,1.578523,2.061819,-0.492948,-1.363023,2.354707,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,19.2085,,,,,9803,125765,3522,3155,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019492.6863,E_left_right_r2,E,left,2,right,,4,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.93900,0.05000,0.23600,-2.12000,1.57000,-2.70000,16.8,3.6,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,9.0721,,,,,9803,9314,3522,3106,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019492.7033,E_left_right_r2,E,left,2,right,,5,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.93900,0.05000,0.23600,-2.12000,1.57000,-2.70000,16.8,3.6,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,9.0721,,,,,9803,9314,3522,3106,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019492.7399,E_left_right_r2,E,left,2,right,,6,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.93900,0.05000,0.23600,-2.12000,1.57000,-2.70000,13.5,4.9,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,9.0721,,,,,129436,125765,3553,3156,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019492.7437,E_left_right_r2,E,left,2,right,,7,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.93900,0.05000,0.23600,-2.12000,1.57000,-2.70000,13.5,4.9,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,9.0721,,,,,129436,125765,3553,3156,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019492.7688,E_left_right_r2,E,left,2,right,,8,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.93900,0.05000,0.23600,-2.12000,1.57000,-2.70000,13.5,4.9,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,9.0721,,,,,9803,125765,3523,3156,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019492.7845,E_left_right_r2,E,left,2,right,,9,206.2000,344.1000,309.9000,280.6000,0.0000,0.0000,359.9000,351.8000,23.2000,0.0000,0.0000,0.0000,123.0000,0.0000,0.29700,-0.17500,0.90100,3.72000,0.48000,2.55000,-0.93900,0.05000,0.23600,-2.12000,1.57000,-2.70000,13.5,4.9,1.0,1.0,1.275034,1.578523,2.061819,-0.440117,-0.556123,2.413331,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,0,0,1,0.0000,9.0721,,,,,129436,125765,3554,3156,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
