t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019381.2920,E_right_back_r1,E,right,1,back,,0,147.3000,344.7000,180.8000,172.2000,0.0000,0.0000,327.8000,360.0000,47.0000,0.0000,99.2000,0.0000,241.2000,0.0000,-0.84300,-0.01200,0.36800,-1.22000,4.17000,6.92000,0.07600,0.03000,0.88100,9.58000,10.23000,-4.95000,9.1,1.9,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3160,2732,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019381.3183,E_right_back_r1,E,right,1,back,,1,147.3000,344.7000,180.8000,172.2000,0.0000,0.0000,327.8000,360.0000,47.0000,0.0000,99.2000,0.0000,241.2000,0.0000,-0.84300,-0.01200,0.36800,-1.22000,4.17000,6.92000,0.07600,0.03000,0.88100,9.58000,10.23000,-4.95000,9.1,1.9,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3135,2733,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019381.3381,E_right_back_r1,E,right,1,back,,2,147.3000,344.7000,180.8000,172.2000,0.0000,0.0000,327.8000,360.0000,47.0000,0.0000,99.2000,0.0000,241.2000,0.0000,-0.84300,-0.01200,0.36800,-1.22000,4.17000,6.92000,0.07600,0.03000,0.88100,9.58000,10.23000,-4.95000,9.1,1.9,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3160,2784,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019381.3556,E_right_back_r1,E,right,1,back,,3,147.3000,344.8000,181.5000,172.2000,0.0000,0.0000,327.8000,360.0000,46.8000,0.0000,99.2000,0.0000,240.9000,0.0000,-0.89100,0.02700,0.35200,3.76000,-3.28000,1.27000,0.00200,0.04800,0.93800,-5.06000,6.82000,-3.62000,9.4,1.7,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3160,2785,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019381.3739,E_right_back_r1,E,right,1,back,,4,147.3000,344.8000,181.8000,172.1000,0.0000,0.0000,327.9000,360.0000,46.8000,0.0000,99.3000,0.0000,240.9000,0.0000,-0.87500,0.04100,0.32000,-2.18000,1.11000,2.76000,0.06400,0.02600,0.92700,-10.75000,-0.91000,-6.61000,9.4,2.1,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3160,2785,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019381.3934,E_right_back_r1,E,right,1,back,,5,147.3000,344.8000,181.8000,172.1000,0.0000,0.0000,327.9000,360.0000,46.8000,0.0000,99.3000,0.0000,240.9000,0.0000,-0.87500,0.04100,0.32000,-2.18000,1.11000,2.76000,0.06400,0.02600,0.92700,-10.75000,-0.91000,-6.61000,9.4,2.1,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3136,2733,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019381.4160,E_right_back_r1,E,right,1,back,,6,147.3000,344.8000,181.8000,172.1000,0.0000,0.0000,327.9000,360.0000,46.8000,0.0000,99.3000,0.0000,240.9000,0.0000,-0.87500,0.04100,0.32000,-2.18000,1.11000,2.76000,0.06400,0.02600,0.92700,-10.75000,-0.91000,-6.61000,9.4,2.1,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3136,2733,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019381.4344,E_right_back_r1,E,right,1,back,,7,147.3000,344.8000,181.8000,172.1000,0.0000,0.0000,327.9000,360.0000,46.8000,0.0000,99.3000,0.0000,240.9000,0.0000,-0.87500,0.04100,0.32000,-2.18000,1.11000,2.76000,0.06400,0.02600,0.92700,-10.75000,-0.91000,-6.61000,9.4,2.1,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3136,2733,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019381.4549,E_right_back_r1,E,right,1,back,,8,147.3000,344.8000,181.8000,172.1000,0.0000,0.0000,327.9000,360.0000,46.8000,0.0000,99.3000,0.0000,240.9000,0.0000,-0.87500,0.04100,0.32000,-2.18000,1.11000,2.76000,0.06400,0.02600,0.92700,-10.75000,-0.91000,-6.61000,9.4,2.1,1.0,0.0,1.145658,1.435143,1.894671,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3136,2733,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019381.4744,E_right_back_r1,E,right,1,back,,9,147.3000,344.9000,179.7000,172.1000,0.0000,0.0000,328.0000,360.0000,46.0000,0.0000,99.0000,0.0000,21.3000,0.0000,-0.89500,0.01900,0.36300,3.05000,1.60000,1.53000,0.01200,-0.02900,0.91700,-19.55000,3.92000,27.89000,9.1,2.6,1.0,0.0,0.766548,0.701709,1.630831,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3136,2734,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
