t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019369.8799,E_right_front_r1,E,right,1,front,,0,147.2000,344.6000,182.3000,173.1000,0.0000,0.0000,330.2000,286.2000,23.2000,0.0000,106.9000,0.0000,141.2000,0.0000,-0.87000,0.02500,0.38300,-8.73000,17.39000,4.85000,0.39100,-0.19700,0.90900,3.75000,14.63000,-6.84000,9.4,1.9,1.0,0.0,0.953632,0.135156,1.918519,-0.380997,-1.274897,2.193385,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3121,2701,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019369.9128,E_right_front_r1,E,right,1,front,,1,147.2000,344.6000,182.3000,173.1000,0.0000,0.0000,330.2000,286.2000,23.2000,0.0000,106.9000,0.0000,141.2000,0.0000,-0.87000,0.02500,0.38300,-8.73000,17.39000,4.85000,0.39100,-0.19700,0.90900,3.75000,14.63000,-6.84000,9.4,1.9,1.0,0.0,0.953632,0.135156,1.918519,-0.380997,-1.274897,2.193385,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3101,2701,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019369.9367,E_right_front_r1,E,right,1,front,,2,147.2000,344.6000,182.3000,173.1000,0.0000,0.0000,330.2000,286.2000,23.2000,0.0000,106.9000,0.0000,141.2000,0.0000,-0.87000,0.02500,0.38300,-8.73000,17.39000,4.85000,0.39100,-0.19700,0.90900,3.75000,14.63000,-6.84000,9.4,1.9,1.0,0.0,0.953632,0.135156,1.918519,-0.380997,-1.274897,2.193385,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3121,2757,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019369.9432,E_right_front_r1,E,right,1,front,,3,147.2000,344.6000,182.3000,173.1000,0.0000,0.0000,330.2000,286.2000,23.2000,0.0000,106.9000,0.0000,141.2000,0.0000,-0.87000,0.02500,0.38300,-8.73000,17.39000,4.85000,0.39100,-0.19700,0.90900,3.75000,14.63000,-6.84000,9.4,1.9,1.0,0.0,0.953632,0.135156,1.918519,-0.380997,-1.274897,2.193385,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3101,2701,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019369.9687,E_right_front_r1,E,right,1,front,,4,147.2000,344.6000,182.3000,173.1000,0.0000,0.0000,330.2000,286.2000,23.2000,0.0000,106.9000,0.0000,141.2000,0.0000,-0.87000,0.02500,0.38300,-8.73000,17.39000,4.85000,0.39100,-0.19700,0.90900,3.75000,14.63000,-6.84000,9.4,1.9,1.0,0.0,0.953632,0.135156,1.918519,-0.380997,-1.274897,2.193385,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3101,2757,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019369.9844,E_right_front_r1,E,right,1,front,,5,147.2000,344.6000,182.3000,173.1000,0.0000,0.0000,330.2000,286.2000,23.2000,0.0000,106.9000,0.0000,141.2000,0.0000,-0.87000,0.02500,0.38300,-8.73000,17.39000,4.85000,0.39100,-0.19700,0.90900,3.75000,14.63000,-6.84000,9.4,1.9,1.0,0.0,0.953632,0.135156,1.918519,-0.380997,-1.274897,2.193385,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3101,2757,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019370.0011,E_right_front_r1,E,right,1,front,,6,147.2000,344.7000,181.7000,173.5000,0.0000,0.0000,329.0000,285.9000,23.2000,0.0000,103.5000,0.0000,133.6000,0.0000,-0.87700,0.02200,0.33000,7.74000,-9.11000,0.39000,0.39100,-0.20500,0.88400,15.91000,12.44000,-5.07000,9.2,1.4,1.0,0.0,0.766548,0.701709,1.630831,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3101,2757,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019370.0265,E_right_front_r1,E,right,1,front,,7,147.2000,344.7000,181.7000,173.5000,0.0000,0.0000,329.0000,285.9000,23.2000,0.0000,103.5000,0.0000,133.6000,0.0000,-0.87700,0.02200,0.33000,7.74000,-9.11000,0.39000,0.39100,-0.20500,0.88400,15.91000,12.44000,-5.07000,9.2,1.4,1.0,0.0,0.766548,0.701709,1.630831,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3101,2757,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019370.0450,E_right_front_r1,E,right,1,front,,8,147.2000,344.7000,181.7000,173.5000,0.0000,0.0000,329.0000,285.9000,23.2000,0.0000,103.5000,0.0000,133.6000,0.0000,-0.87700,0.02200,0.33000,7.74000,-9.11000,0.39000,0.39100,-0.20500,0.88400,15.91000,12.44000,-5.07000,9.2,1.4,1.0,0.0,0.766548,0.701709,1.630831,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3121,2701,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019370.0675,E_right_front_r1,E,right,1,front,,9,147.2000,344.7000,182.0000,173.6000,0.0000,0.0000,328.1000,284.6000,23.2000,0.0000,102.8000,0.0000,130.0000,0.0000,-0.86900,-0.00200,0.38500,1.37000,16.21000,3.92000,0.30400,-0.09700,0.89500,6.31000,12.29000,-3.50000,9.0,0.4,1.0,0.0,1.145658,1.435143,1.894671,-0.350937,-0.682811,2.468874,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3101,2701,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
