t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019389.5583,E_right_left_r1,E,right,1,left,,0,147.3000,344.8000,181.7000,171.1000,0.0000,0.0000,328.2000,317.2000,21.4000,0.0000,99.8000,0.0000,206.0000,0.0000,-0.89300,0.00600,0.35500,0.07000,-0.63000,2.41000,0.45400,0.12000,0.78500,-1.85000,9.24000,-9.56000,10.2,3.0,1.0,0.0,1.108654,1.455870,1.880058,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3163,2812,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019389.5820,E_right_left_r1,E,right,1,left,,1,147.3000,344.8000,181.7000,171.1000,0.0000,0.0000,328.2000,317.2000,21.4000,0.0000,99.8000,0.0000,206.0000,0.0000,-0.89300,0.00600,0.35500,0.07000,-0.63000,2.41000,0.45400,0.12000,0.78500,-1.85000,9.24000,-9.56000,10.2,3.0,1.0,0.0,1.108654,1.455870,1.880058,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3189,2762,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019389.6211,E_right_left_r1,E,right,1,left,,2,147.3000,344.8000,181.7000,171.2000,0.0000,0.0000,328.3000,317.2000,21.4000,0.0000,99.8000,0.0000,206.0000,0.0000,-0.87000,0.01600,0.35400,-1.59000,8.83000,8.40000,0.45400,0.12000,0.78500,-1.85000,9.24000,-9.56000,10.2,3.0,1.0,0.0,1.108654,1.455870,1.880058,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3163,2812,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019389.6232,E_right_left_r1,E,right,1,left,,3,147.3000,344.8000,181.7000,171.2000,0.0000,0.0000,328.3000,317.2000,21.4000,0.0000,99.8000,0.0000,206.0000,0.0000,-0.87000,0.01600,0.35400,-1.59000,8.83000,8.40000,0.45400,0.12000,0.78500,-1.85000,9.24000,-9.56000,10.2,3.0,1.0,0.0,1.108654,1.455870,1.880058,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3163,2812,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019389.6414,E_right_left_r1,E,right,1,left,,4,147.3000,344.8000,181.7000,171.2000,0.0000,0.0000,328.3000,317.2000,21.4000,0.0000,99.8000,0.0000,206.0000,0.0000,-0.87000,0.01600,0.35400,-1.59000,8.83000,8.40000,0.45400,0.12000,0.78500,-1.85000,9.24000,-9.56000,10.2,3.0,1.0,0.0,1.108654,1.455870,1.880058,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3163,2812,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019389.6707,E_right_left_r1,E,right,1,left,,5,147.3000,344.8000,181.7000,171.2000,0.0000,0.0000,328.3000,316.7000,21.4000,0.0000,99.6000,0.0000,205.5000,0.0000,-0.87000,0.01600,0.35400,-1.59000,8.83000,8.40000,0.34800,0.19100,0.87100,0.83000,4.65000,-0.75000,9.2,3.8,1.0,0.0,0.934340,0.127102,1.920715,-0.380837,-1.335940,2.207253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3189,2763,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019389.6830,E_right_left_r1,E,right,1,left,,6,147.3000,3448.0000,181711.1000,171.0000,0.0000,0.0000,328.6000,316.7000,21.4000,0.0000,99.5000,0.0000,205.2000,0.0000,-0.89300,0.01600,0.33800,6.67000,-0.14000,-0.38000,0.35800,0.16100,0.86600,-2.07000,0.18000,-4.13000,9.2,2.9,1.0,0.0,1.111846,1.457939,1.894241,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3189,2763,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019389.7057,E_right_left_r1,E,right,1,left,,7,147.3000,3448.0000,181711.1000,171.0000,0.0000,0.0000,328.6000,316.7000,21.4000,0.0000,99.5000,0.0000,205.2000,0.0000,-0.89300,0.01600,0.33800,6.67000,-0.14000,-0.38000,0.35800,0.16100,0.86600,-2.07000,0.18000,-4.13000,9.2,2.9,1.0,0.0,1.111846,1.457939,1.894241,-0.222240,-0.440030,2.404744,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3189,2763,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019389.7290,E_right_left_r1,E,right,1,left,,8,147.3000,344.8000,181.7000,171.1000,0.0000,0.0000,328.6000,316.6000,21.4000,0.0000,99.5000,0.0000,205.1000,0.0000,-0.88500,0.01400,0.34800,-2.02000,5.30000,1.47000,0.36600,0.14300,0.86600,-0.32000,1.96000,-5.47000,9.0,3.2,1.0,0.0,0.940936,0.129456,1.920781,-0.380837,-1.335940,2.207253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3189,2763,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019389.7505,E_right_left_r1,E,right,1,left,,9,147.3000,344.8000,181.7000,171.1000,0.0000,0.0000,328.6000,316.6000,21.4000,0.0000,99.5000,0.0000,205.1000,0.0000,-0.88500,0.01400,0.34800,-2.02000,5.30000,1.47000,0.36600,0.14300,0.86600,-0.32000,1.96000,-5.47000,9.0,3.2,1.0,0.0,0.940936,0.129456,1.920781,-0.380837,-1.335940,2.207253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,9314,3189,2763,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
