t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019419.6485,E_right_up_r1,E,right,1,up,,0,147.3000,345.1000,1733.0000,174.3000,0.0000,0.0000,33.4000,82.0000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.88100,0.04300,0.33700,1.45000,-3.94000,1.21000,0.23200,0.06800,0.87900,0.08000,1.67000,-0.37000,14.2,5.7,1.0,0.0,0.962904,0.133946,1.920236,-0.380837,-1.335940,2.207253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,7.9046,,,,,129436,125765,3290,2910,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019419.7281,E_right_up_r1,E,right,1,up,,1,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,13.5,3.8,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,9803,9314,3265,2861,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019419.7319,E_right_up_r1,E,right,1,up,,2,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,13.5,3.8,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,9803,9314,3265,2861,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
1786019419.7380,E_right_up_r1,E,right,1,up,,3,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,13.5,3.8,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,129436,125765,3291,2910,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019419.7388,E_right_up_r1,E,right,1,up,,4,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,13.5,3.8,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,129436,125765,3291,2910,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019419.7487,E_right_up_r1,E,right,1,up,,5,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,13.5,3.8,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,129436,9314,3291,2861,126090,7347,3346,1818,0,149,0.47296,-0.05114,0
1786019419.7700,E_right_up_r1,E,right,1,up,,6,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,15.6,3.3,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,9803,125765,3265,2910,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019419.7893,E_right_up_r1,E,right,1,up,,7,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,14.3,3.4,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,9803,125765,3265,2910,6825,123760,2978,1858,0,147,0.47296,-0.05114,0
1786019419.8137,E_right_up_r1,E,right,1,up,,8,147.4000,345.1000,173.1000,174.4000,0.0000,0.0000,333.4000,283.4000,120.4000,0.0000,0.0000,0.0000,203.3000,0.0000,-0.90000,0.05300,0.28700,8.20000,-5.15000,-0.80000,0.19300,0.18800,0.91600,-6.10000,2.76000,-446.00000,14.3,3.4,1.0,0.0,0.731644,0.710789,1.543827,-1.398048,-1.202410,2.896808,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,4.7223,,,,,129436,125765,3291,2911,126090,123760,3346,1858,0,147,0.47296,-0.05114,0
1786019419.8350,E_right_up_r1,E,right,1,up,,9,147.3000,345.1000,173.1000,174.3000,0.0000,0.0000,333.4000,283.4000,120.2000,0.0000,0.0000,0.0000,203.6000,0.0000,-0.88800,0.03200,0.34700,4.82000,4.21000,0.45000,0.25400,0.13000,0.91800,-4.41000,5.56000,4.45000,14.8,5.7,1.0,0.0,0.961888,0.134146,1.919828,-0.380837,-1.335940,2.207253,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,8.0846,,,,,9803,9314,3266,2862,6825,7347,2978,1818,0,149,0.47296,-0.05114,0
