t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019654.2943,F_left_front_medium,F,left,0,front,medium,0,214.2000,344.1000,201.9000,273.0000,320.4000,0.0000,154.9000,350.5000,21.3000,0.0000,0.0000,0.0000,125.5000,0.0000,0.30500,-0.04700,0.91900,0.63000,13.40000,-3.62000,-0.92700,0.04200,0.26400,-4.92000,-0.87000,0.43000,12.3,1.5,1.0,1.0,0.827959,0.901610,1.692522,-1.446780,-1.203533,3.155813,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,4.5362,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019654.3151,F_left_front_medium,F,left,0,front,medium,1,214.2000,344.1000,201.6000,273.2000,320.4000,0.0000,154.9000,350.5000,21.3000,0.0000,0.0000,0.0000,125.5000,0.0000,0.30800,-0.03900,0.91600,1.76000,8.30000,-2.51000,-0.93500,0.02900,0.25900,-3.59000,-0.09000,-1.55000,12.7,1.3,1.0,1.0,1.012979,0.441191,2.230510,-0.516937,-1.564140,2.614758,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,5.9106,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019654.3369,F_left_front_medium,F,left,0,front,medium,2,214.2000,344.1000,201.5000,273.4000,320.4000,0.0000,154.8000,350.5000,21.3000,0.0000,4.4000,0.0000,125.5000,0.0000,0.30000,-0.07100,0.91500,1.47000,3.18000,-2.48000,-0.93200,0.03600,0.25500,-0.27000,1.22000,-3.75000,13.9,1.6,1.0,1.0,1.012979,0.441191,2.230510,-0.517250,-1.564167,2.615770,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019654.3639,F_left_front_medium,F,left,0,front,medium,3,21.2000,344.1000,201.4000,273.5000,320.4000,0.0000,154.8000,350.5000,21.4000,0.0000,7.6000,0.0000,255.0000,0.0000,0.30100,-0.11700,0.92000,12.72000,-4.12000,-5.34000,-0.93000,0.05500,0.27000,0.15000,1.89000,-3.91000,12.6,1.3,1.0,1.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019654.3752,F_left_front_medium,F,left,0,front,medium,4,21.2000,344.1000,201.4000,273.5000,320.4000,0.0000,154.8000,350.5000,21.4000,0.0000,7.6000,0.0000,255.0000,0.0000,0.30100,-0.11700,0.92000,12.72000,-4.12000,-5.34000,-0.93000,0.05500,0.27000,0.15000,1.89000,-3.91000,12.6,1.3,1.0,1.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019654.4043,F_left_front_medium,F,left,0,front,medium,5,214.4000,344.1000,201.8000,273.6000,320.9000,0.0000,155.8000,350.5000,21.3000,0.0000,0.0000,0.0000,125.6000,0.0000,0.33900,0.14900,0.75300,15.50000,-5.35000,5.02000,-0.92100,0.04500,0.26500,-1.58000,-2.27000,4.18000,11.8,1.2,1.0,1.0,1.012979,0.441191,2.230510,-0.517641,-1.564209,2.616414,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,0.0837,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019654.4153,F_left_front_medium,F,left,0,front,medium,6,214.4000,344.1000,201.8000,273.6000,320.9000,0.0000,155.8000,350.5000,21.3000,0.0000,0.0000,0.0000,125.6000,0.0000,0.33900,0.14900,0.75300,15.50000,-5.35000,5.02000,-0.92100,0.04500,0.26500,-1.58000,-2.27000,4.18000,11.8,1.2,1.0,1.0,1.012979,0.441191,2.230510,-0.517641,-1.564209,2.616414,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,0.0837,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
1786019654.4397,F_left_front_medium,F,left,0,front,medium,7,214.4000,344.1000,201.8000,273.6000,320.9000,0.0000,155.8000,350.5000,21.3000,0.0000,0.0000,0.0000,125.6000,0.0000,0.33900,0.14900,0.75300,15.50000,-5.35000,5.02000,-0.92100,0.04500,0.26500,-1.58000,-2.27000,4.18000,11.8,1.2,1.0,1.0,1.012979,0.441191,2.230510,-0.517641,-1.564209,2.616414,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,0.0837,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019654.4623,F_left_front_medium,F,left,0,front,medium,8,214.4000,344.1000,201.8000,273.6000,320.9000,0.0000,155.8000,350.5000,21.3000,0.0000,0.0000,0.0000,125.6000,0.0000,0.33900,0.14900,0.75300,15.50000,-5.35000,5.02000,-0.92100,0.04500,0.26500,-1.58000,-2.27000,4.18000,11.8,1.2,1.0,1.0,1.012979,0.441191,2.230510,-0.517641,-1.564209,2.616414,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,0.0837,,,,,129436,9314,3815,3354,126090,7347,3346,1818,0,149,0.47296,-0.05114,1
1786019654.4748,F_left_front_medium,F,left,0,front,medium,9,214.4000,344.1000,201.8000,273.6000,320.9000,0.0000,155.8000,350.5000,21.3000,0.0000,0.0000,0.0000,125.6000,0.0000,0.33900,0.14900,0.75300,15.50000,-5.35000,5.02000,-0.92100,0.04500,0.26500,-1.58000,-2.27000,4.18000,11.8,1.2,1.0,1.0,1.012979,0.441191,2.230510,-0.517641,-1.564209,2.616414,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,1,1.0000,1.0000,1,0,0,1,0.0000,0.0837,,,,,9803,125765,3771,3410,6825,123760,2978,1858,0,147,0.47296,-0.05114,1
