t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019680.9323,F_right_front_medium,F,right,0,front,medium,0,165.7000,344.0000,157.2000,353.9000,100.1000,113.5000,161.8000,303.1000,23.7000,0.0000,100.0000,0.0000,169.2000,0.0000,-0.87500,0.06200,0.35100,0.36000,6.08000,-4.48000,0.34700,0.17500,0.94300,21.98000,-8.98000,1.37000,12.7,5.8,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019680.9692,F_right_front_medium,F,right,0,front,medium,1,165.7000,344.0000,157.2000,353.9000,100.1000,113.5000,161.8000,303.1000,23.7000,0.0000,100.0000,0.0000,169.2000,0.0000,-0.87500,0.06200,0.35100,0.36000,6.08000,-4.48000,0.34700,0.17500,0.94300,21.98000,-8.98000,1.37000,12.7,5.8,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129436,125765,3815,3410,126090,123760,3346,1858,0,147,0.47296,-0.05114,1
1786019680.9744,F_right_front_medium,F,right,0,front,medium,2,165.7000,344.0000,157.2000,353.9000,97.3000,116.0000,161.8000,303.2000,22.9000,0.0000,99.9000,0.0000,168.9000,0.0000,-0.86700,0.05600,0.35400,-9.13000,8.28000,5.80000,0.29500,0.17500,0.95000,-4.18000,3.73000,0.34000,12.5,5.2,1.0,0.0,0.970315,0.522895,2.239323,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019680.9932,F_right_front_medium,F,right,0,front,medium,3,165.7000,344.0000,157.2000,353.9000,97.3000,116.0000,161.8000,303.2000,22.9000,0.0000,99.9000,0.0000,168.9000,0.0000,-0.86700,0.05600,0.35400,-9.13000,8.28000,5.80000,0.29500,0.17500,0.95000,-4.18000,3.73000,0.34000,12.5,5.2,1.0,0.0,0.970315,0.522895,2.239323,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019681.0132,F_right_front_medium,F,right,0,front,medium,4,165.7000,344.0000,157.2000,353.9000,97.3000,116.0000,161.8000,303.2000,22.9000,0.0000,99.9000,0.0000,168.9000,0.0000,-0.86700,0.05600,0.35400,-9.13000,8.28000,5.80000,0.29500,0.17500,0.95000,-4.18000,3.73000,0.34000,12.5,5.2,1.0,0.0,0.970315,0.522895,2.239323,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019681.0327,F_right_front_medium,F,right,0,front,medium,5,165.7000,344.0000,157.2000,353.9000,97.3000,116.0000,161.8000,303.2000,22.9000,0.0000,99.9000,0.0000,168.9000,0.0000,-0.86700,0.05600,0.35400,-9.13000,8.28000,5.80000,0.29500,0.17500,0.95000,-4.18000,3.73000,0.34000,12.5,5.2,1.0,0.0,0.970315,0.522895,2.239323,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019681.0578,F_right_front_medium,F,right,0,front,medium,6,165.7000,344.0000,157.2000,353.9000,97.3000,116.0000,161.8000,303.2000,22.9000,0.0000,99.9000,0.0000,168.9000,0.0000,-0.86700,0.05600,0.35400,-9.13000,8.28000,5.80000,0.29500,0.17500,0.95000,-4.18000,3.73000,0.34000,12.5,5.2,1.0,0.0,0.970315,0.522895,2.239323,-0.401059,-1.763011,2.697292,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019681.0752,F_right_front_medium,F,right,0,front,medium,7,165.7000,344.0000,157.2100,353.9000,105.4000,125.8000,161.8000,302.6000,22.3000,0.0000,100.0000,0.0000,167.0000,0.0000,-0.90500,0.07900,0.33300,3.34000,4.15000,6.97000,0.22000,0.04600,0.87700,-8.72000,0.42000,9.75000,11.2,5.4,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019681.0924,F_right_front_medium,F,right,0,front,medium,8,165.5000,344.0000,157.2000,353.8000,99.5000,122.9000,161.8000,302.4000,22.3000,0.0000,99.9000,0.0000,166.3000,0.0000,-0.88400,0.06500,0.33800,1.95000,8.88000,6.13000,0.20900,0.08900,0.88900,-1.44000,-1.79000,2.35000,11.4,7.7,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
1786019681.1147,F_right_front_medium,F,right,0,front,medium,9,165.5000,344.0000,157.2000,353.8000,99.5000,122.9000,161.8000,302.4000,22.3000,0.0000,99.9000,0.0000,166.3000,0.0000,-0.88400,0.06500,0.33800,1.95000,8.88000,6.13000,0.20900,0.08900,0.88900,-1.44000,-1.79000,2.35000,11.4,7.7,1.0,0.0,1.274282,1.835062,2.316563,-0.392309,-0.678285,2.592542,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.916993,0.127566,1.755808,-0.100836,0.013868,1.408864,2.542153,-0.962663,-0.865127,0.888419,-2.386196,1.172582,0.220893,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,0,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9803,9314,3771,3354,6825,7347,2978,1818,0,149,0.47296,-0.05114,1
