t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272020.3518,G_left_far_left_right,G,left,0,left_right,,far,0,204.6000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.5000,0.0000,143.4000,0.0000,87.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,19.3,12.8,1.0,0.0,0.718142,0.353915,1.354037,-0.725613,0.343938,1.181434,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718145,0.353912,1.354037,-0.725621,0.343921,1.181435,1.011514,0.818159,2.228947,-1.573260,-2.070767,-0.611619,-0.443395,1.975297,-1.277767,1.598680,-1.440756,2.667229,0.128456,2.485550,1,1,1.0000,1.0000,39.0406,-64.3857,51.3000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10277,10265,0,0,10189,10216,88,36,0,13,0.52428,0.53480,,,,,,,,,,,,,,,,,,,,,,,140516.8746,9554,9507,0,0
1788272020.3743,G_left_far_left_right,G,left,0,left_right,,far,1,204.6000,344.2000,59.3000,217.1000,218.9000,0.0000,328.8000,318.4000,34.5000,0.0000,143.4000,0.0000,87.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,19.7,12.6,1.0,0.0,0.718140,0.353916,1.354037,-0.725607,0.343950,1.181433,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718145,0.353912,1.354037,-0.725621,0.343921,1.181435,1.011507,0.818154,2.228960,-1.573258,-2.070767,-0.611627,-0.443402,1.975302,-1.277770,1.598680,-1.440750,2.667226,0.128457,2.485550,1,1,1.0000,1.0000,39.0406,-64.3857,51.3000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10278,10266,0,0,10190,10217,88,36,0,13,0.52428,0.53480,,,,,,,,,,,,,,,,,,,,,,,140516.8971,9555,9508,0,0
1788272020.3919,G_left_far_left_right,G,left,0,left_right,,far,2,204.6000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.5000,0.0000,143.4000,0.0000,87.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.8,12.7,1.0,0.0,0.718139,0.353917,1.354037,-0.725600,0.343963,1.181432,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718145,0.353912,1.354037,-0.725621,0.343921,1.181435,1.011478,0.818136,2.229019,-1.573254,-2.070771,-0.611662,-0.443432,1.975330,-1.277786,1.598678,-1.440713,2.667217,0.128468,2.485542,1,1,1.0000,1.0000,39.0406,-64.3857,51.3000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10279,10267,0,0,10191,10218,88,36,0,13,0.52428,0.53480,,,,,,,,,,,,,,,,,,,,,,,140516.9147,9556,9508,0,0
1788272020.4119,G_left_far_left_right,G,left,0,left_right,,far,3,204.6000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.5000,0.0000,143.4000,0.0000,87.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.3,12.8,1.0,0.0,0.718137,0.353918,1.354037,-0.725595,0.343974,1.181431,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718140,0.353916,1.354037,-0.725609,0.343948,1.181433,1.011456,0.818123,2.229062,-1.573251,-2.070773,-0.611687,-0.443453,1.975361,-1.277801,1.598676,-1.440673,2.667207,0.128478,2.485535,1,1,1.0000,1.0000,39.0406,-64.3857,51.3000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10280,10268,0,0,10192,10219,88,36,0,13,0.52428,0.53480,,,,,,,,,,,,,,,,,,,,,,,140516.9347,9556,9509,0,0
1788272020.4337,G_left_far_left_right,G,left,0,left_right,,far,4,204.6000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.5000,0.0000,143.4000,0.0000,87.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.3,12.8,1.0,0.0,0.718137,0.353918,1.354037,-0.725595,0.343974,1.181431,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718140,0.353916,1.354037,-0.725609,0.343948,1.181433,1.011444,0.818118,2.229082,-1.573249,-2.070774,-0.611699,-0.443463,1.975376,-1.277810,1.598675,-1.440653,2.667202,0.128484,2.485531,1,1,1.0000,1.0000,39.0406,-64.3857,51.3000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10280,10268,0,0,10192,10219,88,36,0,13,0.52428,0.53480,,,,,,,,,,,,,,,,,,,,,,,140516.9565,9556,9509,0,0
1788272020.4694,G_left_far_left_right,G,left,0,left_right,,far,5,204.6000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.5000,0.0000,143.4000,0.0000,87.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.4,13.1,1.0,0.0,0.718136,0.353919,1.354037,-0.725590,0.343984,1.181430,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718140,0.353916,1.354037,-0.725609,0.343948,1.181433,1.011419,0.818100,2.229137,-1.573246,-2.070777,-0.611730,-0.443491,1.975421,-1.277835,1.598672,-1.440595,2.667188,0.128501,2.485518,1,1,1.0000,1.0000,39.0406,-64.3857,51.3000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10281,10269,0,0,10193,10220,88,36,0,13,0.52427,0.53478,,,,,,,,,,,,,,,,,,,,,,,140516.9922,9556,9510,0,0
1788272020.4741,G_left_far_left_right,G,left,0,left_right,,far,6,204.5000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.4000,0.0000,143.4000,0.0000,87.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.5,13.0,1.0,0.0,0.718136,0.353919,1.354037,-0.725580,0.344004,1.181430,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718140,0.353916,1.354037,-0.725609,0.343948,1.181433,1.011405,0.818090,2.229168,-1.573245,-2.070778,-0.611749,-0.443507,1.975442,-1.277847,1.598670,-1.440573,2.667180,0.128509,2.485512,1,1,1.0000,1.0000,39.0406,-64.3857,51.2000,-24.6000,0.040000,0.271350,1,1,1,1,0,0,0.0000,0.0000,,,,,10283,10271,0,0,10195,10222,88,36,0,13,0.52427,0.53478,,,,,,,,,,,,,,,,,,,,,,,140516.9970,9558,9512,0,0
1788272020.5043,G_left_far_left_right,G,left,0,left_right,,far,7,204.5000,344.2000,59.3000,217.1000,218.9000,0.0000,328.9000,318.4000,34.4000,0.0000,143.4000,0.0000,87.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.9,13.3,1.0,0.0,0.718137,0.353918,1.354037,-0.725576,0.344012,1.181430,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718135,0.353920,1.354036,-0.725588,0.343987,1.181431,1.011376,0.818063,2.229229,-1.573244,-2.070781,-0.611788,-0.443545,1.975486,-1.277869,1.598666,-1.440513,2.667166,0.128524,2.485502,1,1,1.0000,1.0000,39.0406,-64.3857,51.2000,-24.6000,0.040000,0.271350,1,1,1,1,0,0,0.0000,0.0000,,,,,10284,10272,0,0,10196,10223,88,36,0,13,0.52427,0.53477,,,,,,,,,,,,,,,,,,,,,,,140517.0271,9558,9513,0,0
1788272020.5119,G_left_far_left_right,G,left,0,left_right,,far,8,204.4000,344.2000,59.3000,217.1000,218.9000,0.0000,328.8000,318.4000,34.5000,0.0000,143.4000,0.0000,87.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.9,12.7,1.0,0.0,0.718142,0.353915,1.354037,-0.725572,0.344021,1.181429,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718135,0.353920,1.354036,-0.725588,0.343987,1.181431,1.011368,0.818051,2.229252,-1.573245,-2.070782,-0.611802,-0.443560,1.975496,-1.277874,1.598665,-1.440500,2.667163,0.128528,2.485499,1,1,1.0000,1.0000,39.0406,-64.3857,51.1000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10285,10273,0,0,10197,10224,88,36,0,13,0.52427,0.53477,,,,,,,,,,,,,,,,,,,,,,,140517.0347,9559,9514,0,0
1788272020.5345,G_left_far_left_right,G,left,0,left_right,,far,9,204.4000,344.2000,59.3000,217.1000,218.9000,0.0000,328.8000,318.4000,34.5000,0.0000,143.4000,0.0000,87.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.7,12.5,1.0,0.0,0.718142,0.353915,1.354037,-0.725572,0.344021,1.181429,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718135,0.353920,1.354036,-0.725588,0.343987,1.181431,1.011363,0.818044,2.229266,-1.573247,-2.070782,-0.611811,-0.443570,1.975508,-1.277879,1.598664,-1.440486,2.667159,0.128531,2.485497,1,1,1.0000,1.0000,39.0406,-64.3857,51.1000,-24.6000,0.040000,0.271359,1,1,1,1,0,0,0.0000,0.0000,,,,,10285,10273,0,0,10197,10224,88,36,0,13,0.52427,0.53477,,,,,,,,,,,,,,,,,,,,,,,140517.0573,9559,9514,0,0
