t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272045.7737,G_left_far_up_down,G,left,0,up_down,,far,0,205.7000,344.2000,59.3000,217.1000,218.9000,0.0000,331.3000,317.1000,33.7000,0.0000,143.2000,0.0000,93.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.9,1.6,1.0,0.0,0.717933,0.354080,1.354037,-0.726291,0.342608,1.181539,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717985,0.354040,1.354037,-0.726239,0.342711,1.181541,1.011402,0.818848,2.228479,-1.572920,-2.070829,-0.611211,-0.442716,1.972283,-1.276125,1.599010,-1.444651,2.667450,0.127378,2.487117,1,1,1.0000,1.0000,39.0406,-64.3857,52.4000,-25.9000,0.040000,0.271255,1,1,1,1,0,0,0.0000,0.0000,,,,,11544,11528,0,0,11456,11479,88,36,0,13,0.52418,0.53525,,,,,,,,,,,,,,,,,,,,,,,140542.2965,10501,10574,0,0
1788272045.8038,G_left_far_up_down,G,left,0,up_down,,far,1,205.7000,344.2000,59.3000,217.1000,218.9000,0.0000,331.2000,317.1000,33.7000,0.0000,143.1000,0.0000,94.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.2,1.9,1.0,0.0,0.717910,0.354098,1.354037,-0.726350,0.342485,1.181537,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717985,0.354040,1.354037,-0.726239,0.342711,1.181541,1.011291,0.818877,2.228607,-1.572864,-2.070847,-0.611267,-0.442724,1.972128,-1.276052,1.599033,-1.444807,2.667475,0.127331,2.487174,1,1,1.0000,1.0000,39.0406,-64.3857,52.4000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11546,11530,0,0,11458,11481,88,36,0,13,0.52417,0.53529,,,,,,,,,,,,,,,,,,,,,,,140542.3267,10502,10576,0,0
1788272045.8197,G_left_far_up_down,G,left,0,up_down,,far,2,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.2000,317.1000,33.7000,0.0000,143.1000,0.0000,94.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.9,1.7,1.0,0.0,0.717886,0.354117,1.354037,-0.726376,0.342430,1.181537,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717917,0.354092,1.354038,-0.726304,0.342563,1.181538,1.011174,0.818942,2.228713,-1.572790,-2.070871,-0.611305,-0.442694,1.971908,-1.275965,1.599060,-1.445108,2.667510,0.127277,2.487232,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11547,11531,0,0,11459,11482,88,36,0,13,0.52417,0.53529,,,,,,,,,,,,,,,,,,,,,,,140542.3425,10503,10577,0,0
1788272045.8348,G_left_far_up_down,G,left,0,up_down,,far,3,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.2000,317.1000,33.7000,0.0000,143.1000,0.0000,94.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.9,1.3,1.0,0.0,0.717861,0.354137,1.354037,-0.726403,0.342373,1.181536,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717917,0.354092,1.354038,-0.726304,0.342563,1.181538,1.011170,0.818944,2.228717,-1.572788,-2.070871,-0.611306,-0.442693,1.971801,-1.275925,1.599072,-1.445243,2.667525,0.127252,2.487259,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11548,11532,0,0,11460,11483,88,36,0,13,0.52417,0.53535,,,,,,,,,,,,,,,,,,,,,,,140542.3577,10503,10577,0,0
1788272045.8551,G_left_far_up_down,G,left,0,up_down,,far,4,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.3000,317.1000,33.7000,0.0000,143.1000,0.0000,94.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.7,1.7,1.0,0.0,0.717843,0.354151,1.354037,-0.726422,0.342331,1.181535,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717917,0.354092,1.354038,-0.726304,0.342563,1.181538,1.011095,0.818981,2.228789,-1.572743,-2.070886,-0.611334,-0.442679,1.971639,-1.275852,1.599094,-1.445435,2.667554,0.127207,2.487309,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11548,11532,0,0,11460,11483,88,36,0,13,0.52417,0.53535,,,,,,,,,,,,,,,,,,,,,,,140542.3780,10504,10577,0,0
1788272045.8746,G_left_far_up_down,G,left,0,up_down,,far,5,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.3000,317.1000,33.7000,0.0000,143.1000,0.0000,94.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,1.8,1.0,0.0,0.717823,0.354167,1.354037,-0.726445,0.342283,1.181535,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717917,0.354092,1.354038,-0.726304,0.342563,1.181538,1.011013,0.819026,2.228864,-1.572691,-2.070903,-0.611363,-0.442661,1.971481,-1.275781,1.599117,-1.445625,2.667581,0.127162,2.487361,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11550,11534,0,0,11462,11485,88,36,0,13,0.52413,0.53535,,,,,,,,,,,,,,,,,,,,,,,140542.3975,10504,10577,0,0
1788272045.9007,G_left_far_up_down,G,left,0,up_down,,far,6,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.5000,317.1000,33.7000,0.0000,143.1000,0.0000,94.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.7,2.1,1.0,0.0,0.717804,0.354181,1.354037,-0.726464,0.342242,1.181534,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717849,0.354146,1.354037,-0.726403,0.342351,1.181534,1.010962,0.819061,2.228908,-1.572655,-2.070915,-0.611379,-0.442643,1.971366,-1.275728,1.599134,-1.445762,2.667603,0.127128,2.487399,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11551,11535,0,0,11463,11486,88,36,0,13,0.52413,0.53535,,,,,,,,,,,,,,,,,,,,,,,140542.4235,10505,10578,0,0
1788272045.9235,G_left_far_up_down,G,left,0,up_down,,far,7,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.5000,317.1000,33.7000,0.0000,143.1000,0.0000,93.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.5,1.8,1.0,0.0,0.717787,0.354194,1.354037,-0.726483,0.342202,1.181534,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717849,0.354146,1.354037,-0.726403,0.342351,1.181534,1.010891,0.819083,2.228987,-1.572619,-2.070928,-0.611412,-0.442640,1.971242,-1.275673,1.599152,-1.445912,2.667621,0.127093,2.487442,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271238,1,1,1,1,0,0,0.0000,0.0000,,,,,11552,11536,0,0,11464,11487,88,36,0,13,0.52409,0.53542,,,,,,,,,,,,,,,,,,,,,,,140542.4463,10505,10579,0,0
1788272045.9350,G_left_far_up_down,G,left,0,up_down,,far,8,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.6000,317.1000,33.8000,0.0000,143.1000,0.0000,93.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.4,1.9,1.0,0.0,0.717774,0.354204,1.354037,-0.726497,0.342173,1.181533,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717849,0.354146,1.354037,-0.726403,0.342351,1.181534,1.010808,0.819129,2.229065,-1.572564,-2.070948,-0.611446,-0.442624,1.971130,-1.275622,1.599169,-1.446046,2.667639,0.127060,2.487481,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271248,1,1,1,1,0,0,0.0000,0.0000,,,,,11553,11537,0,0,11465,11488,88,36,0,13,0.52409,0.53542,,,,,,,,,,,,,,,,,,,,,,,140542.4578,10506,10580,0,0
1788272045.9613,G_left_far_up_down,G,left,0,up_down,,far,9,205.8000,344.2000,59.3000,217.1000,218.9000,0.0000,331.7000,317.1000,33.8000,0.0000,143.1000,0.0000,93.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.8,1.4,1.0,0.0,0.717760,0.354216,1.354037,-0.726514,0.342136,1.181531,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.717786,0.354194,1.354037,-0.726474,0.342210,1.181532,1.010750,0.819147,2.229130,-1.572534,-2.070958,-0.611474,-0.442623,1.971006,-1.275567,1.599188,-1.446194,2.667657,0.127025,2.487524,1,1,1.0000,1.0000,39.0406,-64.3857,52.5000,-25.9000,0.040000,0.271248,1,1,1,1,0,0,0.0000,0.0000,,,,,11554,11538,0,0,11466,11489,88,36,0,13,0.52409,0.53542,,,,,,,,,,,,,,,,,,,,,,,140542.4841,10507,10580,0,0
