t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272191.4887,G_left_high_left_right,G,left,0,left_right,,high,0,151.6000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,317.6000,36.2000,0.0000,148.8000,0.0000,44.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,34.6,27.9,1.0,0.0,0.749163,0.328582,1.369784,-0.726061,0.342360,1.180885,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.751169,0.329335,1.371356,-0.726098,0.342284,1.180886,1.183858,0.938823,1.810561,-1.633680,-2.236647,-0.343027,-0.082895,1.970978,-1.277527,1.599873,-1.445121,2.666833,0.128241,2.486316,1,1,1.0000,1.0000,39.0406,-64.3857,-1.7000,-25.4000,0.064124,0.271960,1,1,1,1,0,0,0.0000,0.0000,,,,,18829,18799,0,0,18739,18750,90,36,0,13,0.54693,0.53507,,,,,,,,,,,,,,,,,,,,,,,140688.0115,14751,16720,0,0
1788272191.5092,G_left_high_left_right,G,left,0,left_right,,high,1,151.6000,344.2000,59.3000,217.1000,218.9000,0.0000,346.8000,317.3000,36.2000,0.0000,149.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35.0,27.2,1.0,0.0,0.748845,0.328475,1.369527,-0.726083,0.342313,1.180883,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.750166,0.329016,1.370597,-0.726069,0.342338,1.180888,1.184072,0.938858,1.811567,-1.634369,-2.235853,-0.344145,-0.083612,1.971034,-1.277554,1.599866,-1.445048,2.666821,0.128258,2.486299,1,1,1.0000,1.0000,39.0406,-64.3857,-1.7000,-25.7000,0.063631,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18831,18801,0,0,18741,18752,90,36,0,13,0.54587,0.53504,,,,,,,,,,,,,,,,,,,,,,,140688.0321,14752,16721,0,0
1788272191.5380,G_left_high_left_right,G,left,0,left_right,,high,2,151.6000,344.2000,59.3000,217.1000,218.9000,0.0000,346.8000,317.3000,36.2000,0.0000,149.0000,0.0000,0.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35.7,27.6,1.0,0.0,0.748510,0.328404,1.369257,-0.726083,0.342313,1.180883,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.750166,0.329016,1.370597,-0.726069,0.342338,1.180888,1.184155,0.938874,1.811916,-1.634645,-2.235594,-0.344568,-0.083851,1.971013,-1.277547,1.599868,-1.445074,2.666824,0.128254,2.486302,1,1,1.0000,1.0000,39.0406,-64.3857,-1.7000,-25.7000,0.063139,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18831,18801,0,0,18741,18752,90,36,0,13,0.54587,0.53504,,,,,,,,,,,,,,,,,,,,,,,140688.0608,14752,16721,0,0
1788272191.5488,G_left_high_left_right,G,left,0,left_right,,high,3,151.5000,344.2000,59.3000,217.1000,218.9000,0.0000,346.7000,317.4000,36.2000,0.0000,149.0000,0.0000,80.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,36.3,29.0,1.0,0.0,0.748166,0.328334,1.368980,-0.726095,0.342286,1.180882,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.750166,0.329016,1.370597,-0.726069,0.342338,1.180888,1.184412,0.938994,1.812966,-1.635524,-2.234806,-0.346053,-0.084431,1.970938,-1.277517,1.599877,-1.445162,2.666838,0.128236,2.486320,1,1,1.0000,1.0000,39.0406,-64.3857,-1.8000,-25.6000,0.062645,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18832,18802,0,0,18742,18753,90,36,0,13,0.54587,0.53504,,,,,,,,,,,,,,,,,,,,,,,140688.0717,14753,16723,0,0
1788272191.5693,G_left_high_left_right,G,left,0,left_right,,high,4,151.4000,344.2000,59.3000,217.1000,218.9000,0.0000,346.5000,317.4000,36.2000,0.0000,149.0000,0.0000,81.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39.2,29.2,1.0,0.0,0.747794,0.328261,1.368680,-0.726098,0.342279,1.180881,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.749253,0.328647,1.369865,-0.726083,0.342308,1.180882,1.184665,0.939192,1.814041,-1.636398,-2.233942,-0.347546,-0.084960,1.970874,-1.277490,1.599886,-1.445240,2.666851,0.128219,2.486336,1,1,1.0000,1.0000,39.0406,-64.3857,-1.9000,-25.6000,0.062117,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18834,18804,0,0,18744,18755,90,36,0,13,0.54587,0.53505,,,,,,,,,,,,,,,,,,,,,,,140688.0922,14754,16724,0,0
1788272191.6230,G_left_high_left_right,G,left,0,left_right,,high,5,151.4000,344.2000,59.3000,217.1000,218.9000,0.0000,346.3000,317.4000,36.2000,0.0000,149.0000,0.0000,85.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,38.7,28.9,1.0,0.0,0.747419,0.328215,1.368377,-0.726101,0.342273,1.180881,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.749253,0.328647,1.369865,-0.726083,0.342308,1.180882,1.184852,0.939434,1.814924,-1.637070,-2.233160,-0.348676,-0.085328,1.970857,-1.277482,1.599890,-1.445256,2.666856,0.128213,2.486342,1,1,1.0000,1.0000,39.0406,-64.3857,-1.9000,-25.6000,0.061590,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18834,18804,0,0,18744,18755,90,36,0,13,0.54587,0.53505,,,,,,,,,,,,,,,,,,,,,,,140688.1458,14755,16725,0,0
1788272191.6237,G_left_high_left_right,G,left,0,left_right,,high,6,151.4000,344.2000,59.3000,217.1000,218.9000,0.0000,346.3000,317.4000,36.2000,0.0000,149.0000,0.0000,85.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,38.7,28.9,1.0,0.0,0.747419,0.328215,1.368377,-0.726101,0.342273,1.180881,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.749253,0.328647,1.369865,-0.726083,0.342308,1.180882,1.184852,0.939434,1.814924,-1.637070,-2.233160,-0.348676,-0.085328,1.970857,-1.277482,1.599890,-1.445256,2.666856,0.128213,2.486342,1,1,1.0000,1.0000,39.0406,-64.3857,-1.9000,-25.6000,0.061590,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18834,18804,0,0,18744,18755,90,36,0,13,0.54587,0.53505,,,,,,,,,,,,,,,,,,,,,,,140688.1465,14755,16725,0,0
1788272191.6586,G_left_high_left_right,G,left,0,left_right,,high,7,151.3000,344.2000,59.3000,217.1000,218.9000,0.0000,345.9000,317.4000,36.2000,0.0000,149.0000,0.0000,84.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37.5,29.2,1.0,0.0,0.747043,0.328164,1.368073,-0.726104,0.342267,1.180880,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748174,0.328364,1.368996,-0.726101,0.342273,1.180881,1.184939,0.939569,1.815375,-1.637397,-2.232751,-0.349222,-0.085505,1.970844,-1.277477,1.599892,-1.445273,2.666858,0.128210,2.486345,1,1,1.0000,1.0000,39.0406,-64.3857,-2.0000,-25.6000,0.061056,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18835,18805,0,0,18745,18756,90,36,0,13,0.54487,0.53505,,,,,,,,,,,,,,,,,,,,,,,140688.1814,14756,16726,0,0
1788272191.6602,G_left_high_left_right,G,left,0,left_right,,high,8,151.3000,344.2000,59.3000,217.1000,218.9000,0.0000,345.9000,317.4000,36.2000,0.0000,149.0000,0.0000,84.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37.5,29.2,1.0,0.0,0.747043,0.328164,1.368073,-0.726104,0.342267,1.180880,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748174,0.328364,1.368996,-0.726101,0.342273,1.180881,1.184939,0.939569,1.815375,-1.637397,-2.232751,-0.349222,-0.085505,1.970844,-1.277477,1.599892,-1.445273,2.666858,0.128210,2.486345,1,1,1.0000,1.0000,39.0406,-64.3857,-2.0000,-25.6000,0.061056,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18835,18805,0,0,18745,18756,90,36,0,13,0.54487,0.53505,,,,,,,,,,,,,,,,,,,,,,,140688.1830,14756,16726,0,0
1788272191.6694,G_left_high_left_right,G,left,0,left_right,,high,9,151.3000,344.2000,59.3000,217.1000,218.9000,0.0000,342.8000,317.4000,36.2000,0.0000,149.0000,0.0000,84.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37.6,28.4,1.0,0.0,0.745706,0.328106,1.366991,-0.726111,0.342251,1.180879,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.748174,0.328364,1.368996,-0.726101,0.342273,1.180881,1.185159,0.940026,1.816833,-1.638250,-2.231342,-0.350931,-0.086343,1.970808,-1.277464,1.599898,-1.445316,2.666865,0.128202,2.486353,1,1,1.0000,1.0000,39.0406,-64.3857,-2.0000,-25.6000,0.059040,0.271966,1,1,1,1,0,0,0.0000,0.0000,,,,,18839,18809,0,0,18749,18760,90,36,0,13,0.54376,0.53507,,,,,,,,,,,,,,,,,,,,,,,140688.1923,14759,16728,0,0
