t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272225.1940,G_left_high_up_down,G,left,0,up_down,,high,0,0.0000,344.2000,59.3000,217.1000,218.9000,0.0000,344.0000,317.5000,36.8000,0.0000,149.6000,0.0000,59.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,1.8,1.0,0.0,0.714685,0.303058,1.354037,-0.725997,0.342451,1.180845,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.714469,0.302934,1.354039,-0.725985,0.342476,1.180845,1.101463,0.761233,2.193001,-1.759966,-2.170253,-0.688631,-0.324602,1.971283,-1.277778,1.599855,-1.444674,2.666857,0.128400,2.486022,1,1,1.0000,1.0000,39.0406,-64.3857,-58.1000,-25.5000,0.040000,0.271990,1,1,0,1,1,0,0.0218,0.0000,,,,,20515,20483,0,0,20425,20434,90,36,0,13,0.50395,0.53497,,,,,,,,,,,,,,,,,,,,,,,140721.7168,15745,18232,0,0
1788272225.2155,G_left_high_up_down,G,left,0,up_down,,high,1,123.1000,344.2000,59.3000,217.1000,218.9000,0.0000,343.9000,317.5000,36.8000,0.0000,149.7000,0.0000,54.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.0,1.9,1.0,0.0,0.716419,0.304816,1.354037,-0.725999,0.342446,1.180845,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.714469,0.302934,1.354039,-0.725985,0.342476,1.180845,1.101493,0.761229,2.192939,-1.759877,-2.170167,-0.688536,-0.324718,1.971267,-1.277771,1.599857,-1.444695,2.666861,0.128395,2.486026,1,1,1.0000,1.0000,39.0406,-64.3857,-30.2000,-25.5000,0.040000,0.271991,1,1,1,1,0,0,0.0000,0.0000,,,,,20516,20484,0,0,20426,20435,90,36,0,13,0.50395,0.53497,,,,,,,,,,,,,,,,,,,,,,,140721.7383,15746,18233,0,0
1788272225.2457,G_left_high_up_down,G,left,0,up_down,,high,2,123.1000,344.2000,59.3000,217.1000,218.9000,0.0000,343.8000,317.5000,36.8000,0.0000,149.7000,0.0000,49.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.7,1.7,1.0,0.0,0.718107,0.306526,1.354037,-0.726002,0.342440,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.714661,0.303050,1.354058,-0.725996,0.342452,1.180845,1.101562,0.761234,2.192719,-1.759587,-2.169910,-0.688240,-0.325020,1.971251,-1.277763,1.599859,-1.444714,2.666865,0.128390,2.486031,1,1,1.0000,1.0000,39.0406,-64.3857,-30.2000,-25.5000,0.040000,0.271991,1,1,1,1,0,0,0.0000,0.0000,,,,,20517,20485,0,0,20427,20436,90,36,0,13,0.50395,0.53497,,,,,,,,,,,,,,,,,,,,,,,140721.7685,15747,18234,0,0
1788272225.2552,G_left_high_up_down,G,left,0,up_down,,high,3,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,343.8000,317.5000,36.8000,0.0000,149.7000,0.0000,48.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.3,1.7,1.0,0.0,0.719408,0.307841,1.354037,-0.726005,0.342435,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.714661,0.303050,1.354058,-0.725996,0.342452,1.180845,1.101584,0.761238,2.192627,-1.759472,-2.169810,-0.688129,-0.325133,1.971240,-1.277756,1.599860,-1.444727,2.666868,0.128386,2.486035,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271991,1,1,1,1,0,0,0.0000,0.0000,,,,,20518,20486,0,0,20428,20437,90,36,0,13,0.50417,0.53498,,,,,,,,,,,,,,,,,,,,,,,140721.7780,15748,18235,0,0
1788272225.2752,G_left_high_up_down,G,left,0,up_down,,high,4,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,343.8000,317.5000,36.9000,0.0000,149.8000,0.0000,52.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.2,1.6,1.0,0.0,0.720514,0.308959,1.354037,-0.726007,0.342430,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.714661,0.303050,1.354058,-0.725996,0.342452,1.180845,1.101543,0.761367,2.191732,-1.757808,-2.168370,-0.686882,-0.326360,1.971215,-1.277744,1.599863,-1.444759,2.666874,0.128378,2.486043,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271993,1,1,1,1,0,0,0.0000,0.0000,,,,,20519,20487,0,0,20429,20438,90,36,0,13,0.50417,0.53498,,,,,,,,,,,,,,,,,,,,,,,140721.7980,15748,18236,0,0
1788272225.2956,G_left_high_up_down,G,left,0,up_down,,high,5,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,343.8000,317.5000,36.9000,0.0000,149.8000,0.0000,58.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.2,1.4,1.0,0.0,0.721381,0.309836,1.354037,-0.726010,0.342426,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.714661,0.303050,1.354058,-0.725996,0.342452,1.180845,1.101528,0.761418,2.191396,-1.756689,-2.167464,-0.686012,-0.327279,1.971209,-1.277740,1.599863,-1.444767,2.666875,0.128376,2.486045,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271993,1,1,1,1,0,0,0.0000,0.0000,,,,,20520,20488,0,0,20430,20439,90,36,0,13,0.50417,0.53498,,,,,,,,,,,,,,,,,,,,,,,140721.8184,15748,18237,0,0
1788272225.3167,G_left_high_up_down,G,left,0,up_down,,high,6,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,344.0000,317.5000,36.9000,0.0000,149.8000,0.0000,63.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.4,2.6,1.0,0.0,0.722109,0.310572,1.354037,-0.726012,0.342421,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.715610,0.303921,1.354292,-0.726006,0.342433,1.180846,1.101511,0.761473,2.191028,-1.755463,-2.166471,-0.685058,-0.328286,1.971196,-1.277734,1.599865,-1.444783,2.666878,0.128372,2.486048,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271993,1,1,1,1,0,0,0.0000,0.0000,,,,,20521,20489,0,0,20431,20440,90,36,0,13,0.50417,0.53499,,,,,,,,,,,,,,,,,,,,,,,140721.8396,15749,18238,0,0
1788272225.3351,G_left_high_up_down,G,left,0,up_down,,high,7,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,344.1000,317.5000,36.9000,0.0000,149.8000,0.0000,68.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.8,4.7,1.0,0.0,0.722730,0.311199,1.354037,-0.726014,0.342417,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.715610,0.303921,1.354292,-0.726006,0.342433,1.180846,1.101464,0.761679,2.189805,-1.750359,-2.162562,-0.681094,-0.333369,1.971179,-1.277726,1.599867,-1.444804,2.666882,0.128366,2.486054,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271993,1,1,1,1,0,0,0.0000,0.0000,,,,,20522,20490,0,0,20432,20441,90,36,0,13,0.50531,0.53499,,,,,,,,,,,,,,,,,,,,,,,140721.8580,15750,18239,0,0
1788272225.3588,G_left_high_up_down,G,left,0,up_down,,high,8,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,345.2000,317.5000,36.9000,0.0000,149.8000,0.0000,71.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.1,6.0,1.0,0.0,0.723213,0.311687,1.354037,-0.726016,0.342413,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.715610,0.303921,1.354292,-0.726006,0.342433,1.180846,1.101448,0.761758,2.189349,-1.748392,-2.161079,-0.679573,-0.335431,1.971173,-1.277723,1.599868,-1.444812,2.666884,0.128364,2.486056,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271993,1,1,1,1,0,0,0.0000,0.0000,,,,,20523,20491,0,0,20433,20442,90,36,0,13,0.50531,0.53499,,,,,,,,,,,,,,,,,,,,,,,140721.8817,15751,18240,0,0
1788272225.3833,G_left_high_up_down,G,left,0,up_down,,high,9,123.0000,344.2000,59.3000,217.1000,218.9000,0.0000,346.5000,317.5000,36.9000,0.0000,149.8000,0.0000,74.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.6,6.8,1.0,0.0,0.723575,0.312053,1.354037,-0.726017,0.342409,1.180846,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.718110,0.306534,1.354037,-0.726013,0.342419,1.180846,1.101382,0.762021,2.187841,-1.741716,-2.156091,-0.674476,-0.342916,1.971160,-1.277716,1.599869,-1.444828,2.666886,0.128360,2.486060,1,1,1.0000,1.0000,39.0406,-64.3857,-30.3000,-25.5000,0.040000,0.271993,1,1,1,1,0,0,0.0000,0.0000,,,,,20524,20492,0,0,20434,20443,90,36,0,13,0.50531,0.53499,,,,,,,,,,,,,,,,,,,,,,,140721.9061,15752,18241,0,0
