t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788271966.4846,G_left_near_left_right,G,left,0,left_right,,near,0,130.9000,344.2000,59.3000,217.1000,218.9000,0.0000,355.3000,319.2000,31.2000,0.0000,143.7000,0.0000,64.3000,0.0000,0.15700,-0.16600,0.92700,4.24000,7.93000,1.58000,-0.95200,-0.04200,0.22000,2.78000,1.15000,-2.24000,28.6,21.3,1.0,0.0,0.733778,0.315712,1.315882,-0.727826,0.346965,1.180219,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.734258,0.315676,1.317143,-0.728935,0.347497,1.179524,1.124788,0.753111,2.266736,-1.672221,-1.992951,-0.715157,-0.534732,1.980742,-1.277975,1.602738,-1.421487,2.675778,0.143573,2.475775,1,1,1.0000,1.0000,-26.0856,-64.6486,-22.4000,-23.8000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7583,7574,0,0,7495,7525,88,36,0,13,0.52660,0.53739,,,,,,,,,,,,,,,,,,,,,,,140463.0074,7001,7001,0,0
1788271966.5000,G_left_near_left_right,G,left,0,left_right,,near,1,131.0000,344.2000,59.3000,217.1000,218.9000,0.0000,355.3000,319.2000,31.2000,0.0000,143.7000,0.0000,65.3000,0.0000,0.21500,-0.13000,0.92700,7.89000,3.16000,0.97000,-0.95100,-0.03200,0.23900,1.94000,0.21000,-0.71000,26.4,21.0,1.0,0.0,0.733656,0.315707,1.315562,-0.727859,0.346979,1.180200,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.734258,0.315676,1.317143,-0.728935,0.347497,1.179524,1.124957,0.753386,2.266829,-1.672136,-1.992543,-0.715326,-0.534839,1.980699,-1.277988,1.602437,-1.422456,2.675757,0.142451,2.475825,1,1,1.0000,1.0000,-22.6143,-65.2507,-22.3000,-23.8000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7584,7575,0,0,7496,7526,88,36,0,13,0.52660,0.53739,,,,,,,,,,,,,,,,,,,,,,,140463.0229,7002,7002,0,0
1788271966.5251,G_left_near_left_right,G,left,0,left_right,,near,2,131.0000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.2000,31.2000,0.0000,143.7000,0.0000,64.5000,0.0000,0.22800,-0.09800,0.92900,8.51000,0.12000,2.10000,-0.95500,-0.03900,0.21500,1.08000,-0.13000,0.11000,27.1,21.0,1.0,0.0,0.733576,0.315692,1.315355,-0.727754,0.346932,1.180252,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.734083,0.315663,1.316672,-0.728294,0.347163,1.180054,1.125050,0.753540,2.266883,-1.672083,-1.992326,-0.715421,-0.534898,1.980650,-1.278004,1.602079,-1.423509,2.675732,0.141306,2.475883,1,1,1.0000,1.0000,-21.7901,-64.8167,-22.3000,-23.8000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7585,7576,0,0,7497,7527,88,36,0,13,0.52660,0.53739,,,,,,,,,,,,,,,,,,,,,,,140463.0480,7003,7003,0,0
1788271966.5398,G_left_near_left_right,G,left,0,left_right,,near,3,131.0000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.2000,31.2000,0.0000,143.7000,0.0000,65.5000,0.0000,0.23300,-0.08300,0.93800,8.50000,-2.71000,3.56000,-0.94700,-0.05100,0.22500,1.30000,-0.11000,-0.58000,26.8,20.7,1.0,0.0,0.733523,0.315679,1.315215,-0.727318,0.346738,1.180477,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.734083,0.315663,1.316672,-0.728294,0.347163,1.180054,1.125491,0.754435,2.267145,-1.671856,-1.991094,-0.715920,-0.535137,1.980596,-1.278022,1.601681,-1.424730,2.675709,0.140131,2.475942,1,1,1.0000,1.0000,-21.5721,-64.1188,-22.3000,-23.8000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7586,7577,0,0,7498,7528,88,36,0,13,0.52643,0.53684,,,,,,,,,,,,,,,,,,,,,,,140463.0626,7004,7004,0,0
1788271966.5648,G_left_near_left_right,G,left,0,left_right,,near,4,130.8000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.2000,31.2000,0.0000,143.6000,0.0000,68.1000,0.0000,0.24600,-0.13100,0.93900,11.11000,-5.62000,3.63000,-0.94800,-0.03000,0.21600,0.92000,-1.67000,-0.62000,27.6,19.5,1.0,0.0,0.733461,0.315618,1.315084,-0.727436,0.346789,1.180416,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.734083,0.315663,1.316672,-0.728294,0.347163,1.180054,1.126009,0.755373,2.267426,-1.671660,-1.989815,-0.716500,-0.535375,1.980564,-1.278032,1.601495,-1.425048,2.675694,0.139862,2.475978,1,1,1.0000,1.0000,-21.0038,-65.3363,-22.5000,-23.8000,0.040000,0.271055,0,0,1,1,0,0,0.0000,0.0000,,,,,7587,7578,0,0,7499,7529,88,36,0,13,0.52643,0.53684,,,,,,,,,,,,,,,,,,,,,,,140463.0876,7006,7006,0,0
1788271966.5847,G_left_near_left_right,G,left,0,left_right,,near,5,130.8000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.2000,31.2000,0.0000,143.6000,0.0000,68.1000,0.0000,0.24600,-0.13100,0.93900,11.11000,-5.62000,3.63000,-0.94800,-0.03000,0.21600,0.92000,-1.67000,-0.62000,27.2,19.6,1.0,0.0,0.733461,0.315618,1.315084,-0.727436,0.346789,1.180416,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733565,0.315658,1.315491,-0.727792,0.346939,1.180300,1.126009,0.755373,2.267426,-1.671660,-1.989815,-0.716500,-0.535375,1.980551,-1.278037,1.601415,-1.425100,2.675688,0.139829,2.475994,1,1,1.0000,1.0000,-21.0038,-65.3363,-22.5000,-23.8000,0.040000,0.271055,0,0,1,1,0,0,0.0000,0.0000,,,,,7588,7579,0,0,7500,7530,88,36,0,13,0.52643,0.53684,,,,,,,,,,,,,,,,,,,,,,,140463.1075,7006,7006,0,0
1788271966.5991,G_left_near_left_right,G,left,0,left_right,,near,6,130.8000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.2000,31.2000,0.0000,143.6000,0.0000,67.8000,0.0000,0.25000,-0.16700,0.94800,16.07000,-6.91000,1.50000,-0.94300,-0.02800,0.21700,-1.66000,-2.59000,-0.60000,27.2,19.6,1.0,0.0,0.733426,0.315589,1.315010,-0.727582,0.346853,1.180343,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733565,0.315658,1.315491,-0.727792,0.346939,1.180300,1.126562,0.755986,2.267701,-1.671607,-1.989188,-0.717067,-0.535517,1.980506,-1.278050,1.601120,-1.425567,2.675666,0.139438,2.476050,1,1,1.0000,1.0000,-20.9935,-65.4504,-22.5000,-23.8000,0.040000,0.271055,0,0,1,1,0,0,0.0000,0.0000,,,,,7589,7580,0,0,7501,7531,88,36,0,13,0.52643,0.53649,,,,,,,,,,,,,,,,,,,,,,,140463.1219,7007,7007,0,0
1788271966.6207,G_left_near_left_right,G,left,0,left_right,,near,7,130.7000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.2000,31.2000,0.0000,143.7000,0.0000,67.0000,0.0000,0.30000,-0.17600,0.93500,22.06000,-7.44000,-2.43000,-0.93900,-0.02700,0.21200,-4.21000,-2.41000,-0.60000,26.9,19.5,1.0,0.0,0.733466,0.315534,1.315164,-0.727715,0.346911,1.180274,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733565,0.315658,1.315491,-0.727792,0.346939,1.180300,1.126571,0.755995,2.267705,-1.671606,-1.989179,-0.717076,-0.535520,1.980491,-1.278054,1.601028,-1.425807,2.675659,0.139195,2.476068,1,1,1.0000,1.0000,-18.0432,-65.4924,-22.6000,-23.8000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7590,7581,0,0,7502,7532,88,36,0,13,0.52595,0.53649,,,,,,,,,,,,,,,,,,,,,,,140463.1436,7008,7008,0,0
1788271966.6391,G_left_near_left_right,G,left,0,left_right,,near,8,130.6000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.4000,31.2000,0.0000,143.7000,0.0000,67.2000,0.0000,0.24400,-0.13200,0.91000,23.17000,-6.82000,-1.51000,-0.93800,-0.03600,0.20900,-4.31000,-2.69000,-0.91000,26.2,19.4,1.0,0.0,0.733432,0.315496,1.315104,-0.727652,0.346921,1.180297,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733565,0.315658,1.315491,-0.727792,0.346939,1.180300,1.126723,0.756108,2.267790,-1.671718,-1.989024,-0.717283,-0.535486,1.980477,-1.278057,1.600934,-1.426095,2.675652,0.138532,2.476084,1,1,1.0000,1.0000,-20.6915,-64.9470,-22.7000,-23.6000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7591,7582,0,0,7503,7533,88,36,0,13,0.52595,0.53649,,,,,,,,,,,,,,,,,,,,,,,140463.1619,7009,7009,0,0
1788271966.6643,G_left_near_left_right,G,left,0,left_right,,near,9,130.5000,344.2000,59.3000,217.1000,218.9000,0.0000,355.2000,319.3000,31.2000,0.0000,143.7000,0.0000,67.0000,0.0000,0.24200,-0.10400,0.85500,20.44000,-6.53000,0.31000,-0.93700,-0.03600,0.20100,-2.90000,-2.75000,-1.39000,26.9,19.6,1.0,0.0,0.733427,0.315456,1.315120,-0.727603,0.346911,1.180319,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.733426,0.315578,1.315040,-0.727625,0.346864,1.180387,1.126754,0.756067,2.267809,-1.671848,-1.989095,-0.717341,-0.535405,1.980477,-1.278058,1.600949,-1.426062,2.675651,0.138436,2.476084,1,1,1.0000,1.0000,-19.8384,-64.9158,-22.8000,-23.7000,0.040000,0.271072,0,0,1,1,0,0,0.0000,0.0000,,,,,7592,7583,0,0,7504,7534,88,36,0,13,0.52595,0.53649,,,,,,,,,,,,,,,,,,,,,,,140463.1872,7010,7010,0,0
