t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788271996.9382,G_left_near_up_down,G,left,0,up_down,,near,0,115.0000,344.2000,59.3000,217.1000,218.9000,0.0000,0.0000,318.7000,32.4000,0.0000,149.0000,0.0000,81.8000,0.0000,0.27300,-0.11300,0.92300,-10.16000,6.28000,22.53000,-0.93500,-0.02300,0.24600,-3.43000,0.49000,1.24000,29.1,22.2,1.0,0.0,0.730239,0.308536,1.316494,-0.731133,0.347332,1.178058,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.730801,0.309929,1.315891,-0.731058,0.347279,1.178023,1.131608,0.749256,2.269933,-1.696991,-2.007488,-0.730140,-0.514253,1.978361,-1.278237,1.607491,-1.415741,2.675362,0.152505,2.475407,1,1,1.0000,1.0000,-19.1720,-65.7417,-38.3000,-24.3000,0.040000,0.271787,0,0,1,1,0,0,0.0000,0.0000,,,,,9106,9096,0,0,9018,9047,88,36,0,13,0.52162,0.53880,,,,,,,,,,,,,,,,,,,,,,,140493.4610,8524,8524,0,0
1788271996.9583,G_left_near_up_down,G,left,0,up_down,,near,1,114.9000,344.2000,59.3000,217.1000,218.9000,0.0000,0.0000,318.7000,32.4000,0.0000,149.0000,0.0000,82.1000,0.0000,0.24000,-0.14100,0.90000,-8.34000,3.47000,17.85000,-0.96000,-0.03400,0.25000,-2.53000,0.79000,1.95000,28.9,21.4,1.0,0.0,0.729871,0.308196,1.316190,-0.730860,0.347211,1.178186,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.730801,0.309929,1.315891,-0.731058,0.347279,1.178023,1.131723,0.748857,2.269866,-1.698182,-2.008663,-0.730513,-0.513079,1.978376,-1.278237,1.607493,-1.415753,2.675401,0.152626,2.475360,1,1,1.0000,1.0000,-20.7969,-65.1466,-38.4000,-24.3000,0.040000,0.271787,0,0,1,1,0,0,0.0000,0.0000,,,,,9107,9097,0,0,9019,9048,88,36,0,13,0.52162,0.53880,,,,,,,,,,,,,,,,,,,,,,,140493.4811,8525,8525,0,0
1788271996.9784,G_left_near_up_down,G,left,0,up_down,,near,2,114.9000,344.2000,59.3000,217.1000,218.9000,0.0000,264.5000,318.7000,32.4000,0.0000,149.0000,0.0000,82.0000,0.0000,0.23000,-0.14300,0.90100,-6.03000,1.16000,12.94000,-0.93900,-0.02300,0.24400,-0.82000,1.30000,0.93000,28.9,20.8,1.0,0.0,0.729553,0.307934,1.315879,-0.730828,0.347198,1.178195,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.730475,0.309109,1.316387,-0.731191,0.347353,1.178000,1.131911,0.748687,2.269868,-1.699242,-2.009418,-0.730987,-0.512022,1.978374,-1.278249,1.607399,-1.416014,2.675445,0.152204,2.475310,1,1,1.0000,1.0000,-21.4062,-65.7522,-38.4000,-24.3000,0.040000,0.271787,0,0,1,1,0,0,0.0000,0.0000,,,,,9108,9098,0,0,9020,9049,88,36,0,13,0.52162,0.53891,,,,,,,,,,,,,,,,,,,,,,,140493.5012,8526,8526,0,0
1788271996.9992,G_left_near_up_down,G,left,0,up_down,,near,3,114.9000,344.2000,59.3000,217.1000,218.9000,0.0000,0.0000,318.7000,32.4000,0.0000,148.9000,0.0000,81.6000,0.0000,0.23200,-0.15300,0.90500,-3.34000,-0.38000,8.13000,-0.93200,-0.03300,0.23900,0.39000,2.01000,0.00000,29.2,20.3,1.0,0.0,0.729310,0.307733,1.315644,-0.730611,0.347101,1.178297,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.730475,0.309109,1.316387,-0.731191,0.347353,1.178000,1.132447,0.748721,2.269966,-1.701115,-2.010166,-0.732225,-0.510106,1.978354,-1.278265,1.607247,-1.416424,2.675465,0.151696,2.475293,1,1,1.0000,1.0000,-21.3699,-65.1508,-38.4000,-24.3000,0.040000,0.271782,0,0,1,1,0,0,0.0000,0.0000,,,,,9109,9099,0,0,9021,9050,88,36,0,13,0.52107,0.53891,,,,,,,,,,,,,,,,,,,,,,,140493.5221,8527,8527,0,0
1788271997.0191,G_left_near_up_down,G,left,0,up_down,,near,4,115.0000,344.2000,59.3000,217.1000,218.9000,0.0000,0.0000,318.7000,32.4000,0.0000,148.9000,0.0000,80.6000,0.0000,0.25200,-0.16800,0.93800,-0.48000,-1.93000,3.52000,-0.92800,-0.03500,0.24800,2.05000,3.04000,-0.90000,28.9,19.8,1.0,0.0,0.729121,0.307549,1.315499,-0.730326,0.346974,1.178434,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.730475,0.309109,1.316387,-0.731191,0.347353,1.178000,1.132705,0.748825,2.270031,-1.701774,-2.010341,-0.732771,-0.509438,1.978326,-1.278284,1.607054,-1.416958,2.675483,0.151148,2.475283,1,1,1.0000,1.0000,-20.7380,-65.0093,-38.3000,-24.3000,0.040000,0.271782,0,0,1,1,0,0,0.0000,0.0000,,,,,9110,9100,0,0,9022,9051,88,36,0,13,0.52107,0.53891,,,,,,,,,,,,,,,,,,,,,,,140493.5420,8528,8528,0,0
1788271997.0424,G_left_near_up_down,G,left,0,up_down,,near,5,115.0000,344.2000,59.3000,217.1000,218.9000,0.0000,0.0000,318.7000,32.3000,0.0000,148.8000,0.0000,75.4000,0.0000,0.27800,-0.18100,0.92900,3.53000,-3.73000,0.04000,-0.91500,-0.03700,0.24000,3.69000,3.41000,-2.68000,27.9,19.1,1.0,0.0,0.729005,0.307359,1.315531,-0.729992,0.346825,1.178597,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729648,0.308078,1.316117,-0.730863,0.347204,1.178216,1.133095,0.749012,2.270129,-1.702676,-2.010571,-0.733525,-0.508533,1.978312,-1.278292,1.606962,-1.417199,2.675489,0.150911,2.475281,1,1,1.0000,1.0000,-19.1687,-64.8666,-38.3000,-24.3000,0.040000,0.271769,0,0,1,1,0,0,0.0000,0.0000,,,,,9110,9100,0,0,9022,9051,88,36,0,13,0.52107,0.53891,,,,,,,,,,,,,,,,,,,,,,,140493.5652,8529,8529,0,0
1788271997.0583,G_left_near_up_down,G,left,0,up_down,,near,6,115.0000,344.2000,59.3000,217.1000,218.9000,0.0000,327.2000,318.7000,32.3000,0.0000,148.8000,0.0000,71.5000,0.0000,0.29300,-0.16200,0.92900,6.66000,-5.64000,-1.73000,-0.91900,-0.02800,0.24800,5.02000,3.64000,-4.23000,27.9,18.8,1.0,0.0,0.728928,0.307176,1.315645,-0.729929,0.346798,1.178625,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729648,0.308078,1.316117,-0.730863,0.347204,1.178216,1.133847,0.749360,2.270303,-1.704364,-2.011109,-0.734815,-0.506815,1.978246,-1.278325,1.606559,-1.418190,2.675492,0.149855,2.475306,1,1,1.0000,1.0000,-18.2931,-65.4041,-38.3000,-24.3000,0.040000,0.271769,0,0,1,1,0,0,0.0000,0.0000,,,,,9112,9102,0,0,9024,9053,88,36,0,13,0.51998,0.53864,,,,,,,,,,,,,,,,,,,,,,,140493.5812,8530,8530,0,0
1788271997.0786,G_left_near_up_down,G,left,0,up_down,,near,7,115.0000,344.2000,59.3000,217.1000,218.9000,0.0000,334.4000,318.7000,32.3000,0.0000,148.9000,0.0000,69.6000,0.0000,0.29900,-0.13700,0.92500,6.98000,-5.93000,-1.91000,-0.91700,-0.02500,0.24100,5.92000,3.34000,-5.32000,27.4,17.6,1.0,0.0,0.728872,0.307002,1.315797,-0.729922,0.346795,1.178624,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729648,0.308078,1.316117,-0.730863,0.347204,1.178216,1.133974,0.749371,2.270328,-1.704794,-2.011406,-0.735034,-0.506402,1.978192,-1.278349,1.606224,-1.419042,2.675493,0.148962,2.475330,1,1,1.0000,1.0000,-17.8223,-65.5947,-38.3000,-24.3000,0.040000,0.271775,0,0,1,1,0,0,0.0000,0.0000,,,,,9113,9103,0,0,9025,9054,88,36,0,13,0.51998,0.53864,,,,,,,,,,,,,,,,,,,,,,,140493.6014,8531,8531,0,0
1788271997.1137,G_left_near_up_down,G,left,0,up_down,,near,8,115.0000,344.2000,59.3000,217.1000,218.9000,0.0000,339.8000,318.7000,32.2000,0.0000,149.0000,0.0000,69.7000,0.0000,0.31000,-0.13400,0.89900,5.26000,-4.85000,-0.80000,-0.92200,-0.01300,0.23900,4.69000,2.53000,-6.37000,26.6,17.2,1.0,0.0,0.728856,0.306863,1.316000,-0.730205,0.346924,1.178481,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729648,0.308078,1.316117,-0.730863,0.347204,1.178216,1.134185,0.749340,2.270349,-1.705638,-2.012083,-0.735412,-0.505584,1.978135,-1.278376,1.605860,-1.419865,2.675504,0.148132,2.475345,1,1,1.0000,1.0000,-16.7221,-66.3290,-38.3000,-24.3000,0.040000,0.271774,0,0,1,1,0,0,0.0000,0.0000,,,,,9114,9104,0,0,9026,9055,88,36,0,13,0.51998,0.53864,,,,,,,,,,,,,,,,,,,,,,,140493.6366,8532,8532,0,0
1788271997.1189,G_left_near_up_down,G,left,0,up_down,,near,9,114.9000,344.2000,59.3000,217.1000,218.9000,0.0000,343.9000,318.7000,32.1000,0.0000,148.9000,0.0000,70.0000,0.0000,0.30900,-0.13500,0.90600,3.11000,-2.47000,1.05000,-0.91900,-0.01200,0.23200,2.50000,1.52000,-7.17000,25.9,16.6,1.0,0.0,0.728828,0.306707,1.316198,-0.730572,0.347091,1.178298,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729016,0.307349,1.315765,-0.730154,0.346885,1.178600,1.134330,0.749208,2.270328,-1.706451,-2.012878,-0.735702,-0.504787,1.978095,-1.278396,1.605568,-1.420333,2.675526,0.147693,2.475340,1,1,1.0000,1.0000,-16.9135,-66.3936,-38.4000,-24.3000,0.040000,0.271761,0,0,1,1,0,0,0.0000,0.0000,,,,,9115,9105,0,0,9027,9056,88,36,0,13,0.51998,0.53810,,,,,,,,,,,,,,,,,,,,,,,140493.6417,8533,8533,0,0
