t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272556.7823,G_right_back_up_down,G,right,0,up_down,,back,0,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.1000,360.0000,33.3000,0.0000,101.5000,0.0000,253.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.4,15.7,0.0,1.0,0.729556,0.333234,1.354037,-0.730252,0.424137,1.203803,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333235,1.354037,-0.730322,0.424116,1.203928,1.063294,0.776409,2.202712,-1.638112,-2.086892,-0.625585,-0.436765,2.185004,-1.278774,1.584392,-1.144126,2.677261,0.233377,2.457543,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246795,1,1,1,1,0,0,0.0000,0.0000,,,,,37093,37058,0,0,37003,36846,90,199,0,13,0.52771,0.54482,,,,,,,,,,,,,,,,,,,,,,,141053.3051,20604,31315,0,0
1788272556.8060,G_right_back_up_down,G,right,0,up_down,,back,1,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.1000,360.0000,33.3000,0.0000,101.4000,0.0000,253.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.5,16.7,0.0,1.0,0.729556,0.333237,1.354037,-0.730209,0.424150,1.203709,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333235,1.354037,-0.730322,0.424116,1.203928,1.063293,0.776410,2.202713,-1.638110,-2.086891,-0.625584,-0.436765,2.185006,-1.278722,1.584177,-1.144075,2.678196,0.233354,2.456661,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246696,1,1,1,1,0,0,0.0000,0.0000,,,,,37094,37059,0,0,37004,36847,90,199,0,13,0.52771,0.54495,,,,,,,,,,,,,,,,,,,,,,,141053.3288,20604,31316,0,0
1788272556.8351,G_right_back_up_down,G,right,0,up_down,,back,2,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.1000,360.0000,33.3000,0.0000,101.4000,0.0000,253.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.6,15.6,0.0,1.0,0.729556,0.333238,1.354037,-0.730203,0.424152,1.203695,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333235,1.354037,-0.730271,0.424132,1.203833,1.063289,0.776414,2.202714,-1.638103,-2.086888,-0.625581,-0.436768,2.184995,-1.278813,1.584141,-1.143959,2.678624,0.233435,2.456039,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246696,1,1,1,1,0,0,0.0000,0.0000,,,,,37096,37061,0,0,37006,36849,90,199,0,13,0.52771,0.54495,,,,,,,,,,,,,,,,,,,,,,,141053.3579,20604,31316,0,0
1788272556.8435,G_right_back_up_down,G,right,0,up_down,,back,3,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.1000,360.0000,33.3000,0.0000,101.4000,0.0000,253.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.7,14.9,0.0,1.0,0.729556,0.333238,1.354037,-0.730203,0.424152,1.203695,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333235,1.354037,-0.730271,0.424132,1.203833,1.063288,0.776415,2.202714,-1.638100,-2.086886,-0.625580,-0.436769,2.184991,-1.278850,1.584121,-1.143913,2.678825,0.233467,2.455810,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246696,1,1,1,1,0,0,0.0000,0.0000,,,,,37096,37061,0,0,37006,36849,90,199,0,13,0.52771,0.54495,,,,,,,,,,,,,,,,,,,,,,,141053.3663,20604,31316,0,0
1788272556.8640,G_right_back_up_down,G,right,0,up_down,,back,4,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.1000,360.0000,33.3000,0.0000,101.4000,0.0000,253.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.3,14.4,0.0,1.0,0.729556,0.333241,1.354037,-0.730198,0.424154,1.203684,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333235,1.354037,-0.730271,0.424132,1.203833,1.063285,0.776417,2.202714,-1.638095,-2.086884,-0.625577,-0.436771,2.184984,-1.278889,1.584066,-1.143847,2.679234,0.233504,2.455408,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246696,1,1,1,1,0,0,0.0000,0.0000,,,,,37097,37062,0,0,37007,36850,90,199,0,13,0.52771,0.54494,,,,,,,,,,,,,,,,,,,,,,,141053.3869,20604,31317,0,0
1788272556.8883,G_right_back_up_down,G,right,0,up_down,,back,5,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.2000,360.0000,33.2000,0.0000,101.3000,0.0000,253.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.0,15.3,0.0,1.0,0.729555,0.333242,1.354037,-0.730217,0.424148,1.203727,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333235,1.354037,-0.730271,0.424132,1.203833,1.063281,0.776421,2.202716,-1.638086,-2.086880,-0.625574,-0.436775,2.184978,-1.278887,1.583937,-1.143785,2.679928,0.233515,2.454820,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246558,1,1,1,1,0,0,0.0000,0.0000,,,,,37099,37064,0,0,37009,36852,90,199,0,13,0.52771,0.54494,,,,,,,,,,,,,,,,,,,,,,,141053.4111,20605,31319,0,0
1788272556.9043,G_right_back_up_down,G,right,0,up_down,,back,6,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.2000,360.0000,33.2000,0.0000,101.3000,0.0000,253.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.0,15.3,0.0,1.0,0.729555,0.333242,1.354037,-0.730217,0.424148,1.203727,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333241,1.354037,-0.730214,0.424147,1.203725,1.063280,0.776423,2.202716,-1.638084,-2.086879,-0.625573,-0.436776,2.184978,-1.278865,1.583872,-1.143776,2.680179,0.233504,2.454630,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246558,1,1,1,1,0,0,0.0000,0.0000,,,,,37099,37064,0,0,37009,36852,90,199,0,13,0.52771,0.54494,,,,,,,,,,,,,,,,,,,,,,,141053.4272,20605,31319,0,0
1788272556.9236,G_right_back_up_down,G,right,0,up_down,,back,7,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.2000,360.0000,33.1000,0.0000,101.2000,0.0000,253.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.0,14.8,0.0,1.0,0.729555,0.333243,1.354037,-0.730241,0.424140,1.203779,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333241,1.354037,-0.730214,0.424147,1.203725,1.063278,0.776423,2.202716,-1.638082,-2.086878,-0.625572,-0.436777,2.184979,-1.278804,1.583735,-1.143770,2.680654,0.233467,2.454289,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246420,1,1,1,1,0,0,0.0000,0.0000,,,,,37100,37065,0,0,37010,36853,90,199,0,13,0.52771,0.54492,,,,,,,,,,,,,,,,,,,,,,,141053.4465,20605,31320,0,0
1788272556.9424,G_right_back_up_down,G,right,0,up_down,,back,8,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.2000,360.0000,33.1000,0.0000,101.2000,0.0000,253.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.7,15.6,0.0,1.0,0.729555,0.333244,1.354037,-0.730257,0.424135,1.203814,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333241,1.354037,-0.730214,0.424147,1.203725,1.063276,0.776425,2.202717,-1.638078,-2.086876,-0.625570,-0.436778,2.184984,-1.278695,1.583562,-1.143790,2.681180,0.233394,2.453966,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246420,1,1,1,1,0,0,0.0000,0.0000,,,,,37101,37066,0,0,37011,36854,90,199,0,13,0.52771,0.54492,,,,,,,,,,,,,,,,,,,,,,,141053.4652,20605,31320,0,0
1788272556.9684,G_right_back_up_down,G,right,0,up_down,,back,9,159.9000,344.2000,59.3000,217.1000,218.9000,0.0000,348.2000,360.0000,33.1000,0.0000,101.2000,0.0000,253.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.8,14.9,0.0,1.0,0.729555,0.333245,1.354037,-0.730269,0.424132,1.203840,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729556,0.333241,1.354037,-0.730214,0.424147,1.203725,1.063274,0.776427,2.202717,-1.638074,-2.086874,-0.625568,-0.436780,2.184992,-1.278549,1.583361,-1.143831,2.681746,0.233293,2.453651,1,1,1.0000,1.0000,39.0406,-64.3857,6.6000,17.0000,0.040000,0.246420,1,1,1,1,0,0,0.0000,0.0000,,,,,37102,37067,0,0,37012,36855,90,199,0,13,0.52771,0.54492,,,,,,,,,,,,,,,,,,,,,,,141053.4912,20605,31321,0,0
