t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272323.6310,G_right_centre_left_right,G,right,0,left_right,,centre,0,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.2000,355.9000,43.5000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.8,4.1,0.0,1.0,0.729169,0.335717,1.354037,-0.728992,0.415914,1.205632,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729168,0.335719,1.354037,-0.728945,0.415433,1.205716,1.057717,0.779741,2.205869,-1.629512,-2.082952,-0.623147,-0.441232,2.165014,-1.268354,1.571410,-1.187373,2.699564,0.205813,2.452064,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,12.9000,0.040000,0.244512,1,1,1,1,0,0,0.0000,0.0000,,,,,25436,25403,0,0,25346,25354,90,36,0,13,0.52818,0.54533,,,,,,,,,,,,,,,,,,,,,,,140820.1538,17964,22499,0,0
1788272323.6525,G_right_centre_left_right,G,right,0,left_right,,centre,1,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.0000,355.9000,43.5000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.6,7.8,0.0,1.0,0.729169,0.335714,1.354037,-0.729021,0.416047,1.205631,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729168,0.335718,1.354037,-0.728966,0.415652,1.205613,1.057718,0.779737,2.205870,-1.629516,-2.082954,-0.623150,-0.441232,2.165184,-1.268400,1.571416,-1.186985,2.699777,0.206016,2.451784,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,12.9000,0.040000,0.244512,1,1,1,1,0,0,0.0000,0.0000,,,,,25437,25404,0,0,25347,25355,90,36,0,13,0.52818,0.54533,,,,,,,,,,,,,,,,,,,,,,,140820.1753,17965,22499,0,0
1788272323.6712,G_right_centre_left_right,G,right,0,left_right,,centre,2,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.0000,43.5000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.2,6.4,0.0,1.0,0.729170,0.335712,1.354037,-0.729057,0.416209,1.205630,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729168,0.335718,1.354037,-0.728966,0.415652,1.205613,1.057721,0.779734,2.205871,-1.629522,-2.082956,-0.623154,-0.441231,2.165478,-1.268442,1.571433,-1.186483,2.699956,0.206317,2.451547,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.0000,0.040000,0.244512,1,1,1,1,0,0,0.0000,0.0000,,,,,25438,25405,0,0,25348,25356,90,36,0,13,0.52818,0.54536,,,,,,,,,,,,,,,,,,,,,,,140820.1940,17966,22500,0,0
1788272323.6911,G_right_centre_left_right,G,right,0,left_right,,centre,3,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.0000,43.5000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.2,4.8,0.0,1.0,0.729170,0.335709,1.354037,-0.729085,0.416331,1.205630,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729168,0.335718,1.354037,-0.728966,0.415652,1.205613,1.057727,0.779725,2.205872,-1.629536,-2.082962,-0.623162,-0.441229,2.165565,-1.268454,1.571439,-1.186325,2.700005,0.206406,2.451479,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.0000,0.040000,0.244512,1,1,1,1,0,0,0.0000,0.0000,,,,,25439,25406,0,0,25349,25357,90,36,0,13,0.52818,0.54536,,,,,,,,,,,,,,,,,,,,,,,140820.2140,17966,22500,0,0
1788272323.7123,G_right_centre_left_right,G,right,0,left_right,,centre,4,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.0000,43.4000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.9,4.6,0.0,1.0,0.729171,0.335707,1.354037,-0.729107,0.416418,1.205635,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729168,0.335718,1.354037,-0.728966,0.415652,1.205613,1.057729,0.779723,2.205873,-1.629539,-2.082964,-0.623164,-0.441228,2.165896,-1.268492,1.571463,-1.185573,2.700134,0.206750,2.451261,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.0000,0.040000,0.244480,1,1,1,1,0,0,0.0000,0.0000,,,,,25440,25407,0,0,25350,25358,90,36,0,13,0.52818,0.54536,,,,,,,,,,,,,,,,,,,,,,,140820.2352,17966,22501,0,0
1788272323.7391,G_right_centre_left_right,G,right,0,left_right,,centre,5,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.1000,43.4000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.7,4.4,0.0,1.0,0.729171,0.335705,1.354037,-0.729135,0.416532,1.205640,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729170,0.335710,1.354037,-0.729063,0.416048,1.205570,1.057734,0.779716,2.205874,-1.629550,-2.082969,-0.623170,-0.441226,2.166342,-1.268540,1.571492,-1.184589,2.700317,0.207212,2.450960,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.1000,0.040000,0.244480,1,1,1,1,0,0,0.0000,0.0000,,,,,25440,25407,0,0,25350,25358,90,36,0,13,0.52818,0.54536,,,,,,,,,,,,,,,,,,,,,,,140820.2619,17966,22502,0,0
1788272323.7529,G_right_centre_left_right,G,right,0,left_right,,centre,6,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.2000,43.4000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.5,3.8,0.0,1.0,0.729172,0.335703,1.354037,-0.729166,0.416658,1.205643,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729170,0.335710,1.354037,-0.729063,0.416048,1.205570,1.057738,0.779710,2.205875,-1.629560,-2.082973,-0.623175,-0.441224,2.166746,-1.268578,1.571518,-1.183818,2.700477,0.207620,2.450699,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.2000,0.040000,0.244480,1,1,1,1,0,0,0.0000,0.0000,,,,,25442,25409,0,0,25352,25360,90,36,0,13,0.52817,0.54547,,,,,,,,,,,,,,,,,,,,,,,140820.2757,17966,22503,0,0
1788272323.7725,G_right_centre_left_right,G,right,0,left_right,,centre,7,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.2000,43.4000,0.0000,95.7000,0.0000,237.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.5,3.8,0.0,1.0,0.729172,0.335703,1.354037,-0.729166,0.416658,1.205643,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729170,0.335710,1.354037,-0.729063,0.416048,1.205570,1.057738,0.779710,2.205875,-1.629560,-2.082973,-0.623175,-0.441224,2.166746,-1.268578,1.571518,-1.183818,2.700477,0.207620,2.450699,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.2000,0.040000,0.244480,1,1,1,1,0,0,0.0000,0.0000,,,,,25442,25409,0,0,25352,25360,90,36,0,13,0.52817,0.54547,,,,,,,,,,,,,,,,,,,,,,,140820.2953,17966,22503,0,0
1788272323.7911,G_right_centre_left_right,G,right,0,left_right,,centre,8,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.3000,43.3000,0.0000,95.7000,0.0000,237.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.0,3.6,0.0,1.0,0.729172,0.335699,1.354037,-0.729223,0.416880,1.205656,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729172,0.335702,1.354037,-0.729170,0.416537,1.205584,1.057744,0.779702,2.205876,-1.629572,-2.082978,-0.623183,-0.441222,2.167339,-1.268623,1.571544,-1.182767,2.700788,0.208191,2.450270,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.3000,0.040000,0.244448,1,1,1,1,0,0,0.0000,0.0000,,,,,25444,25411,0,0,25354,25362,90,36,0,13,0.52817,0.54547,,,,,,,,,,,,,,,,,,,,,,,140820.3139,17966,22505,0,0
1788272323.8115,G_right_centre_left_right,G,right,0,left_right,,centre,9,164.4000,344.2000,59.3000,217.1000,218.9000,0.0000,349.1000,356.4000,43.3000,0.0000,95.7000,0.0000,237.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.7,3.0,0.0,1.0,0.729173,0.335697,1.354037,-0.729255,0.417005,1.205662,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729172,0.335702,1.354037,-0.729170,0.416537,1.205584,1.057746,0.779699,2.205877,-1.629577,-2.082980,-0.623186,-0.441221,2.167626,-1.268640,1.571550,-1.182218,2.700971,0.208468,2.450033,1,1,1.0000,1.0000,39.0406,-64.3857,11.1000,13.4000,0.040000,0.244448,1,1,1,1,0,0,0.0000,0.0000,,,,,25445,25412,0,0,25355,25363,90,36,0,13,0.52817,0.54560,,,,,,,,,,,,,,,,,,,,,,,140820.3344,17966,22506,0,0
