t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272587.9609,G_right_high_left_right,G,right,0,left_right,,high,0,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,128.1000,0.0000,93.4000,0.0000,242.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,25.6,17.8,0.0,1.0,0.729589,0.332936,1.354037,-0.730794,0.401557,1.213593,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729587,0.332957,1.354040,-0.729909,0.397784,1.212484,1.063792,0.775884,2.202685,-1.639142,-2.087381,-0.626098,-0.436402,2.127292,-1.245526,1.562224,-1.272065,2.669669,0.156656,2.511389,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.233105,1,1,1,1,0,0,0.0000,0.0000,,,,,38652,38617,0,0,38562,38405,90,199,0,13,0.52765,0.54559,,,,,,,,,,,,,,,,,,,,,,,141084.4837,20865,32294,0,0
1788272587.9829,G_right_high_left_right,G,right,0,left_right,,high,1,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,128.1000,0.0000,93.4000,0.0000,242.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.6,20.7,0.0,1.0,0.729589,0.332933,1.354037,-0.731322,0.403746,1.214174,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729588,0.332938,1.354037,-0.730058,0.398346,1.212687,1.063795,0.775881,2.202684,-1.639148,-2.087384,-0.626101,-0.436399,2.127725,-1.245493,1.562192,-1.271399,2.669788,0.156940,2.511255,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.233105,1,1,1,1,0,0,0.0000,0.0000,,,,,38653,38618,0,0,38563,38406,90,199,0,13,0.52765,0.54559,,,,,,,,,,,,,,,,,,,,,,,141084.5058,20865,32295,0,0
1788272588.0017,G_right_high_left_right,G,right,0,left_right,,high,2,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,128.2000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.6,20.7,0.0,1.0,0.729589,0.332930,1.354037,-0.731721,0.405379,1.214619,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729588,0.332938,1.354037,-0.730058,0.398346,1.212687,1.063799,0.775879,2.202683,-1.639154,-2.087387,-0.626103,-0.436397,2.127977,-1.245481,1.562185,-1.271014,2.669827,0.157114,2.511189,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.233053,1,1,1,1,0,0,0.0000,0.0000,,,,,38654,38619,0,0,38564,38407,90,199,0,13,0.52765,0.54579,,,,,,,,,,,,,,,,,,,,,,,141084.5245,20865,32296,0,0
1788272588.0263,G_right_high_left_right,G,right,0,left_right,,high,3,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.2000,352.9000,128.4000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29.4,21.2,0.0,1.0,0.729590,0.332924,1.354037,-0.732240,0.407440,1.215213,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729588,0.332938,1.354037,-0.730058,0.398346,1.212687,1.063816,0.775867,2.202675,-1.639182,-2.087400,-0.626113,-0.436383,2.130637,-1.245421,1.562187,-1.267607,2.669966,0.159137,2.510822,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.232948,1,1,1,1,0,0,0.0000,0.0000,,,,,38655,38620,0,0,38565,38408,90,199,0,13,0.52765,0.54579,,,,,,,,,,,,,,,,,,,,,,,141084.5492,20866,32298,0,0
1788272588.0420,G_right_high_left_right,G,right,0,left_right,,high,4,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.2000,352.9000,128.4000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.0,20.9,0.0,1.0,0.729590,0.332924,1.354037,-0.732240,0.407440,1.215213,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729588,0.332938,1.354037,-0.730058,0.398346,1.212687,1.063819,0.775865,2.202674,-1.639187,-2.087403,-0.626115,-0.436380,2.131746,-1.245401,1.562188,-1.265921,2.670007,0.159947,2.510706,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.232948,1,1,1,1,0,0,0.0000,0.0000,,,,,38656,38621,0,0,38566,38409,90,199,0,13,0.52765,0.54579,,,,,,,,,,,,,,,,,,,,,,,141084.5648,20866,32298,0,0
1788272588.0609,G_right_high_left_right,G,right,0,left_right,,high,5,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.2000,352.9000,128.5000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.0,20.9,0.0,1.0,0.729590,0.332922,1.354037,-0.732418,0.408115,1.215424,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729590,0.332925,1.354037,-0.730254,0.400150,1.213613,1.063824,0.775862,2.202670,-1.639197,-2.087407,-0.626118,-0.436375,2.134139,-1.245359,1.562190,-1.262022,2.670092,0.161672,2.510467,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.232895,1,1,1,1,0,0,0.0000,0.0000,,,,,38657,38622,0,0,38567,38410,90,199,0,13,0.52765,0.54579,,,,,,,,,,,,,,,,,,,,,,,141084.5837,20866,32299,0,0
1788272588.0810,G_right_high_left_right,G,right,0,left_right,,high,6,159.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,128.6000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29.3,18.7,0.0,1.0,0.729591,0.332919,1.354037,-0.732571,0.408671,1.215610,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729590,0.332925,1.354037,-0.730254,0.400150,1.213613,1.063830,0.775858,2.202667,-1.639206,-2.087411,-0.626120,-0.436370,2.136658,-1.245311,1.562191,-1.257472,2.670179,0.163456,2.510227,1,1,1.0000,1.0000,39.0406,-64.3857,5.9000,9.9000,0.040000,0.232843,1,1,1,1,0,0,0.0000,0.0000,,,,,38658,38623,0,0,38568,38411,90,199,0,13,0.52764,0.54625,,,,,,,,,,,,,,,,,,,,,,,141084.6040,20867,32300,0,0
1788272588.1010,G_right_high_left_right,G,right,0,left_right,,high,7,159.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,128.8000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29.7,18.8,0.0,1.0,0.729591,0.332913,1.354037,-0.732694,0.409075,1.215770,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729590,0.332925,1.354037,-0.730254,0.400150,1.213613,1.063833,0.775857,2.202665,-1.639210,-2.087413,-0.626121,-0.436367,2.139480,-1.245250,1.562186,-1.252074,2.670283,0.165443,2.509960,1,1,1.0000,1.0000,39.0406,-64.3857,5.8000,9.9000,0.040000,0.232737,1,1,1,1,0,0,0.0000,0.0000,,,,,38659,38624,0,0,38569,38412,90,199,0,13,0.52764,0.54625,,,,,,,,,,,,,,,,,,,,,,,141084.6238,20868,32301,0,0
1788272588.1209,G_right_high_left_right,G,right,0,left_right,,high,8,159.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,129.0000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.3,17.8,0.0,1.0,0.729592,0.332908,1.354037,-0.732782,0.409332,1.215893,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729591,0.332916,1.354037,-0.731613,0.403822,1.213697,1.063841,0.775851,2.202662,-1.639224,-2.087420,-0.626127,-0.436360,2.141319,-1.245208,1.562181,-1.248492,2.670355,0.166737,2.509785,1,1,1.0000,1.0000,39.0406,-64.3857,5.8000,9.9000,0.040000,0.232631,1,1,1,1,0,0,0.0000,0.0000,,,,,38660,38625,0,0,38570,38413,90,199,0,13,0.52764,0.54625,,,,,,,,,,,,,,,,,,,,,,,141084.6438,20868,32302,0,0
1788272588.1465,G_right_high_left_right,G,right,0,left_right,,high,9,159.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.1000,352.9000,129.1000,0.0000,93.4000,0.0000,242.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26.7,16.9,0.0,1.0,0.729592,0.332902,1.354037,-0.732872,0.409574,1.216023,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729591,0.332916,1.354037,-0.731613,0.403822,1.213697,1.063846,0.775847,2.202661,-1.639234,-2.087425,-0.626131,-0.436356,2.142798,-1.245165,1.562172,-1.245680,2.670420,0.167766,2.509647,1,1,1.0000,1.0000,39.0406,-64.3857,5.8000,9.9000,0.040000,0.232631,1,1,1,1,0,0,0.0000,0.0000,,,,,38661,38626,0,0,38571,38414,90,199,0,13,0.52764,0.54753,,,,,,,,,,,,,,,,,,,,,,,141084.6694,20868,32303,0,0
