t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272639.1555,G_right_low_up_down,G,right,0,up_down,,low,0,162.5000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.4,4.0,0.0,1.0,0.729358,0.334667,1.354037,-0.749276,0.311582,1.183785,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334668,1.354037,-0.749307,0.311560,1.183798,1.060051,0.778242,2.204632,-1.633129,-2.084568,-0.624220,-0.439499,1.890247,-1.227671,1.621109,-1.529765,2.680973,0.119501,2.525447,1,1,1.0000,1.0000,39.0406,-64.3857,9.2000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41212,41175,0,0,41122,40955,90,207,0,13,0.52800,0.55429,,,,,,,,,,,,,,,,,,,,,,,141135.6784,21382,34159,0,0
1788272639.1853,G_right_low_up_down,G,right,0,up_down,,low,1,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.9,3.6,0.0,1.0,0.729359,0.334662,1.354037,-0.749217,0.311626,1.183760,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334668,1.354037,-0.749307,0.311560,1.183798,1.060053,0.778239,2.204632,-1.633134,-2.084570,-0.624222,-0.439498,1.890264,-1.227694,1.621105,-1.529748,2.680957,0.119503,2.525438,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41213,41176,0,0,41123,40956,90,207,0,13,0.52800,0.55430,,,,,,,,,,,,,,,,,,,,,,,141135.7081,21383,34159,0,0
1788272639.1961,G_right_low_up_down,G,right,0,up_down,,low,2,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.9,3.6,0.0,1.0,0.729359,0.334662,1.354037,-0.749217,0.311626,1.183760,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334668,1.354037,-0.749307,0.311560,1.183798,1.060054,0.778238,2.204632,-1.633136,-2.084571,-0.624224,-0.439497,1.890317,-1.227764,1.621089,-1.529696,2.680922,0.119507,2.525404,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41214,41177,0,0,41124,40957,90,207,0,13,0.52800,0.55430,,,,,,,,,,,,,,,,,,,,,,,141135.7190,21383,34159,0,0
1788272639.2267,G_right_low_up_down,G,right,0,up_down,,low,3,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,3.4,0.0,1.0,0.729359,0.334659,1.354037,-0.749191,0.311645,1.183749,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334663,1.354037,-0.749242,0.311609,1.183771,1.060060,0.778232,2.204632,-1.633148,-2.084576,-0.624229,-0.439494,1.890374,-1.227833,1.621072,-1.529639,2.680883,0.119511,2.525367,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41215,41178,0,0,41125,40958,90,207,0,13,0.52800,0.55430,,,,,,,,,,,,,,,,,,,,,,,141135.7495,21383,34159,0,0
1788272639.2374,G_right_low_up_down,G,right,0,up_down,,low,4,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,3.4,0.0,1.0,0.729359,0.334659,1.354037,-0.749191,0.311645,1.183749,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334663,1.354037,-0.749242,0.311609,1.183771,1.060060,0.778232,2.204632,-1.633148,-2.084576,-0.624229,-0.439494,1.890374,-1.227833,1.621072,-1.529639,2.680883,0.119511,2.525367,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41215,41178,0,0,41125,40958,90,207,0,13,0.52800,0.55430,,,,,,,,,,,,,,,,,,,,,,,141135.7602,21383,34159,0,0
1788272639.2579,G_right_low_up_down,G,right,0,up_down,,low,5,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.2,3.8,0.0,1.0,0.729360,0.334652,1.354037,-0.749166,0.311664,1.183739,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334663,1.354037,-0.749242,0.311609,1.183771,1.060067,0.778225,2.204631,-1.633161,-2.084582,-0.624235,-0.439489,1.890425,-1.227899,1.621056,-1.529589,2.680850,0.119515,2.525332,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41216,41179,0,0,41126,40959,90,207,0,13,0.52800,0.55424,,,,,,,,,,,,,,,,,,,,,,,141135.7808,21383,34160,0,0
1788272639.2758,G_right_low_up_down,G,right,0,up_down,,low,6,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,211.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.9,3.6,0.0,1.0,0.729361,0.334649,1.354037,-0.749123,0.311696,1.183721,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729358,0.334663,1.354037,-0.749242,0.311609,1.183771,1.060079,0.778213,2.204629,-1.633184,-2.084592,-0.624246,-0.439482,1.890523,-1.228025,1.621024,-1.529494,2.680784,0.119522,2.525267,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41218,41181,0,0,41128,40961,90,207,0,13,0.52800,0.55424,,,,,,,,,,,,,,,,,,,,,,,141135.7986,21383,34161,0,0
1788272639.2962,G_right_low_up_down,G,right,0,up_down,,low,7,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,211.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.4,4.0,0.0,1.0,0.729361,0.334646,1.354037,-0.749101,0.311711,1.183712,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729360,0.334652,1.354037,-0.749149,0.311677,1.183732,1.060082,0.778210,2.204629,-1.633189,-2.084595,-0.624249,-0.439480,1.890564,-1.228074,1.621011,-1.529454,2.680756,0.119525,2.525239,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41219,41182,0,0,41129,40962,90,207,0,13,0.52800,0.55424,,,,,,,,,,,,,,,,,,,,,,,141135.8190,21383,34161,0,0
1788272639.3180,G_right_low_up_down,G,right,0,up_down,,low,8,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.0000,0.0000,138.5000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.8,4.0,0.0,1.0,0.729362,0.334643,1.354037,-0.749081,0.311726,1.183704,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729360,0.334652,1.354037,-0.749149,0.311677,1.183732,1.060086,0.778206,2.204626,-1.633198,-2.084602,-0.624251,-0.439474,1.890604,-1.228125,1.620998,-1.529414,2.680728,0.119529,2.525213,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268946,1,1,1,1,0,0,0.0000,0.0000,,,,,41220,41183,0,0,41130,40963,90,207,0,13,0.52800,0.55416,,,,,,,,,,,,,,,,,,,,,,,141135.8409,21383,34162,0,0
1788272639.3491,G_right_low_up_down,G,right,0,up_down,,low,9,162.4000,344.2000,59.3000,217.1000,218.9000,0.0000,347.8000,298.8000,26.1000,0.0000,138.5000,0.0000,212.0000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.5,3.7,0.0,1.0,0.729362,0.334639,1.354037,-0.749049,0.311748,1.183688,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729360,0.334652,1.354037,-0.749149,0.311677,1.183732,1.060091,0.778201,2.204625,-1.633208,-2.084606,-0.624255,-0.439470,1.890643,-1.228182,1.620984,-1.529376,2.680700,0.119532,2.525187,1,1,1.0000,1.0000,39.0406,-64.3857,9.1000,-44.2000,0.040000,0.268967,1,1,1,1,0,0,0.0000,0.0000,,,,,41222,41185,0,0,41132,40965,90,207,0,13,0.52800,0.55416,,,,,,,,,,,,,,,,,,,,,,,141135.8720,21383,34163,0,0
