t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272388.1204,G_right_near_left_right,G,right,0,left_right,,near,0,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.6000,48.9000,0.0000,97.4000,0.0000,108.8000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.7,4.5,0.0,1.0,0.729542,0.333360,1.354037,-0.832925,0.285861,1.202682,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729542,0.333359,1.354037,-0.832926,0.285861,1.202679,1.062997,0.776551,2.202913,-1.637672,-2.086682,-0.625483,-0.437035,1.802000,-1.081790,1.696987,-1.508192,2.782470,0.220274,2.574814,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.4000,0.040000,0.247758,1,1,1,1,0,0,0.0000,0.0000,,,,,28659,28624,0,0,28569,28575,90,36,0,13,0.52774,0.62430,,,,,,,,,,,,,,,,,,,,,,,140884.6432,18659,24965,0,0
1788272388.1472,G_right_near_left_right,G,right,0,left_right,,near,1,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.6000,48.9000,0.0000,97.4000,0.0000,108.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.2,4.4,0.0,1.0,0.729541,0.333361,1.354037,-0.832925,0.285863,1.202686,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729542,0.333359,1.354037,-0.832926,0.285861,1.202679,1.062993,0.776554,2.202911,-1.637667,-2.086686,-0.625477,-0.437030,1.801997,-1.081752,1.696934,-1.508195,2.782762,0.220251,2.574571,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.4000,0.040000,0.247758,1,1,1,1,0,0,0.0000,0.0000,,,,,28661,28626,0,0,28571,28577,90,36,0,13,0.52774,0.62430,,,,,,,,,,,,,,,,,,,,,,,140884.6701,18659,24967,0,0
1788272388.1626,G_right_near_left_right,G,right,0,left_right,,near,2,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.6000,48.9000,0.0000,97.4000,0.0000,108.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.9,5.5,0.0,1.0,0.729541,0.333361,1.354037,-0.832925,0.285863,1.202686,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729542,0.333359,1.354037,-0.832926,0.285861,1.202679,1.062990,0.776555,2.202909,-1.637665,-2.086691,-0.625474,-0.437026,1.801999,-1.081739,1.696917,-1.508195,2.782815,0.220242,2.574524,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.4000,0.040000,0.247758,1,1,1,1,0,0,0.0000,0.0000,,,,,28662,28627,0,0,28572,28578,90,36,0,13,0.52774,0.62430,,,,,,,,,,,,,,,,,,,,,,,140884.6855,18659,24967,0,0
1788272388.1834,G_right_near_left_right,G,right,0,left_right,,near,3,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.5000,48.9000,0.0000,97.4000,0.0000,108.3000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.9,4.9,0.0,1.0,0.729541,0.333361,1.354037,-0.832951,0.285864,1.202688,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729542,0.333359,1.354037,-0.832926,0.285861,1.202679,1.062994,0.776554,2.202913,-1.637666,-2.086679,-0.625480,-0.437037,1.802000,-1.081721,1.696895,-1.508196,2.782867,0.220231,2.574478,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.5000,0.040000,0.247758,1,1,1,1,0,0,0.0000,0.0000,,,,,28663,28628,0,0,28573,28579,90,36,0,13,0.52774,0.62430,,,,,,,,,,,,,,,,,,,,,,,140884.7063,18659,24968,0,0
1788272388.2037,G_right_near_left_right,G,right,0,left_right,,near,4,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.4000,48.9000,0.0000,97.4000,0.0000,108.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.2,4.7,0.0,1.0,0.729541,0.333362,1.354037,-0.832993,0.285865,1.202690,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729541,0.333361,1.354037,-0.832924,0.285863,1.202683,1.062995,0.776556,2.202910,-1.637665,-2.086679,-0.625478,-0.437036,1.802000,-1.081698,1.696877,-1.508186,2.782972,0.220231,2.574398,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.6000,0.040000,0.247758,1,1,1,1,0,0,0.0000,0.0000,,,,,28664,28629,0,0,28574,28580,90,36,0,13,0.52774,0.62430,,,,,,,,,,,,,,,,,,,,,,,140884.7266,18659,24969,0,0
1788272388.2238,G_right_near_left_right,G,right,0,left_right,,near,5,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.3000,49.0000,0.0000,97.4000,0.0000,107.9000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.2,4.7,0.0,1.0,0.729541,0.333362,1.354037,-0.833059,0.285865,1.202688,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729541,0.333361,1.354037,-0.832924,0.285863,1.202683,1.062995,0.776556,2.202911,-1.637664,-2.086678,-0.625477,-0.437036,1.801994,-1.081654,1.696871,-1.508144,2.783151,0.220269,2.574275,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.7000,0.040000,0.247783,1,1,1,1,0,0,0.0000,0.0000,,,,,28665,28630,0,0,28575,28581,90,36,0,13,0.52774,0.62431,,,,,,,,,,,,,,,,,,,,,,,140884.7466,18659,24970,0,0
1788272388.2428,G_right_near_left_right,G,right,0,left_right,,near,6,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.3000,49.1000,0.0000,97.4000,0.0000,107.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,3.8,0.0,1.0,0.729541,0.333362,1.354037,-0.833114,0.285864,1.202684,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729541,0.333361,1.354037,-0.832924,0.285863,1.202683,1.062993,0.776556,2.202912,-1.637663,-2.086678,-0.625477,-0.437038,1.801982,-1.081594,1.696887,-1.508060,2.783282,0.220359,2.574201,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.7000,0.040000,0.247809,1,1,1,1,0,0,0.0000,0.0000,,,,,28666,28631,0,0,28576,28582,90,36,0,13,0.52774,0.62431,,,,,,,,,,,,,,,,,,,,,,,140884.7656,18659,24971,0,0
1788272388.2657,G_right_near_left_right,G,right,0,left_right,,near,7,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.3000,49.2000,0.0000,97.4000,0.0000,107.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.5,3.3,0.0,1.0,0.729541,0.333363,1.354037,-0.833201,0.285860,1.202674,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729541,0.333362,1.354037,-0.833039,0.285867,1.202688,1.062993,0.776558,2.202911,-1.637661,-2.086677,-0.625476,-0.437038,1.801963,-1.081495,1.696915,-1.507912,2.783505,0.220519,2.574094,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.7000,0.040000,0.247809,1,1,1,1,0,0,0.0000,0.0000,,,,,28667,28632,0,0,28577,28583,90,36,0,13,0.52774,0.62431,,,,,,,,,,,,,,,,,,,,,,,140884.7885,18659,24973,0,0
1788272388.2842,G_right_near_left_right,G,right,0,left_right,,near,8,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.3000,49.2000,0.0000,97.4000,0.0000,107.2000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.5,3.3,0.0,1.0,0.729541,0.333363,1.354037,-0.833201,0.285860,1.202674,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729541,0.333362,1.354037,-0.833039,0.285867,1.202688,1.062993,0.776558,2.202911,-1.637661,-2.086677,-0.625476,-0.437038,1.801963,-1.081495,1.696915,-1.507912,2.783505,0.220519,2.574094,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.7000,0.040000,0.247834,1,1,1,1,0,0,0.0000,0.0000,,,,,28668,28633,0,0,28578,28584,90,36,0,13,0.52774,0.62441,,,,,,,,,,,,,,,,,,,,,,,140884.8070,18659,24973,0,0
1788272388.3035,G_right_near_left_right,G,right,0,left_right,,near,9,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,252.3000,49.2000,0.0000,97.4000,0.0000,107.1000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.1,3.5,0.0,1.0,0.729541,0.333363,1.354037,-0.833235,0.285858,1.202669,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729541,0.333362,1.354037,-0.833039,0.285867,1.202688,1.062992,0.776558,2.202912,-1.637659,-2.086676,-0.625475,-0.437039,1.801921,-1.081404,1.696967,-1.507757,2.783718,0.220704,2.573954,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-90.7000,0.040000,0.247834,1,1,1,1,0,0,0.0000,0.0000,,,,,28669,28634,0,0,28579,28585,90,36,0,13,0.52774,0.62441,,,,,,,,,,,,,,,,,,,,,,,140884.8264,18659,24974,0,0
