t,segment,block,arm,rep,direction,speed,station,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_elev_deg,right_elev_deg,left_azim_deg,right_azim_deg,left_reach_m,right_reach_m,left_elev_held,right_elev_held,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,left_real_joint_1,left_real_joint_2,left_real_joint_3,left_real_joint_4,left_real_joint_5,left_real_joint_6,left_real_joint_7,right_real_joint_1,right_real_joint_2,right_real_joint_3,right_real_joint_4,right_real_joint_5,right_real_joint_6,right_real_joint_7,left_real_ee_x,left_real_ee_y,left_real_ee_z,right_real_ee_x,right_real_ee_y,right_real_ee_z,real_bridge_enabled,real_session_connected,t_mono,master_seq_left,master_seq_right,n_rejected_raw,estop
1788272413.3497,G_right_near_up_down,G,right,0,up_down,,near,0,160.2000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,279.6000,34.2000,0.0000,92.7000,0.0000,135.4000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.2,4.1,0.0,1.0,0.729539,0.333385,1.354037,-0.781468,0.303411,1.211387,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729539,0.333384,1.354037,-0.780778,0.303747,1.211321,1.062957,0.776595,2.202915,-1.637588,-2.086643,-0.625441,-0.437064,1.876688,-1.128342,1.624012,-1.553354,2.714158,0.105144,2.592553,1,1,1.0000,1.0000,39.0406,-64.3857,6.9000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29921,29887,0,0,29831,29836,90,38,0,13,0.52775,0.58324,,,,,,,,,,,,,,,,,,,,,,,140909.8726,18916,25769,0,0
1788272413.3703,G_right_near_up_down,G,right,0,up_down,,near,1,160.2000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,279.6000,34.2000,0.0000,92.7000,0.0000,135.5000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.7,4.1,0.0,1.0,0.729538,0.333387,1.354037,-0.782098,0.303096,1.211431,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729539,0.333384,1.354037,-0.780778,0.303747,1.211321,1.062956,0.776595,2.202915,-1.637586,-2.086642,-0.625440,-0.437064,1.876705,-1.128337,1.624001,-1.553351,2.714150,0.105132,2.592565,1,1,1.0000,1.0000,39.0406,-64.3857,6.9000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29923,29888,0,0,29833,29837,90,38,0,13,0.52775,0.58324,,,,,,,,,,,,,,,,,,,,,,,140909.8932,18916,25770,0,0
1788272413.3931,G_right_near_up_down,G,right,0,up_down,,near,2,160.2000,344.2000,59.3000,217.1000,218.9000,0.0000,346.9000,279.6000,34.2000,0.0000,92.7000,0.0000,135.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.0,4.5,0.0,1.0,0.729538,0.333389,1.354037,-0.782601,0.302844,1.211466,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729539,0.333384,1.354037,-0.780778,0.303747,1.211321,1.062951,0.776599,2.202916,-1.637578,-2.086638,-0.625436,-0.437068,1.876627,-1.128251,1.624063,-1.553378,2.714203,0.105193,2.592643,1,1,1.0000,1.0000,39.0406,-64.3857,6.9000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29923,29888,0,0,29833,29837,90,38,0,13,0.52775,0.58324,,,,,,,,,,,,,,,,,,,,,,,140909.9159,18916,25771,0,0
1788272413.4221,G_right_near_up_down,G,right,0,up_down,,near,3,160.2000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.2000,0.0000,92.7000,0.0000,135.6000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.8,4.2,0.0,1.0,0.729538,0.333391,1.354037,-0.783102,0.302594,1.211501,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333386,1.354037,-0.780816,0.303733,1.211350,1.062949,0.776601,2.202917,-1.637574,-2.086636,-0.625435,-0.437069,1.876355,-1.128021,1.624279,-1.553409,2.714324,0.105415,2.592762,1,1,1.0000,1.0000,39.0406,-64.3857,6.9000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29924,29889,0,0,29834,29838,90,38,0,13,0.52775,0.58324,,,,,,,,,,,,,,,,,,,,,,,140909.9449,18917,25771,0,0
1788272413.4338,G_right_near_up_down,G,right,0,up_down,,near,4,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.3000,0.0000,92.7000,0.0000,135.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,3.6,0.0,1.0,0.729538,0.333390,1.354037,-0.783434,0.302426,1.211520,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333386,1.354037,-0.780816,0.303733,1.211350,1.062946,0.776605,2.202917,-1.637567,-2.086633,-0.625431,-0.437072,1.875627,-1.127429,1.624836,-1.553480,2.714609,0.106008,2.593045,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-63.4000,0.040000,0.237803,1,1,1,1,0,0,0.0000,0.0000,,,,,29925,29890,0,0,29835,29839,90,38,0,13,0.52775,0.58327,,,,,,,,,,,,,,,,,,,,,,,140909.9566,18918,25772,0,0
1788272413.4529,G_right_near_up_down,G,right,0,up_down,,near,5,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.2000,0.0000,92.7000,0.0000,135.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.7,4.2,0.0,1.0,0.729538,0.333388,1.354037,-0.783759,0.302263,1.211544,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333386,1.354037,-0.780816,0.303733,1.211350,1.062944,0.776606,2.202918,-1.637564,-2.086631,-0.625430,-0.437073,1.874181,-1.126282,1.625913,-1.553608,2.715145,0.107184,2.593574,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29927,29892,0,0,29837,29841,90,38,0,13,0.52775,0.58327,,,,,,,,,,,,,,,,,,,,,,,140909.9758,18918,25773,0,0
1788272413.4763,G_right_near_up_down,G,right,0,up_down,,near,6,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.2000,0.0000,92.7000,0.0000,135.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.3,4.7,0.0,1.0,0.729538,0.333387,1.354037,-0.784068,0.302109,1.211566,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333390,1.354037,-0.782545,0.302873,1.211377,1.062944,0.776606,2.202918,-1.637564,-2.086631,-0.625430,-0.437073,1.873612,-1.125813,1.626361,-1.553662,2.715377,0.107655,2.593799,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29928,29893,0,0,29838,29842,90,38,0,13,0.52775,0.58327,,,,,,,,,,,,,,,,,,,,,,,140909.9991,18918,25773,0,0
1788272413.4930,G_right_near_up_down,G,right,0,up_down,,near,7,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.2000,0.0000,92.7000,0.0000,135.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.5,4.0,0.0,1.0,0.729538,0.333386,1.354037,-0.784339,0.301974,1.211585,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333390,1.354037,-0.782545,0.302873,1.211377,1.062947,0.776602,2.202918,-1.637571,-2.086635,-0.625434,-0.437071,1.872500,-1.124856,1.627289,-1.553778,2.715859,0.108589,2.594265,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29929,29894,0,0,29839,29843,90,38,0,13,0.52775,0.58474,,,,,,,,,,,,,,,,,,,,,,,140910.0158,18918,25773,0,0
1788272413.5109,G_right_near_up_down,G,right,0,up_down,,near,8,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.2000,0.0000,92.7000,0.0000,135.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.4,4.0,0.0,1.0,0.729539,0.333385,1.354037,-0.784571,0.301858,1.211602,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333390,1.354037,-0.782545,0.302873,1.211377,1.062948,0.776601,2.202918,-1.637573,-2.086635,-0.625435,-0.437070,1.871717,-1.124166,1.627956,-1.553874,2.716245,0.109250,2.594636,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29930,29895,0,0,29840,29844,90,38,0,13,0.52775,0.58474,,,,,,,,,,,,,,,,,,,,,,,140910.0337,18918,25773,0,0
1788272413.5305,G_right_near_up_down,G,right,0,up_down,,near,9,160.1000,344.2000,59.3000,217.1000,218.9000,0.0000,347.0000,279.6000,34.2000,0.0000,92.7000,0.0000,135.7000,0.0000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.5,5.0,0.0,1.0,0.729539,0.333385,1.354037,-0.784571,0.301858,1.211602,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.729538,0.333386,1.354037,-0.784095,0.302109,1.211529,1.062950,0.776599,2.202918,-1.637577,-2.086637,-0.625437,-0.437069,1.871038,-1.123594,1.628503,-1.553972,2.716621,0.109816,2.594998,1,1,1.0000,1.0000,39.0406,-64.3857,6.8000,-63.4000,0.040000,0.237761,1,1,1,1,0,0,0.0000,0.0000,,,,,29930,29895,0,0,29840,29844,90,38,0,13,0.52775,0.58474,,,,,,,,,,,,,,,,,,,,,,,140910.0533,18918,25773,0,0
