object A,object B,centre to centre m,free gap m
0,1,0.1899,0.0926
0,2,0.0729,0
0,3,0.0773,0
0,4,0.3513,0.2542
0,5,0.3526,0.2558
0,6,0.3045,0.1564
0,7,0.493,0.3644
0,8,0.3486,0.2523
0,9,0.2027,0.1048
1,2,0.2543,0.1201
1,3,0.2447,0.1828
1,4,0.2679,0.2635
1,5,0.2692,0.2651
1,6,0.3933,0.338
1,7,0.6276,0.5918
1,8,0.2657,0.2621
1,9,0.0974,0.0922
2,3,0.1015,0
2,4,0.4215,0.2875
2,5,0.423,0.2893
2,6,0.3356,0.1506
2,7,0.4917,0.3262
2,8,0.4188,0.2856
2,9,0.2462,0.1114
3,4,0.347,0.2853
3,5,0.3474,0.286
3,6,0.2418,0.1291
3,7,0.4183,0.3251
3,8,0.3444,0.2836
3,9,0.2748,0.2123
4,5,0.0152,0.0113
4,6,0.301,0.2459
4,7,0.5478,0.5121
4,8,0.0027,0
4,9,0.3641,0.3591
5,6,0.3026,0.2477
5,7,0.548,0.5126
5,8,0.0161,0.0131
5,9,0.366,0.3613
6,7,0.2532,0.1666
6,8,0.2994,0.2451
6,9,0.4627,0.4067
7,8,0.5464,0.5116
7,9,0.6829,0.6464
8,9,0.3619,0.3577
