instance,points,area px,claimed overlap,verdict
20,32,1056,0,kept
19,35,2343,0,kept
18,38,27685,0,kept
17,40,4707,0,kept
16,52,2547,0,kept
15,78,6276,0,kept
14,168,13100,0.009,kept
13,227,167586,0,kept
12,256,8528,0.119,kept
11,307,9420,0.241,kept
10,347,7020,0,kept
9,401,16575,0,kept
8,591,8184,0.189,kept
7,764,60227,0.003,kept
5,996,17790,0.242,kept
3,2091,51118,0.081,kept
2,3054,190105,0.099,kept
1,3540,77764,0.049,kept
6,771,98342,0.96,dropped
4,1548,30286,1,dropped
0,7661,247200,0.786,dropped
