#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,7661,247200,-0.0856,0.0621,0.6023,0.6115,399.4,190.7,63.7,170.5,no
1,3540,77764,-0.1052,0.1263,0.4209,0.4518,164.8,4.3,52,76.8,yes
2,3054,190105,-0.1203,0.0377,0.6618,0.6737,513.9,272.6,63.6,171,no
3,2091,51118,-0.0163,0.0651,0.6438,0.6473,229.7,126,49.5,128,no
4,1548,30286,0.151,0.1271,0.3449,0.3974,36.3,5.1,162.5,76.2,yes
5,996,17790,0.1516,0.1414,0.3488,0.4057,31.3,4.5,133.4,77.8,yes
6,771,98342,0.2164,0.0127,0.6219,0.6586,600.8,109.8,220.4,155.2,no
7,764,60227,0.3401,-0.0421,0.8344,0.9021,98.7,66.9,221.1,156.8,yes
8,591,8184,0.1494,0.1261,0.3465,0.3979,20.7,2.5,163,75.2,yes
9,401,16575,-0.2004,0.1112,0.4409,0.4969,33.4,5.4,43.9,63.5,yes
10,347,7020,-0.1892,0.0626,0.5638,0.598,77.4,7,60.9,169.2,yes
11,307,9420,0.1381,0.1272,0.3486,0.3959,11.2,3.4,157,61.3,yes
