#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,8539,76164,0.8973,-0.4109,3.397,3.5374,2621,1738,1325,75.8,no
1,2969,75109,-0.2863,-0.1794,3.0906,3.109,2451,1269,230.2,95.8,no
2,1140,2462,-0.1309,-0.3497,3.1173,3.1396,876.1,81.9,408.3,99.2,yes
3,1123,9154,-0.3073,-0.5254,3.1405,3.1989,422.9,170,161.6,54,no
4,791,1348,0.5247,-0.0067,3.8568,3.8923,640.1,237.7,102.8,58.5,no
5,730,970,0.8078,-1.0105,4.0913,4.2909,254.3,193.1,213.6,159.5,no
6,617,10037,-1.1831,-0.1094,2.3507,2.6339,516.9,74.9,182.6,178.5,yes
7,600,6033,-1.1842,-0.1094,2.3497,2.6336,516.8,71.9,182.6,178.5,yes
8,492,787,-0.256,-0.2559,3.1879,3.2083,340.7,65.8,129.6,98.3,yes
9,466,904,0.6354,0.1079,3.9534,4.0056,317.6,95.2,88.4,18,no
10,436,3145,-1.2203,0.0914,2.3672,2.6648,121.3,67.8,89.4,172.8,yes
11,424,579,0.6411,0.1334,3.9565,4.0104,265.1,80.5,88.4,23.2,yes
