area px,points,top mm,median height mm,box x,box y,box w,box h
1892,1769,74.8,40.9,293,234,91,67
1026,988,699.6,641.6,424,0,90,18
384,379,18.1,7.7,307,36,22,33
353,343,27.1,11.2,320,92,35,38
302,295,792.6,777.4,206,366,31,19
298,290,2404,2402,107,157,27,21
270,262,78,46.1,320,245,18,26
221,204,676.3,667.8,31,127,20,18
162,160,29.9,15.5,375,345,20,14
134,125,1961,1958,446,190,15,12
124,124,36.7,19.1,367,295,16,15
105,95,637.1,630.8,48,46,11,13
94,91,71.2,59.3,97,474,17,6
93,91,1991,1989,542,0,10,11
93,91,58,31.4,313,174,13,15
56,56,1559,1557,349,21,8,10
51,51,10.8,7.6,326,81,7,13
43,43,11.7,7.8,383,309,6,11
