object A,object B,centre to centre m,free gap m
0,1,0.6715,0
0,2,1.193,0.7813
0,3,1.5638,1.146
0,4,0.9276,0.4131
0,5,0.9435,0.5286
0,6,1.3977,0.9983
0,7,1.2219,0.8232
0,8,1.1862,0.7988
0,9,1.2349,0.8429
1,2,1.0457,0.6666
1,3,1.1404,0.7553
1,4,1.0309,0.5491
1,5,0.7469,0.3647
1,6,1.236,0.8692
1,7,1.0224,0.6564
1,8,1.0534,0.6986
1,9,1.0642,0.7049
2,3,1.3099,1.2134
2,4,1.2277,1.0344
2,5,1.1517,1.058
2,6,0.8234,0.7453
2,7,0.1198,0.0423
2,8,0.1551,0.0889
2,9,0.4307,0.36
3,4,1.0113,0.8121
3,5,0.6811,0.5815
3,6,0.7868,0.7026
3,7,1.32,1.2365
3,8,1.213,1.1408
3,9,0.9772,0.9005
4,5,0.4394,0.2431
4,6,0.8121,0.6311
4,7,1.3011,1.1208
4,8,1.1123,0.9434
4,9,0.9449,0.7714
5,6,0.7904,0.7091
5,7,1.1893,1.1087
5,8,1.0572,0.9878
5,9,0.8823,0.8085
6,7,0.8958,0.8307
6,8,0.6749,0.621
6,9,0.3931,0.3348
7,8,0.2577,0.2045
7,9,0.5051,0.4474
8,9,0.2855,0.2391
