instance,points,area px,claimed overlap,verdict
24,155,16688,0,kept
22,245,1239,0,kept
20,341,1002,0,kept
19,348,27604,0,kept
18,431,4825,0,kept
17,601,2601,0,kept
16,722,6168,0,kept
15,1495,48944,0,kept
14,1548,13034,0,kept
13,2245,8370,0.099,kept
12,2927,167442,0,kept
11,3053,9558,0.263,kept
10,3182,7081,0.008,kept
9,5257,8037,0.196,kept
8,6279,35720,0.171,kept
7,7081,60426,0.027,kept
5,8654,17342,0.29,kept
3,18961,52270,0.079,kept
2,26827,190490,0.033,kept
1,31304,80549,0.098,kept
23,177,37150,0.9,dropped
21,260,2318,0.964,dropped
6,7084,98408,0.995,dropped
4,12423,27723,1,dropped
0,68870,265965,0.761,dropped
