#,points,area px,x m,y m,z m,range m,length mm,width mm,height mm,yaw deg,graspable
0,5862,75485,0.7356,-0.1212,2.5965,2.7015,2440,1314,4072,103.2,no
1,3559,69938,-0.061,0.0742,2.6075,2.6092,2657,1178,3632,128.2,no
2,2273,45012,0.7186,-1.2775,3.4749,3.7714,2855,1135,2415,112,no
3,1487,6609,-0.759,1.102,3.0382,3.3198,658.3,319.1,2396,6.2,no
4,1486,2546,0.9002,-0.2561,3.9459,4.0554,954.9,675.3,1556,86.8,no
5,1461,2492,-0.1955,-0.1331,3.5896,3.5974,711.7,493.1,1674,113.2,no
6,1243,5548,0.2245,-0.3475,3.6847,3.7079,948.6,743.1,1715,98.5,no
7,1017,1450,-0.4498,-0.0371,3.7129,3.7403,510.6,233.5,1300,28.2,no
8,811,1584,0.6928,-0.278,4.5055,4.5669,786.6,455.8,368.6,62.8,no
9,785,5594,-0.2457,0.5293,3.5342,3.582,650,307.2,1727,145.8,no
10,598,26768,0.1763,0.8282,2.8543,2.9772,1536,385.4,3245,74.8,no
11,597,906,-0.8055,0.8803,3.0274,3.2541,349.2,112.5,2402,136,no
