timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785171079.4633486,LEFTARMFRONT,153.8,343.0,71.2,215.0,200.9,270.6,354.1,339.5,24.9,0.0,151.9,0.0,143.7,0.0,-0.518,-0.193,0.766,11.48,-9.79,-21.8,-0.611,0.007,0.692,-2.31,1.67,-1.47,9.48,7.81,0,1
1785171079.465662,LEFTARMFRONT,153.6,343.0,71.2,215.3,201.0,270.8,354.0,339.5,24.9,0.0,151.9,0.0,143.8,0.0,-0.479,-0.145,0.786,9.45,-13.98,-18.22,-0.629,0.008,0.692,-2.31,2.81,-0.47,9.61,7.86,0,1
1785171079.4843946,LEFTARMFRONT,153.2,343.0,71.2,215.5,201.2,270.9,353.9,339.5,24.9,0.0,151.9,0.0,143.8,0.0,-0.44,-0.15,0.79,7.26,-16.17,-16.76,-0.655,0.0,0.709,-2.34,3.89,-1.17,9.71,8.14,0,1
1785171079.4929252,LEFTARMFRONT,152.8,343.0,71.2,215.7,201.3,271.1,353.9,339.5,24.9,0.0,151.9,0.0,143.8,0.0,-0.398,-0.153,0.813,5.37,-16.75,-15.76,-0.631,-0.001,0.679,-0.93,5.85,-2.87,9.78,8.36,0,1
1785171079.501191,LEFTARMFRONT,152.6,343.1,71.1,215.9,201.4,271.2,353.9,339.7,24.9,0.0,151.9,0.0,143.7,0.0,-0.399,-0.152,0.787,4.05,-15.73,-13.18,-0.641,-0.007,0.692,0.28,6.6,-3.08,10.08,8.27,0,1
1785171079.5095572,LEFTARMFRONT,152.3,343.1,71.0,216.0,201.4,271.4,353.9,339.6,25.0,0.0,151.9,0.0,143.6,0.0,-0.404,-0.153,0.772,2.94,-12.06,-7.99,-0.643,-0.0,0.686,1.53,6.48,-3.43,10.56,8.2,0,1
1785171079.5202055,LEFTARMFRONT,152.1,343.1,71.0,216.1,201.2,271.6,353.9,339.5,25.1,0.0,151.9,0.0,143.5,0.0,-0.422,-0.152,0.788,-0.86,-8.3,-0.43,-0.663,0.004,0.678,2.54,5.92,-4.71,9.92,7.9,0,1
1785171079.527638,LEFTARMFRONT,151.9,343.1,71.0,216.2,201.2,271.7,353.9,339.5,25.1,0.0,151.9,0.0,143.5,0.0,-0.451,-0.177,0.801,-3.87,-5.73,4.95,-0.681,0.024,0.67,2.46,4.76,-6.21,10.44,7.68,0,1
1785171079.5414252,LEFTARMFRONT,151.8,343.2,71.0,216.3,201.1,271.9,353.9,339.5,25.1,0.0,152.0,0.0,143.4,0.0,-0.467,-0.198,0.799,-5.26,-5.09,8.08,-0.697,0.053,0.65,1.02,3.09,-5.95,10.33,7.51,0,1
1785171079.5496018,LEFTARMFRONT,151.7,343.2,71.0,216.5,201.0,272.0,353.9,339.5,25.1,0.0,152.0,0.0,143.3,0.0,-0.486,-0.212,0.795,-4.19,-5.18,9.18,-0.695,0.067,0.66,-2.82,0.8,-3.73,10.25,7.88,0,1
