timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785171163.6652403,LEFTARMRIGHT,192.1,336.9,130.1,237.8,0.0,269.6,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.179,-0.03,0.853,2.63,17.54,-18.43,-0.73,0.031,0.59,-2.22,0.13,-0.35,16.07,14.95,0,1
1785171163.6752682,LEFTARMRIGHT,192.0,336.8,130.0,237.9,0.0,269.6,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.214,-0.087,0.95,9.36,9.95,-32.08,-0.721,0.022,0.591,-2.08,1.49,-0.83,16.05,14.71,0,1
1785171163.6821985,LEFTARMRIGHT,191.9,336.8,130.0,238.1,0.0,269.5,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.256,-0.045,0.962,12.9,11.79,-38.78,-0.716,0.022,0.598,-1.68,3.68,-1.89,12.04,15.29,0,1
1785171163.69691,LEFTARMRIGHT,191.8,336.8,130.1,238.3,0.0,269.4,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.26,-0.032,0.923,16.4,8.04,-44.79,-0.707,0.023,0.582,-1.11,4.82,-2.17,13.28,15.21,0,1
1785171163.706092,LEFTARMRIGHT,191.8,336.8,130.2,238.4,0.0,268.2,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.207,0.066,0.846,6.66,16.31,-29.05,-0.737,0.029,0.589,-1.02,5.06,-2.23,14.46,15.16,0,1
1785171163.71728,LEFTARMRIGHT,191.8,336.9,130.3,238.6,0.0,200.0,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.248,-0.031,0.891,7.97,13.9,-19.06,-0.717,0.019,0.59,-0.93,4.6,-3.96,14.84,18.37,0,1
1785171163.7241132,LEFTARMRIGHT,191.8,336.9,130.4,238.7,0.0,149.0,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.196,0.013,0.899,5.51,13.63,-10.31,-0.753,0.013,0.586,-1.22,3.24,-3.94,15.13,17.53,0,1
1785171163.734124,LEFTARMRIGHT,191.8,336.9,130.5,238.8,0.0,110.7,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.183,-0.025,0.87,2.97,9.32,-6.76,-0.751,0.03,0.578,-2.73,0.4,-2.79,15.6,16.65,0,1
1785171163.7465415,LEFTARMRIGHT,191.8,336.8,130.5,238.9,0.0,81.8,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.176,-0.017,0.9,-2.02,3.61,-1.09,-0.82,0.04,0.56,-4.44,2.51,-0.18,15.7,16.23,0,1
1785171163.7484155,LEFTARMRIGHT,191.8,336.8,130.5,238.9,0.0,60.2,360.0,339.5,25.9,0.0,157.9,0.0,0.0,0.0,0.213,-0.021,0.91,-7.43,0.88,5.06,-0.829,0.047,0.563,-6.47,4.46,0.18,15.77,16.43,0,1
1785171163.7633595,LEFTARMRIGHT,191.8,336.7,130.5,238.8,0.0,44.0,360.0,339.5,26.0,0.0,157.9,0.0,0.0,0.0,0.127,-0.034,0.909,-14.04,-1.69,14.24,-0.807,0.015,0.565,-5.96,0.58,0.39,16.08,16.32,0,1
1785171163.7746935,LEFTARMRIGHT,191.8,336.6,130.5,238.6,0.0,31.8,360.0,339.5,26.0,0.0,157.9,0.0,0.0,0.0,0.116,-0.125,0.894,-16.84,-5.2,28.5,-0.791,-0.017,0.56,-5.62,-2.14,2.56,16.56,16.24,0,1
1785171163.779431,LEFTARMRIGHT,191.8,336.4,130.4,238.6,0.0,91.1,360.0,339.5,26.0,0.0,157.9,0.0,0.0,0.0,0.24,-0.111,0.917,-15.15,-0.89,49.98,-0.802,-0.037,0.572,-3.09,-4.19,1.8,16.42,16.18,0,1
1785171163.7942045,LEFTARMRIGHT,191.8,336.1,130.3,238.3,0.0,135.6,360.0,339.5,26.0,0.0,157.9,0.0,0.0,0.0,0.277,-0.06,0.919,-14.98,6.37,74.75,-0.778,-0.026,0.566,0.5,-5.15,-0.74,16.32,15.63,0,1
