timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785170769.725739,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.9,0.0,355.9,336.7,21.6,0.0,124.9,0.0,134.5,0.0,-0.865,-0.012,0.374,5.27,0.71,5.74,0.287,-0.092,0.825,2.26,26.41,33.65,12.33,10.91,1,0
1785170769.7364938,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.9,0.0,355.9,336.7,21.5,0.0,124.6,0.0,134.2,0.0,-0.841,-0.008,0.373,3.47,1.98,8.91,0.574,-0.064,0.781,-5.45,42.27,49.43,11.75,10.93,1,0
1785170769.7440593,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.6,0.0,355.9,336.7,21.4,0.0,124.2,0.0,133.8,0.0,-0.814,-0.004,0.358,1.95,3.7,10.69,0.319,-0.136,0.794,-3.86,55.69,62.4,11.81,10.7,1,0
1785170769.7523742,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.7,0.0,355.9,336.8,21.4,0.0,123.6,0.0,132.6,0.0,-0.823,-0.003,0.373,0.6,4.66,12.1,0.093,-0.248,0.886,1.53,52.64,67.22,11.86,10.77,1,0
1785170769.7636068,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.8,0.0,355.9,336.8,21.3,0.0,122.9,0.0,130.8,0.0,-0.825,-0.01,0.385,0.6,4.92,14.08,0.093,-0.233,0.9,6.57,46.42,63.87,11.89,10.58,1,0
1785170769.777137,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.8,0.0,355.9,336.9,21.1,0.0,122.2,0.0,129.0,0.0,-0.854,-0.012,0.401,1.27,4.87,15.51,0.142,-0.146,0.938,10.74,43.56,54.99,12.17,10.94,1,0
1785170769.785526,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.7,0.0,355.9,337.2,20.9,0.0,121.3,0.0,126.8,0.0,-0.863,-0.013,0.401,2.91,3.08,15.18,0.177,-0.09,0.962,10.09,41.54,47.02,12.63,10.7,1,0
1785170769.7936943,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.8,0.0,355.9,337.4,20.8,0.0,120.5,0.0,125.4,0.0,-0.887,-0.024,0.405,5.7,0.89,12.85,0.154,-0.035,0.957,7.89,40.2,40.72,12.47,11.03,1,0
1785170769.8021393,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.8,0.0,355.9,337.7,20.7,0.0,119.7,0.0,124.4,0.0,-0.887,-0.013,0.393,7.42,-1.16,11.08,0.096,-0.031,0.972,5.11,35.05,31.25,12.35,10.52,1,0
1785170769.8113892,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.8,0.0,355.9,337.8,20.6,0.0,118.9,0.0,123.5,0.0,-0.883,-0.018,0.373,6.8,-1.44,8.85,0.022,-0.07,0.972,2.63,27.18,13.8,12.51,10.89,1,0
1785170769.8261127,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.8,0.0,355.9,337.9,20.6,0.0,118.1,0.0,121.9,0.0,-0.899,-0.019,0.368,6.3,-0.15,5.04,-0.074,-0.076,1.023,3.91,13.91,-9.19,12.39,9.92,1,0
1785170769.8334446,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.9,0.0,355.9,337.9,20.6,0.0,117.5,0.0,121.1,0.0,-0.924,0.001,0.378,5.55,0.13,0.48,-0.058,-0.086,1.035,4.32,-1.5,-28.8,12.29,10.94,1,0
1785170769.843612,GRIPPERCLOSE,171.9,343.7,65.2,203.6,219.9,0.0,355.9,337.9,20.6,0.0,116.6,0.0,121.3,0.0,-0.951,0.015,0.382,6.92,0.25,-2.57,-0.029,-0.094,1.035,7.24,-14.11,-44.87,12.22,10.7,1,0
1785170769.8497615,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,338.0,14.3,0.0,116.2,0.0,121.9,0.0,-0.944,0.032,0.393,4.92,0.9,-5.4,-0.047,-0.084,1.05,8.56,-29.37,-57.46,12.16,11.03,1,0
1785170769.86693,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,338.0,15.4,0.0,115.8,0.0,122.1,0.0,-0.928,0.034,0.379,0.69,1.74,-8.86,-0.103,-0.049,1.007,9.25,-46.59,-63.52,12.12,10.77,1,0
1785170769.8769794,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,338.1,16.9,0.0,115.8,0.0,122.4,0.0,-0.927,0.024,0.381,-2.23,2.59,-13.52,-0.535,-0.476,0.949,8.69,-64.44,-65.63,12.09,10.83,1,0
1785170769.8874862,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,338.3,18.0,0.0,115.9,0.0,123.5,0.0,-0.906,0.022,0.392,-3.16,2.78,-16.85,0.006,-0.052,0.927,5.11,-84.1,-66.68,12.07,10.87,1,0
1785170769.8909435,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,338.5,19.0,0.0,116.1,0.0,124.9,0.0,-0.956,0.018,0.396,-5.07,2.03,-18.69,0.091,-0.079,0.883,6.44,-95.48,-69.39,12.05,10.65,1,0
1785170769.9053588,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.7,338.6,19.7,0.0,116.4,0.0,125.4,0.0,-0.92,-0.004,0.38,-5.8,1.89,-21.32,0.312,-0.023,0.839,9.22,-100.19,-70.24,12.04,10.49,1,0
1785170769.9053588,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.7,338.8,20.3,0.0,117.0,0.0,129.1,0.0,-0.923,-0.013,0.394,-4.04,-0.22,-25.02,0.39,0.087,0.842,6.37,-97.08,-65.97,12.03,10.62,1,0
1785170769.925397,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.0,20.6,0.0,117.6,0.0,130.3,0.0,-0.881,-0.013,0.39,-2.73,-1.56,-26.52,0.511,0.091,0.772,-1.53,-86.54,-60.05,12.02,10.21,1,0
1785170769.9375522,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.1,21.0,0.0,118.2,0.0,131.6,0.0,-0.882,-0.02,0.383,-3.31,-3.06,-27.5,0.552,0.108,0.754,-8.81,-72.95,-50.66,11.52,10.66,1,0
1785170769.9421582,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.2,21.3,0.0,118.8,0.0,131.7,0.0,-0.852,-0.033,0.38,-2.0,-3.73,-28.5,0.488,0.034,0.741,-14.24,-58.5,-41.57,11.64,10.49,1,0
1785170769.9533412,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.3,21.5,0.0,119.4,0.0,131.7,0.0,-0.845,-0.039,0.363,1.15,-4.68,-28.3,0.456,-0.023,0.796,-15.85,-48.4,-37.39,11.48,10.37,1,0
1785170769.9533412,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.4,21.8,0.0,119.9,0.0,133.9,0.0,-0.841,-0.027,0.368,3.24,-4.65,-24.87,0.423,-0.023,0.824,-17.66,-39.35,-31.56,11.61,10.53,1,0
1785170769.9691384,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.5,22.2,0.0,120.3,0.0,135.3,0.0,-0.809,-0.039,0.352,2.57,-4.04,-20.79,0.407,-0.045,0.903,-18.82,-37.35,-27.56,11.71,10.9,1,0
1785170769.9849377,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.8,339.5,22.4,0.0,120.7,0.0,136.6,0.0,-0.775,-0.04,0.36,2.64,-2.29,-17.76,0.462,-0.061,0.911,-22.91,-34.6,-19.52,11.53,10.67,1,0
1785170769.9849377,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,339.2,22.7,0.0,121.0,0.0,137.1,0.0,-0.698,-0.037,0.336,0.47,0.6,-11.24,0.465,-0.125,0.947,-24.47,-29.38,-15.85,11.4,11.0,1,0
1785170770.0033677,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,356.0,339.2,23.0,0.0,121.3,0.0,137.9,0.0,-0.841,-0.032,0.372,-0.8,0.45,-10.4,0.451,-0.131,0.894,-24.59,-24.94,-12.28,11.55,11.0,1,0
1785170770.0169365,GRIPPERCLOSE,171.9,343.6,65.2,203.6,219.9,0.0,355.9,339.2,23.2,0.0,121.5,0.0,139.2,0.0,-0.77,-0.034,0.384,-2.85,3.53,1.82,0.446,-0.172,0.881,-22.48,-20.21,-9.79,11.41,10.75,1,0
1785170770.0289018,GRIPPERCLOSE,172.0,343.6,65.2,203.6,219.9,0.0,355.9,339.2,23.3,0.0,121.6,0.0,140.8,0.0,-0.804,-0.068,0.384,-3.6,1.34,12.27,0.428,-0.182,0.852,-17.4,-15.95,-10.36,11.31,10.31,1,0
1785170770.037513,GRIPPERCLOSE,172.0,343.6,65.2,203.6,220.1,0.0,355.9,339.2,23.5,0.0,121.9,0.0,141.9,0.0,-0.776,-0.112,0.375,1.05,2.51,12.9,0.431,-0.165,0.823,-11.26,-12.53,-10.56,11.48,10.49,1,0
1785170770.047822,GRIPPERCLOSE,172.0,343.4,65.2,203.6,220.1,0.0,355.9,339.2,23.8,0.0,122.2,0.0,141.5,0.0,-0.737,-0.128,0.36,6.22,2.02,12.56,0.477,-0.152,0.852,-7.41,-6.06,-5.62,11.61,10.11,1,0
1785170770.056731,GRIPPERCLOSE,172.0,343.5,65.2,203.6,220.1,0.0,355.9,339.1,24.0,0.0,122.4,0.0,140.9,0.0,-0.795,-0.12,0.369,10.42,0.18,11.24,0.434,-0.131,0.821,-4.96,1.82,-2.89,11.71,10.09,1,0
1785170770.0599282,GRIPPERCLOSE,172.0,343.6,65.1,203.5,220.1,0.0,355.9,339.1,24.1,0.0,122.6,0.0,141.7,0.0,-0.809,-0.091,0.378,12.35,4.47,12.95,0.371,-0.121,0.837,-3.9,6.5,3.22,11.78,10.31,1,0
1785170770.076992,GRIPPERCLOSE,172.0,343.6,65.1,203.5,220.0,0.0,355.9,339.0,24.2,0.0,122.7,0.0,142.0,0.0,-0.858,-0.059,0.388,9.48,6.12,19.34,0.36,-0.141,0.846,-1.08,8.5,5.85,11.84,10.74,1,0
1785170770.076992,GRIPPERCLOSE,172.0,343.6,65.1,203.5,220.0,0.0,355.8,339.0,24.2,0.0,122.8,0.0,141.6,0.0,-0.827,-0.054,0.396,5.75,8.56,27.19,0.392,-0.134,0.859,2.27,10.66,7.39,11.63,10.55,1,0
1785170770.0925999,GRIPPERCLOSE,172.0,343.6,65.1,203.5,220.0,0.0,355.8,338.9,24.3,0.0,122.9,0.0,142.5,0.0,-0.797,-0.074,0.391,5.44,10.31,26.0,0.398,-0.131,0.851,5.76,13.1,8.3,11.97,10.66,1,0
1785170770.1065657,GRIPPERCLOSE,172.0,343.6,65.0,203.5,220.0,0.0,355.8,338.8,24.4,0.0,123.0,0.0,141.7,0.0,-0.828,-0.057,0.403,6.21,11.17,19.85,0.366,-0.101,0.859,7.5,14.56,9.16,11.98,10.5,1,0
1785170770.1091976,GRIPPERCLOSE,172.0,343.6,65.0,203.5,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,141.5,0.0,-0.87,-0.033,0.42,5.31,10.5,19.18,0.332,-0.084,0.857,6.84,14.92,9.44,12.23,10.62,1,0
1785170770.1256285,GRIPPERCLOSE,172.0,343.6,65.0,203.5,220.0,0.0,355.8,338.8,24.4,0.0,123.0,0.0,141.4,0.0,-0.903,-0.008,0.438,3.49,8.87,22.88,0.313,-0.058,0.852,4.94,13.96,10.07,12.17,10.72,1,0
1785170770.1364481,GRIPPERCLOSE,172.0,343.6,65.0,203.5,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,140.6,0.0,-0.902,-0.019,0.413,3.91,8.24,24.02,0.307,-0.044,0.85,2.74,12.12,10.8,12.13,10.79,1,0
1785170770.142747,GRIPPERCLOSE,172.0,343.6,65.0,203.5,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,140.0,0.0,-0.889,-0.017,0.408,4.74,6.87,20.91,0.307,-0.048,0.862,-0.1,9.69,11.58,12.1,10.84,1,0
1785170770.1521525,GRIPPERCLOSE,172.0,343.6,65.0,203.5,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,140.0,0.0,-0.881,-0.002,0.404,5.13,5.02,15.73,0.324,-0.054,0.867,-1.31,8.89,9.89,12.07,10.38,1,0
1785170770.1593256,GRIPPERCLOSE,172.0,343.6,65.0,203.6,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,139.8,0.0,-0.912,0.02,0.396,5.18,3.26,11.89,0.324,-0.056,0.857,-0.99,7.82,5.53,11.81,10.29,1,0
1785170770.175607,GRIPPERCLOSE,172.0,343.6,65.0,203.6,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,139.6,0.0,-0.927,0.037,0.39,2.69,2.64,10.27,0.323,-0.045,0.843,-0.8,6.38,1.69,11.85,10.71,1,0
1785170770.1840117,GRIPPERCLOSE,172.0,343.6,65.0,203.6,220.0,0.0,355.8,338.7,24.4,0.0,123.0,0.0,139.9,0.0,-0.942,0.035,0.396,-1.44,2.47,10.11,0.322,-0.042,0.828,-1.5,4.12,1.31,11.89,10.29,1,0
1785170770.192375,GRIPPERCLOSE,172.3,343.6,65.0,203.6,220.0,0.0,355.8,338.6,24.3,0.0,123.0,0.0,140.7,0.0,-0.932,0.017,0.366,-3.31,0.81,8.4,0.311,-0.033,0.829,-4.03,1.63,4.15,11.92,10.71,1,0
1785170770.2078283,GRIPPERCLOSE,172.2,343.6,65.0,203.6,220.0,0.0,355.8,338.6,24.3,0.0,123.0,0.0,141.7,0.0,-0.921,-0.003,0.35,-2.88,-0.34,3.6,0.302,-0.028,0.834,-6.66,-1.67,5.71,11.94,10.29,1,0
1785170770.2089875,GRIPPERCLOSE,172.2,343.6,65.2,203.6,220.0,0.0,355.8,338.6,24.2,0.0,123.0,0.0,142.3,0.0,-0.926,-0.013,0.341,-1.63,-1.1,-2.66,0.301,-0.04,0.841,-8.98,-4.46,3.17,14.45,10.46,1,0
1785170770.2259595,GRIPPERCLOSE,172.2,343.6,65.2,203.6,220.0,0.0,355.8,338.6,24.2,0.0,123.0,0.0,142.6,0.0,-0.943,-0.012,0.351,-0.14,-2.86,-7.15,0.323,-0.053,0.847,-9.74,-6.56,0.03,13.84,10.6,1,0
1785170770.2259595,GRIPPERCLOSE,172.1,343.6,65.2,203.6,220.0,0.0,355.8,338.6,24.2,0.0,123.0,0.0,143.1,0.0,-0.957,-0.001,0.344,-0.7,-3.05,-8.79,0.337,-0.048,0.856,-10.63,-7.8,-3.31,13.13,10.7,1,0
1785170770.2477963,GRIPPERCLOSE,172.1,343.6,65.2,203.6,220.0,0.0,355.8,338.6,24.2,0.0,123.0,0.0,143.7,0.0,-0.919,-0.015,0.324,-0.91,-3.04,-10.54,0.33,-0.036,0.845,-12.26,-9.31,-4.9,12.35,10.52,1,0
1785170770.25809,GRIPPERCLOSE,172.1,343.6,65.2,203.6,220.0,0.0,355.8,338.6,24.2,0.0,123.0,0.0,141.8,0.0,-0.905,-0.037,0.326,1.39,-3.27,-15.61,0.351,-0.043,0.837,-14.89,-9.47,-4.92,12.26,10.39,1,0
1785170770.2637582,GRIPPERCLOSE,172.1,343.6,65.2,203.6,220.0,0.0,355.8,338.6,24.2,0.0,123.0,0.0,141.0,0.0,-0.892,-0.015,0.328,4.62,-2.92,-18.98,0.361,-0.078,0.846,-15.71,-8.97,-5.27,12.2,10.29,1,0
1785170770.2759306,GRIPPERCLOSE,172.1,343.6,65.2,203.6,220.1,0.0,355.8,338.6,24.2,0.0,123.1,0.0,139.8,0.0,-0.885,0.001,0.359,2.85,-3.5,-18.99,0.373,-0.092,0.851,-14.47,-8.32,-8.05,12.15,10.72,1,0
