timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785170699.0231147,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.7,71.2,0.0,97.8,0.0,223.7,0.0,-0.878,-0.022,0.384,2.48,2.14,4.56,0.02,0.157,0.929,-2.49,4.73,0.7,11.47,9.33,1,0
1785170699.0339696,LEFT,172.0,343.6,65.3,203.6,219.1,0.0,354.8,323.7,71.2,0.0,97.8,0.0,223.6,0.0,-0.873,-0.014,0.384,3.41,1.53,2.03,0.051,0.112,0.908,-2.31,5.06,0.31,11.1,9.5,1,0
1785170699.0456536,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.7,71.1,0.0,97.8,0.0,223.6,0.0,-0.88,-0.011,0.38,4.13,1.16,1.6,-0.006,0.128,0.906,-0.85,1.43,2.31,10.83,9.62,1,0
1785170699.0521216,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.7,71.1,0.0,97.8,0.0,223.6,0.0,-0.88,-0.001,0.373,3.92,2.18,1.34,-0.006,0.124,0.955,1.79,-1.89,2.58,11.12,9.72,1,0
1785170699.0678852,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.7,71.1,0.0,97.8,0.0,223.5,0.0,-0.877,-0.001,0.368,3.07,3.34,2.2,0.004,0.115,0.938,-0.39,-2.41,1.53,11.34,9.54,1,0
1785170699.073742,LEFT,172.0,343.9,65.2,203.6,219.1,0.0,354.8,323.6,71.1,0.0,97.8,0.0,223.5,0.0,-0.877,-0.004,0.379,2.89,2.15,0.21,0.023,0.096,0.936,-1.22,-3.27,0.18,11.26,9.65,1,0
1785170699.0842311,LEFT,172.0,343.8,65.2,203.6,219.1,0.0,354.8,323.6,71.1,0.0,97.8,0.0,223.4,0.0,-0.875,0.005,0.395,3.52,2.46,-2.81,0.021,0.107,0.933,-4.08,-2.74,-2.5,11.19,9.74,1,0
1785170699.0926242,LEFT,172.0,343.7,65.2,203.6,219.1,0.0,354.8,323.6,71.1,0.0,97.8,0.0,223.4,0.0,-0.883,0.021,0.393,2.35,2.79,-2.03,0.029,0.089,0.93,-5.02,-1.95,-4.37,11.14,9.81,1,0
1785170699.1009045,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.5,71.1,0.0,97.8,0.0,223.4,0.0,-0.862,0.016,0.392,-0.02,2.22,-0.22,0.031,0.091,0.923,-6.37,-0.81,-6.27,11.11,9.6,1,0
1785170699.1153882,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.4,71.1,0.0,97.8,0.0,223.4,0.0,-0.861,-0.011,0.38,-0.24,2.36,-0.92,0.027,0.088,0.922,-8.56,0.1,-7.52,11.08,11.7,1,0
1785170699.1180706,LEFT,172.0,343.6,65.2,203.7,219.1,0.0,354.8,323.3,71.1,0.0,97.8,0.0,223.4,0.0,-0.853,-0.009,0.378,0.66,1.75,-2.34,0.016,0.101,0.93,-10.79,0.72,-7.18,10.81,11.03,1,0
1785170699.1302326,LEFT,172.0,343.6,65.2,203.7,219.1,0.0,354.8,323.2,71.2,0.0,97.8,0.0,223.5,0.0,-0.867,-0.014,0.385,0.92,0.34,-1.45,-0.003,0.109,0.927,-14.22,0.51,-5.6,10.86,10.52,1,0
1785170699.1452847,LEFT,172.0,343.6,65.2,203.7,219.1,0.0,354.8,323.1,71.3,0.0,97.8,0.0,223.6,0.0,-0.856,-0.019,0.386,1.06,0.01,-0.24,0.0,0.093,0.929,-16.12,-0.04,-5.02,10.64,9.89,1,0
1785170699.154539,LEFT,172.0,343.6,65.3,203.6,219.1,0.0,354.8,323.1,71.3,0.0,97.8,0.0,223.6,0.0,-0.859,-0.031,0.372,1.89,-0.4,-0.61,0.015,0.047,0.901,-15.29,-0.03,-5.77,10.73,9.67,1,0
1785170699.1623976,LEFT,172.0,343.6,65.2,203.6,219.1,0.0,354.8,323.0,71.4,0.0,97.8,0.0,223.6,0.0,-0.865,-0.036,0.365,3.63,-0.53,-1.98,0.007,0.043,0.876,-13.09,0.42,-7.27,10.55,9.25,1,0
1785170699.1746302,LEFT,172.0,343.6,65.2,203.6,218.9,0.0,354.8,322.9,71.5,0.0,97.8,0.0,223.7,0.0,-0.861,-0.038,0.373,5.21,-1.02,-3.17,0.043,0.051,0.871,-9.9,-0.83,-6.49,10.41,9.44,1,0
1785170699.1787698,LEFT,172.0,343.6,65.2,203.7,218.9,0.0,354.8,322.8,71.5,0.0,97.8,0.0,223.7,0.0,-0.853,-0.024,0.388,5.15,0.18,-3.18,-0.13,-0.043,0.927,-6.83,-12.02,-7.5,10.31,9.58,1,0
1785170699.1954982,LEFT,172.0,343.6,65.2,203.7,219.0,0.0,354.8,322.7,71.6,0.0,97.7,0.0,223.8,0.0,-0.854,-0.005,0.384,3.53,1.79,0.25,0.075,0.056,0.892,-1.64,-7.69,-4.44,10.23,9.43,1,0
1785170699.201129,LEFT,172.0,343.6,65.2,203.7,219.0,0.0,354.8,322.6,71.6,0.0,97.9,0.0,223.9,0.0,-0.851,0.002,0.393,1.36,1.99,0.44,0.062,0.061,0.894,-1.33,-6.57,-5.37,10.17,9.58,1,0
1785170699.2148037,LEFT,172.0,343.6,65.2,203.6,219.0,0.0,354.8,322.6,71.7,0.0,97.9,0.0,223.9,0.0,-0.846,-0.001,0.408,-0.27,2.4,1.85,0.034,0.087,0.92,-1.6,-6.43,-4.05,10.13,9.43,1,0
1785170699.2236593,LEFT,172.0,343.6,65.2,203.6,219.0,0.0,354.8,322.6,71.7,0.0,97.9,0.0,224.0,0.0,-0.848,-0.008,0.401,0.95,0.0,0.77,0.048,0.104,0.936,-3.74,-5.28,-2.75,10.35,9.32,1,0
1785170699.228522,LEFT,172.0,343.6,65.2,203.6,219.0,0.0,354.7,322.6,71.7,0.0,97.9,0.0,224.0,0.0,-0.863,-0.001,0.398,1.56,0.48,1.89,0.044,0.058,0.935,-3.79,-2.44,-4.11,10.51,9.49,1,0
1785170699.244198,LEFT,172.0,343.6,65.2,203.6,219.0,0.0,354.7,322.6,71.7,0.0,97.9,0.0,224.0,0.0,-0.846,-0.016,0.392,0.98,-0.6,2.71,0.059,0.078,0.932,-1.6,-0.64,-4.27,10.63,9.37,1,0
1785170699.2475836,LEFT,172.1,343.6,65.1,203.6,219.1,0.0,354.7,322.6,71.7,0.0,97.9,0.0,224.0,0.0,-0.849,-0.036,0.371,1.47,-0.21,2.53,0.045,0.083,0.927,-0.63,0.24,-3.89,10.47,9.28,1,0
