timestamp,label,k1j1,k1j2,k1j3,k1j4,k1j5,k1j6,k1j7,k2j1,k2j2,k2j3,k2j4,k2j5,k2j6,k2j7,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,fsr1,fsr2,btn1,btn2
1785170717.3232908,UP,172.1,343.6,65.1,203.6,219.1,0.0,354.6,329.9,34.7,0.0,98.9,0.0,174.4,0.0,-0.866,-0.05,0.368,3.44,1.28,0.61,0.008,-0.036,0.936,3.51,4.15,-2.29,10.63,8.72,1,0
1785170717.3342433,UP,171.9,343.6,65.1,203.6,219.1,0.0,354.6,329.9,34.7,0.0,98.9,0.0,174.3,0.0,-0.894,-0.049,0.386,3.74,1.5,-1.05,0.052,-0.058,0.94,-0.53,-0.79,5.1,10.97,8.54,1,0
1785170717.346431,UP,171.9,343.6,65.1,203.6,219.1,0.0,354.6,329.9,34.6,0.0,98.9,0.0,174.2,0.0,-0.846,-0.049,0.378,5.29,1.68,-2.31,0.03,-0.029,0.939,1.53,-8.02,7.31,10.98,8.41,1,0
1785170717.3545015,UP,171.9,343.6,65.1,203.6,219.1,0.0,354.6,329.9,34.5,0.0,98.9,0.0,174.2,0.0,-0.876,-0.018,0.406,5.05,2.57,-2.27,0.052,-0.006,0.965,3.83,-11.66,8.55,11.24,6.31,1,0
1785170717.366908,UP,171.9,343.6,65.1,203.6,219.1,0.0,354.6,329.9,34.4,0.0,98.9,0.0,174.1,0.0,-0.826,-0.011,0.389,1.34,4.1,1.55,0.062,0.011,0.964,3.88,-11.95,6.95,10.93,7.23,1,0
1785170717.3754659,UP,171.9,343.6,65.1,203.6,219.1,0.0,354.6,329.9,34.2,0.0,98.9,0.0,174.0,0.0,-0.838,-0.026,0.406,0.16,2.24,2.06,0.076,0.032,0.968,3.98,-8.6,3.52,10.95,7.42,1,0
1785170717.3851938,UP,171.9,343.7,65.1,203.6,219.1,0.0,354.6,329.9,34.2,0.0,98.9,0.0,173.9,0.0,-0.833,-0.017,0.398,0.22,2.76,1.04,0.092,0.029,0.972,2.92,-5.84,0.24,11.21,7.82,1,0
1785170717.3932428,UP,171.9,343.7,65.1,203.4,219.1,0.0,354.6,329.9,34.1,0.0,98.9,0.0,173.9,0.0,-0.863,-0.023,0.398,-0.49,0.62,2.11,0.097,0.023,0.981,1.02,-2.51,-3.37,10.91,8.36,1,0
1785170717.4015565,UP,171.9,343.7,65.1,203.4,219.1,0.0,354.6,329.9,34.0,0.0,98.9,0.0,173.9,0.0,-0.862,-0.034,0.382,-0.06,-0.41,4.48,0.099,-0.004,0.972,0.47,-0.45,-6.4,11.18,8.27,1,0
1785170717.4140716,UP,171.9,343.7,65.1,203.5,219.1,0.0,354.6,329.9,33.9,0.0,98.9,0.0,173.9,0.0,-0.851,-0.057,0.365,1.99,-0.25,3.64,0.09,-0.014,0.956,0.5,-0.05,-8.27,10.89,8.45,1,0
1785170717.425861,UP,171.9,343.7,65.1,203.5,219.1,0.0,354.6,329.9,33.9,0.0,98.9,0.0,173.9,0.0,-0.843,-0.06,0.364,3.54,-0.24,2.55,0.089,-0.03,0.974,1.34,-0.4,-10.36,10.91,8.84,1,0
1785170717.4302244,UP,171.9,343.7,65.1,203.5,219.1,0.0,354.6,329.8,33.9,0.0,98.9,0.0,173.9,0.0,-0.842,-0.044,0.365,4.35,1.06,3.64,0.085,0.006,0.967,0.55,0.15,-11.27,10.94,8.88,1,0
1785170717.4443974,UP,171.9,343.7,65.1,203.5,219.2,0.0,354.6,329.8,34.0,0.0,98.9,0.0,174.0,0.0,-0.856,-0.026,0.382,2.9,1.51,6.75,0.081,0.023,0.967,-3.3,0.04,-12.69,11.7,9.16,1,0
1785170717.4539464,UP,171.9,343.7,65.1,203.5,219.2,0.0,354.6,329.7,34.2,0.0,98.9,0.0,174.0,0.0,-0.843,-0.027,0.364,2.27,1.52,7.8,0.079,0.019,0.952,-8.05,0.73,-11.58,13.28,9.12,1,0
1785170717.4658158,UP,171.9,343.7,65.1,203.5,219.2,0.0,354.5,329.6,34.3,0.0,98.9,0.0,174.1,0.0,-0.853,-0.025,0.379,3.76,1.71,7.38,0.105,0.007,0.947,-11.0,0.78,-9.7,12.46,9.59,1,0
1785170717.4757683,UP,171.9,343.7,65.1,203.5,219.2,0.0,354.5,329.5,34.6,0.0,98.9,0.0,174.1,0.0,-0.852,-0.028,0.379,4.76,0.6,7.11,-0.053,-0.036,0.958,-13.17,-10.27,-7.37,12.09,9.44,1,0
